column,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max,missing_n,missing_pct,zero_n,zero_pct,negative_n,inf_n,nunique
train_n,32.0,3494.125,1677.0908327488771,1789.0,1789.0,1789.0,1789.0,1789.0,3489.0,4623.0,6140.500000000004,6302.0,6302.0,6302.0,0,0.0,0,0.0,0,0,6
raw_feature_count,32.0,13.875,2.1213203435596424,11.0,11.0,11.0,11.1,12.0,14.0,16.0,16.0,16.45,17.0,17.0,0,0.0,0,0.0,0,0,6
numeric_feature_count,28.0,8.857142857142858,2.138089935299395,6.0,6.0,6.0,6.0,7.0,9.0,11.0,11.0,11.649999999999999,12.0,12.0,4,12.5,0,0.0,0,0,6
categorical_feature_count,28.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,12.5,0,0.0,0,0,1
encoded_feature_count,28.0,35.285714285714285,2.63673679998231,32.0,32.0,32.0,32.0,33.0,35.5,38.0,38.0,38.65,39.0,39.0,4,12.5,0,0.0,0,0,6
rank,28.0,33.285714285714285,0.8544932592822077,32.0,32.0,32.0,32.0,33.0,33.0,34.0,34.0,34.65,35.0,35.0,4,12.5,0,0.0,0,0,4
rank_deficiency,28.0,2.0,2.0367003088692623,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4,12.5,14,43.75,0,0,2
condition_number,28.0,82.3331186848823,31.713581099066417,28.406044658843925,28.494143449633476,28.732336476583004,28.732336476583004,51.841374127124766,88.89880780300393,102.000314379408,113.03969205425733,131.0996712372844,137.81843029252045,137.81843029252045,4,12.5,0,0.0,0,0,16
duplicate_encoded_columns_n,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12.5,28,87.5,0,0,1
perfect_alias_groups_n,28.0,2.0,2.0367003088692623,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4,12.5,14,43.75,0,0,2
