position,column,dtype,non_null_n,missing_n,missing_pct,nunique,unique_ratio,is_all_null,is_constant,is_identifier_candidate,top_value_share
1,row_type,str,396,0,0.0,3,0.007575757575757576,False,False,False,0.6363636363636364
2,sample_id,str,396,0,0.0,12,0.030303030303030304,False,False,True,0.08333333333333333
3,target,str,396,0,0.0,3,0.007575757575757576,False,False,False,0.3333333333333333
4,group,str,396,0,0.0,11,0.027777777777777776,False,False,False,0.09090909090909091
5,N,int64,396,0,0.0,60,0.15151515151515152,False,False,False,0.04040404040404041
6,mean,float64,144,252,63.63636363636363,48,0.3333333333333333,False,False,False,0.6363636363636364
7,std,float64,144,252,63.63636363636363,48,0.3333333333333333,False,False,False,0.6363636363636364
8,min,float64,36,360,90.9090909090909,2,0.05555555555555555,False,False,False,0.9090909090909091
9,p01,float64,36,360,90.9090909090909,5,0.1388888888888889,False,False,False,0.9090909090909091
10,p05,float64,36,360,90.9090909090909,9,0.25,False,False,False,0.9090909090909091
11,p25,float64,36,360,90.9090909090909,9,0.25,False,False,False,0.9090909090909091
12,median,float64,144,252,63.63636363636363,43,0.2986111111111111,False,False,False,0.6363636363636364
13,p75,float64,36,360,90.9090909090909,12,0.3333333333333333,False,False,False,0.9090909090909091
14,p95,float64,36,360,90.9090909090909,12,0.3333333333333333,False,False,False,0.9090909090909091
15,p99,float64,36,360,90.9090909090909,11,0.3055555555555556,False,False,False,0.9090909090909091
16,max,float64,36,360,90.9090909090909,4,0.1111111111111111,False,False,False,0.9090909090909091
17,zero_ratio,float64,396,0,0.0,103,0.2601010101010101,False,False,False,0.13131313131313133
18,hundred_ratio,float64,36,360,90.9090909090909,9,0.25,False,False,False,0.9090909090909091
19,skewness,float64,36,360,90.9090909090909,12,0.3333333333333333,False,False,False,0.9090909090909091
20,school_icc,float64,36,360,90.9090909090909,12,0.3333333333333333,False,False,False,0.9090909090909091
