rank,position,column,dtype,non_null_n,missing_n,missing_pct,nunique,unique_ratio,is_all_null,is_constant,is_identifier_candidate,top_value_share
1,10,source_decision,str,246,4,1.6,2,0.008130081300813009,False,False,False,0.936
2,11,source_decision_reason,str,246,4,1.6,5,0.02032520325203252,False,False,False,0.36
