column,dtype,count,missing_n,missing_pct,nunique,top,freq,top_pct,sample_values
outcome_row_id,str,10242,0,0.0,10242,OC2024_00001,1,0.009763718023823472,OC2024_00001 | OC2024_00002 | OC2024_00003 | OC2024_00004 | OC2024_00005
school_name_raw,string,10242,0,0.0,227,경북대학교,158,1.5426674477641087,가야대학교(김해) | 가천대학교 | 가톨릭관동대학교 | 가톨릭꽃동네대학교 | 가톨릭대학교
school_name_base_raw,string,10242,0,0.0,200,강원대학교,217,2.1187268111696933,가야대학교 | 가천대학교 | 가톨릭관동대학교 | 가톨릭꽃동네대학교 | 가톨릭대학교
school_name_std,string,10242,0,0.0,200,강원대학교,217,2.1187268111696933,가야대학교 | 가천대학교 | 가톨릭관동대학교 | 가톨릭꽃동네대학교 | 가톨릭대학교
campus_name_raw_x,string,10242,0,0.0,12,,9353,91.32005467682094,김해 |  | 제2캠퍼스 | 제3캠퍼스 | 분교|글로컬
campus_seq,string,10242,0,0.0,4,,9729,94.99121265377856, | 제2캠퍼스 | 제3캠퍼스 | 제4캠퍼스
campus_branch,string,10242,0,0.0,2,,9921,96.86584651435265, | 분교
campus_name_std_x,string,10242,0,0.0,5,unknown,9408,91.85705916813123,unknown | 제2캠퍼스 | 제3캠퍼스 | 분교 | 제4캠퍼스
dept_name_raw,string,10242,0,0.0,4946,간호학과,106,1.034954110525288,간호학과 | 경영물류학과 | 경찰소방학과 | 귀금속주얼리학과 | 물리치료학과
dept_name_std,string,10242,0,0.0,4890,간호학과,106,1.034954110525288,간호학과 | 경영물류학과 | 경찰소방학과 | 귀금속주얼리학과 | 물리치료학과
dept_field_raw,string,10242,0,0.0,4195,경영,120,1.1716461628588166,간호 | 경영물류 | 경찰소방 | 귀금속주얼리 | 물리치료
dept_field_std,string,10242,0,0.0,4119,경영,120,1.1716461628588166,간호 | 경영물류 | 경찰소방 | 귀금속주얼리 | 물리치료
credit_forfeit_flag,boolean,10242,0,0.0,2,False,9093,88.78148799062683,False | True
has_selectivity,boolean,10242,0,0.0,2,False,6505,63.51298574497169,True | False
has_employment,boolean,10242,0,0.0,2,True,7477,73.0033196641281,True | False
has_progression,boolean,10242,0,0.0,2,True,7587,74.07732864674868,True | False
rate_range_qa,category,10242,0,0.0,1,ok,10242,100.0,ok
source_file,str,10242,0,0.0,1,P2_G2_정시입결.csv,10242,100.0,P2_G2_정시입결.csv
source_sha256,str,10242,0,0.0,1,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,10242,100.0,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04
campus_region_raw,string,10242,0,0.0,9,,9844,96.11404022651826,김해 |  | 글로컬 | 세종 | WISE
dept_norm_strict,string,10242,0,0.0,4890,간호학과,106,1.034954110525288,간호학과 | 경영물류학과 | 경찰소방학과 | 귀금속주얼리학과 | 물리치료학과
dept_norm_suffix_reduced,string,10242,0,0.0,4391,간호,108,1.054481546572935,간호 | 경영물류 | 경찰소방 | 귀금속주얼리 | 물리치료
dept_token_signature,string,10242,0,0.0,4391,간호,108,1.054481546572935,간호 | 경영물류 | 경찰소방 | 귀금속주얼리 | 물리치료
school_uid_x,string,10242,0,0.0,200,SCH_193517d15ce2,217,2.1187268111696933,SCH_4fcb5ca730cd | SCH_e46f0f22fdd7 | SCH_f0a7062f14b7 | SCH_11568cc95743 | SCH_f11056a7ff4e
headcount_row_id,str,8561,1681,16.412809998047255,8547,HC2_2024_10023,2,0.019527436047646944,HC2_2024_07159 | HC2_2024_07147 | HC2_2024_07154 | HC2_2024_07165 | HC2_2024_07161
match_stage,str,10242,0,0.0,4,L1,8556,83.53837141183362,L1 | L7 | L8 | L3
match_method,str,10242,0,0.0,4,exact_strict,8556,83.53837141183362,exact_strict | manual_pending | unmatched | exact_token_unique
match_status,str,10242,0,0.0,3,auto_high_confidence,8561,83.58719000195273,auto_high_confidence | manual_pending | unmatched
review_needed,boolean,10242,0,0.0,2,False,8561,83.58719000195273,False | True
unmatched_reason,str,10242,0,0.0,6,,8561,83.58719000195273, | multiple_candidates | multiple_fuzzy_or_conflict | department_formatting_or_source_coverage_mismatch | no_candidate
match_evidence,str,10242,0,0.0,8,school+campus+department strict exact unique,8556,83.53837141183362,"school+campus+department strict exact unique | school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice | fuzzy candidates need manual review | school+campus+suffix-reduced exact unique; multiple D01 rows remain, no automatic choice | no strict/suffix/token/fuzzy unique candidate under same school and allowed campus scope"
candidate_headcount_row_ids,str,10242,0,0.0,9899,,176,1.718414372192931,HC2_2024_07159 | HC2_2024_07147 | HC2_2024_07154 | HC2_2024_07165 | HC2_2024_07161
candidate_preview,str,10242,0,0.0,4907,,176,1.718414372192931,간호학과 | 경영물류학과 | 경찰소방학과 | 귀금속주얼리학과 | 물리치료학과
campus_conflict_flag,bool,10242,0,0.0,2,False,10006,97.69576254637767,False | True
degree_course_conflict_flag,bool,10242,0,0.0,1,False,10242,100.0,False
