column,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max,missing_n,missing_pct,zero_n,zero_pct,negative_n,inf_n,nunique
N,396.0,1234.621212121212,1555.4718386928862,177.0,177.0,205.0,260.0,367.0,715.0,1268.0,2439.0,5082.75,6366.0,8561.0,0,0.0,0,0.0,0,0,60
mean,144.0,34.5999855697155,19.039131214475695,6.892591953277588,6.892591953277588,7.5402021408081055,7.828509140014648,9.384711503982542,41.966434478759766,52.36817646026611,53.39721298217773,54.47085189819336,55.06289291381836,55.06289291381836,252,63.63636363636363,0,0.0,0,0,48
std,144.0,14.950618969069588,3.049348977762961,8.366525650024414,8.366525650024414,11.044708251953123,11.5897798538208,12.68117332458496,14.25539493560791,17.440011978149414,19.394929885864254,19.41196632385254,19.89557266235352,19.89557266235352,252,63.63636363636363,0,0.0,0,0,48
min,36.0,0.9661835564507378,2.7715445484920975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34782600402832,8.69565200805664,8.69565200805664,8.69565200805664,360,90.9090909090909,32,8.080808080808081,0,0,2
p01,36.0,4.7075847938325674,8.264898544608327,0.0,0.0,0.0,0.0,0.0,0.0,9.64696216583252,17.45039152145386,25.445819568634032,25.445819568634032,25.445819568634032,360,90.9090909090909,24,6.0606060606060606,0,0,5
p05,36.0,15.469768775833977,11.564357247698341,0.0,0.0,0.0,0.0,0.0,20.0,25.0,27.407830190658572,29.0615177154541,29.06329034805298,29.0642448425293,360,90.9090909090909,12,3.0303030303030303,0,0,9
p25,36.0,25.096769279903835,18.306400124737376,0.0,0.0,0.0,0.0,0.0,33.5820426940918,40.6382417678833,42.53989410400391,42.53989410400391,42.53989410400391,42.53989410400391,360,90.9090909090909,12,3.0303030303030303,0,0,9
median,144.0,31.99972068828841,21.57462939446918,0.0,0.0,2.040816307067871,2.0768805027008055,3.6706348657608037,40.07280731201172,52.78074836730957,53.70879364013672,54.34782791137695,54.83871078491211,54.83871078491211,252,63.63636363636363,3,0.7575757575757576,0,0,43
p75,36.0,41.605985648102234,22.233491605517123,10.0,10.0,10.0,10.460777759552002,13.899000465869904,48.72702121734619,64.0,64.38356018066406,64.38356018066406,64.38356018066406,64.38356018066406,360,90.9090909090909,0,0.0,0,0,12
p95,36.0,63.09352501233419,20.13979709210249,33.98301925659177,33.98301925659177,33.98301925659177,35.515706062316895,38.73936691284179,69.20129222869872,81.63875770568848,85.71428680419922,85.71428680419922,85.71428680419922,85.71428680419922,360,90.9090909090909,0,0.0,0,0,12
p99,36.0,80.44330998844569,18.80346273674119,54.15642204284667,54.15642204284667,54.15642204284667,55.28315559387199,58.125207185745225,84.67431362152095,100.0,100.0,100.0,100.0,100.0,360,90.9090909090909,0,0.0,0,0,11
max,36.0,96.61195797390408,7.832075836276213,72.09302520751953,72.09302520751953,72.09302520751953,92.85713958740234,95.79499816894533,100.0,100.0,100.0,100.0,100.0,100.0,360,90.9090909090909,0,0.0,0,0,4
zero_ratio,396.0,0.15106524416838746,0.21670866051553042,0.0,0.0,0.0,0.0,0.0064516129032258,0.0194577352472089,0.35952597359362926,0.4700854700854701,0.6373937677053825,0.6938271604938272,0.6938271604938272,0,0.0,52,13.131313131313133,0,0,103
hundred_ratio,36.0,0.00722815119211938,0.008466585583088415,0.0,0.0,0.0,0.0,0.0,0.00333357271739805,0.0128311258278145,0.0229665071770334,0.0229665071770334,0.0229665071770334,0.0229665071770334,360,90.9090909090909,10,2.525252525252525,0,0,9
skewness,36.0,0.9824392581875954,0.992603742520018,-0.0671518966555595,-0.0671518966555595,-0.0671518966555595,-0.0671518966555595,-0.0121482973918318,0.5874004513025284,1.849425107240677,2.479303359985352,2.641191244125366,2.641191244125366,2.641191244125366,360,90.9090909090909,0,0.0,12,0,12
school_icc,36.0,0.532483364144961,0.32718603454497475,0.183607593178749,0.183607593178749,0.183607593178749,0.183607593178749,0.3320081681013107,0.4786875247955322,0.6901851743459702,0.9311037063598632,1.348605036735535,1.348605036735535,1.348605036735535,360,90.9090909090909,0,0.0,0,0,12
