column,dtype,count,missing_n,missing_pct,nunique,top,freq,top_pct,sample_values
label,str,15,0,0.0,15,mart_department_model_base_2024.parquet,1,6.666666666666667,mart_department_model_base_2024.parquet | P4_PHASE_SAMPLE_REGISTRY_FINAL.csv | P4_PHASE_SAMPLE_MEMBERSHIP_FINAL.parquet | department_model_column_registry_v4.csv | P4_PHASE_FEATURE_SET_FINAL.csv
path,str,15,0,0.0,15,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_model_base_2024.parquet,1,6.666666666666667,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_model_base_2024.parquet | /home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_4/p4_modeling_readiness_v4/artifacts/P4_PHASE_SAMPLE_REGISTRY_FINAL.csv | /home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_4/p4_modeling_readiness_v4/data/P4_PHASE_SAMPLE_MEMBERSHIP_FINAL.parquet | /home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_4/p4_modeling_readiness_v4/artifacts/department_model_column_registry_v4.csv | /home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_4/p4_modeling_readiness_v4/artifacts/P4_PHASE_FEATURE_SET_FINAL.csv
relative_path,str,15,0,0.0,15,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_model_base_2024.parquet,1,6.666666666666667,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_model_base_2024.parquet | workbook/p2/p2_4/p4_modeling_readiness_v4/artifacts/P4_PHASE_SAMPLE_REGISTRY_FINAL.csv | workbook/p2/p2_4/p4_modeling_readiness_v4/data/P4_PHASE_SAMPLE_MEMBERSHIP_FINAL.parquet | workbook/p2/p2_4/p4_modeling_readiness_v4/artifacts/department_model_column_registry_v4.csv | workbook/p2/p2_4/p4_modeling_readiness_v4/artifacts/P4_PHASE_FEATURE_SET_FINAL.csv
shape,object,15,0,0.0,15,"[10242, 151]",1,6.666666666666667,"[10242, 151] | [12, 11] | [10242, 21] | [151, 22] | [250, 11]"
mtime,str,15,0,0.0,15,2026-07-12T21:47:51.507501,1,6.666666666666667,2026-07-12T21:47:51.507501 | 2026-07-13T11:12:50.205743 | 2026-07-13T11:12:50.209943 | 2026-07-13T11:12:50.014680 | 2026-07-13T11:12:50.386869
sha256,str,15,0,0.0,15,598b68b31b5358dfd23839d4c138cc64838d05876b7791980b376c0453f29962,1,6.666666666666667,598b68b31b5358dfd23839d4c138cc64838d05876b7791980b376c0453f29962 | 6483fdf67cca469ed7bd2500e5ef917ffd01007194c83461f5c827b03f16805e | 58d0308aa92f04badea3c7fc2db44fc28d0d93580db9bff4f16d47d870ebc7c6 | ab75225547d42ddc8e6cdf686be61ecc8bf87512729d8d9d053652b521093b94 | dc851803d22a22e891a7fdd9a31dbe0c3d2ac56421a9798e06a9e87e20ce2320
