position,column,dtype,non_null_n,missing_n,missing_pct,nunique,unique_ratio,is_all_null,is_constant,is_identifier_candidate,top_value_share
56,grain_resolution_method,str,8561,1681,16.412809998047255,1,0.00011680878402055835,False,True,False,0.8358719000195274
57,grain_review_needed,boolean,8561,1681,16.412809998047255,1,0.00011680878402055835,False,True,False,0.8358719000195274
58,raw_row_lineage,string,8561,1681,16.412809998047255,8547,0.9983646770237122,False,False,True,0.16412809998047256
59,school_uid_y,string,8561,1681,16.412809998047255,198,0.02312813923607055,False,False,True,0.16412809998047256
60,campus_uid,string,10242,0,0.0,452,0.044132005467682096,False,False,True,0.012790470611208749
61,dept_uid,string,10242,0,0.0,10222,0.9980472563952353,False,False,True,0.00019527436047646945
62,kedi_dept_code,string,8561,1681,16.412809998047255,3929,0.45894171241677373,False,False,False,0.16412809998047256
63,school_type,string,8561,1681,16.412809998047255,5,0.0005840439201027917,False,False,False,0.8127318883030658
64,degree_course,string,8561,1681,16.412809998047255,1,0.00011680878402055835,False,True,False,0.8358719000195274
65,school_status_raw,string,8561,1681,16.412809998047255,3,0.00035042635206167504,False,False,True,0.8147822690880687
66,day_evening_raw,string,8561,1681,16.412809998047255,4,0.0004672351360822334,False,False,True,0.4270650263620387
67,campus_name_raw_y,string,8561,1681,16.412809998047255,5,0.0005840439201027917,False,False,True,0.7349150556531927
68,campus_name_std_y,string,8561,1681,16.412809998047255,5,0.0005840439201027917,False,False,True,0.7349150556531927
69,region_sido,string,8561,1681,16.412809998047255,17,0.001985749328349492,False,False,True,0.16412809998047256
70,region_sigungu,string,8561,1681,16.412809998047255,120,0.014017054082467001,False,False,False,0.16412809998047256
71,hc_major_group_raw,string,8561,1681,16.412809998047255,7,0.0008176614881439084,False,False,True,0.2159734426869752
72,hc_major_group_7,string,8561,1681,16.412809998047255,7,0.0008176614881439084,False,False,False,0.2159734426869752
73,field_middle_name,string,8561,1681,16.412809998047255,35,0.004088307440719542,False,False,True,0.16412809998047256
74,field_small_name,string,8561,1681,16.412809998047255,121,0.01413386286648756,False,False,True,0.16412809998047256
75,admission_capacity_n,Int32,8561,1681,16.412809998047255,228,0.026632402756687303,False,False,False,0.35901191173598906
76,recruitment_n,Int32,8561,1681,16.412809998047255,256,0.029903048709262938,False,False,False,0.32259324350712754
77,applicants_n,Int32,8561,1681,16.412809998047255,1250,0.14601098002569793,False,False,False,0.32230033196641283
78,admits_n,Int32,8561,1681,16.412809998047255,243,0.02838453451699568,False,False,False,0.30404217926186294
79,enrolled_students_n,Int32,8561,1681,16.412809998047255,836,0.09765214344118678,False,False,False,0.16412809998047256
80,leave_students_n,Int32,8561,1681,16.412809998047255,354,0.041350309543277654,False,False,False,0.16412809998047256
81,graduates_n,Int32,8561,1681,16.412809998047255,246,0.028734960869057354,False,False,False,0.20796719390743995
82,fulltime_faculty_n,Int32,8561,1681,16.412809998047255,95,0.011096834481953043,False,False,False,0.26498730716656904
83,nonfulltime_faculty_n,Int32,8561,1681,16.412809998047255,108,0.012615348674220301,False,False,False,0.2551259519625073
84,international_students_n,Int32,8561,1681,16.412809998047255,184,0.021492816259782735,False,False,False,0.4994141769185706
85,female_students_n,Int32,8561,1681,16.412809998047255,488,0.057002686602032476,False,False,False,0.16412809998047256
86,masters_students_n,Int32,8561,1681,16.412809998047255,1,0.00011680878402055835,False,True,False,0.8358719000195274
87,doctoral_students_n,Int32,8561,1681,16.412809998047255,1,0.00011680878402055835,False,True,False,0.8358719000195274
88,competition_ratio,Float32,5257,4985,48.67213434876001,3947,0.7508084458816816,False,False,False,0.4867213434876001
89,admission_yield_ratio,Float32,5257,4985,48.67213434876001,842,0.16016739585314818,False,False,False,0.4867213434876001
90,admit_per_applicant_ratio,Float32,5260,4982,48.64284319468854,3926,0.7463878326996197,False,False,False,0.4864284319468854
91,leave_rate_pct,Float32,8441,1801,17.584456160906072,4284,0.5075228053548158,False,False,False,0.17584456160906073
92,female_student_share_pct,Float32,8441,1801,17.584456160906072,4857,0.5754057576116574,False,False,True,0.17584456160906073
93,international_student_share_pct,Float32,8441,1801,17.584456160906072,1927,0.22829048690913398,False,False,True,0.4876977152899824
94,student_faculty_ratio,Float32,6379,3863,37.71724272603007,3288,0.515441291738517,False,False,False,0.3771724272603007
95,fulltime_faculty_share_pct,Float32,6379,3863,37.71724272603007,613,0.0960965668600094,False,False,True,0.3771724272603007
96,log_enrolled_students,Float32,8561,1681,16.412809998047255,836,0.09765214344118678,False,False,False,0.16412809998047256
97,log_graduates,Float32,8561,1681,16.412809998047255,246,0.028734960869057354,False,False,False,0.20796719390743995
98,school_uid,str,10242,0,0.0,200,0.019527436047646944,False,False,True,0.021187268111696935
