column,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max,missing_n,missing_pct,zero_n,zero_pct,negative_n,inf_n,nunique
analysis_year,10242.0,2024.0,0.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,0,0.0,0,0.0,0,0,1
selectivity_proxy_pct,3737.0,69.65612278780398,19.07292092530735,0.10000000149011612,3.7734000205993654,30.763999938964847,43.6879997253418,61.400001525878906,72.5,82.87000274658203,91.16999816894531,94.16999816894531,97.78200195312499,100.0,6505,63.51298574497169,0,0.0,0,0,1609
a_rate_pct,10242.0,41.72642670396342,17.010999008660193,0.0,0.0,14.643037891387939,25.73186378479004,32.47653865814209,39.79155158996582,49.94047260284424,63.41296615600586,73.03609085083006,92.85713958740234,100.0,0,0.0,319,3.1146260495996874,0,0,9203
cd_rate_pct,10242.0,18.606949728180876,12.729525279825651,0.0,0.0,0.8335517346858982,4.436792802810671,10.41239881515503,17.967907905578613,24.79216432571411,30.355445861816406,35.5510112762451,66.66666412353516,100.0,0,0.0,475,4.6377660613161495,0,0,8975
f_rate_pct,10242.0,3.9370096781909587,9.650918995653647,0.0,0.0,0.0,0.0,0.5130970180034637,1.6950897574424744,3.5109257102012634,7.1833613872528055,12.752199506759618,50.73750000000018,100.0,0,0.0,1808,17.65280218707284,0,0,7453
employment_rate_pct,7477.0,61.58654536827213,17.44464687285788,0.0,0.0,33.33333206176758,40.74074172973633,50.0,62.068965911865234,72.0,82.75862121582031,91.66666412353516,100.0,100.0,2765,26.996680335871897,78,0.7615700058582308,0,0,1135
health_employment_rate_pct,7477.0,52.67570489068648,19.217385169196966,0.0,0.0,20.0,28.998302841186526,41.17647171020508,52.94117736816406,64.0,75.75757598876953,86.20689392089844,100.0,100.0,2765,26.996680335871897,136,1.3278656512399922,0,0,1196
progression_rate_pct,7587.0,8.373069703417897,13.086164274757282,0.0,0.0,0.0,0.0,0.0,2.941176414489746,11.11111068725586,25.0,35.89743423461914,57.52692291259772,100.0,2655,25.92267135325132,3098,30.24799843780512,0,0,971
vocational_college_progression_rate_pct,7587.0,0.1093474330103875,0.945584596232839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758045196533,50.0,2655,25.92267135325132,7339,71.65592657684046,0,0,120
university_progression_rate_pct,7587.0,0.20163273969445442,0.9872640963024699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.470588207244873,4.761904716491699,25.0,2655,25.92267135325132,7077,69.0978324545987,0,0,182
graduate_school_progression_rate_pct,7587.0,8.062089533034058,13.011694136088755,0.0,0.0,0.0,0.0,0.0,2.3809523582458496,10.84119462966919,25.0,35.48387145996094,57.19285667419445,100.0,2655,25.92267135325132,3343,32.64010935364187,0,0,946
domestic_progression_rate_pct,7587.0,8.297620977987897,13.025195067506385,0.0,0.0,0.0,0.0,0.0,2.857142925262451,11.11111068725586,25.0,35.71428680419922,57.19285667419445,100.0,2655,25.92267135325132,3119,30.45303651630541,0,0,965
overseas_progression_rate_pct,7587.0,0.07544872484864557,0.6575069798933307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.745053291320813,18.18181800842285,2655,25.92267135325132,7406,72.31009568443663,0,0,107
match_score,9877.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365,3.5637570786955672,0,0.0,0,0,1
candidate_count,10242.0,2.850224565514548,13.771810052502351,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,81.0,180.0,0,0.0,176,1.718414372192931,0,0,42
admission_capacity_n,8561.0,32.21843242611845,135.00313233271748,0.0,0.0,0.0,0.0,0.0,20.0,40.0,63.0,88.0,179.0,4500.0,1681,16.412809998047255,3677,35.9011911735989,0,0,228
recruitment_n,8561.0,36.85527391659853,144.58456750079,0.0,0.0,0.0,0.0,0.0,26.0,43.0,71.0,100.0,204.1999999999989,4815.0,1681,16.412809998047255,3304,32.25932435071275,0,0,256
applicants_n,8561.0,260.5523887396332,500.6805056916357,0.0,0.0,0.0,0.0,0.0,114.0,329.0,667.0,996.0,2135.399999999998,14788.0,1681,16.412809998047255,3301,32.23003319664129,0,0,1250
admits_n,8561.0,31.52715804228478,45.64514685864314,0.0,0.0,0.0,0.0,0.0,26.0,43.0,71.0,100.0,198.0,1069.0,1681,16.412809998047255,3114,30.404217926186295,0,0,243
enrolled_students_n,8561.0,189.34481953042868,356.2062716387235,0.0,0.0,5.0,16.0,55.0,132.0,225.0,368.0,516.0,1080.9999999999964,13106.0,1681,16.412809998047255,120,1.1716461628588166,0,0,836
leave_students_n,8561.0,45.82548767667328,93.37636215435334,0.0,0.0,0.0,1.0,7.0,28.0,56.0,96.0,142.0,305.7999999999993,3191.0,1681,16.412809998047255,724,7.068931849248193,0,0,354
