rank,position,column,dtype,non_null_n,missing_n,missing_pct,nunique,unique_ratio,is_all_null,is_constant,is_identifier_candidate,top_value_share
1,122,ctx24_industry_top3_pct,Float32,0,10242,100.0,0,,True,True,False,1.0
2,123,ctx24_industry_hhi,Float32,0,10242,100.0,0,,True,True,False,1.0
3,15,selectivity_proxy_pct,Float32,3737,6505,63.51298574497169,1609,0.43055927214343054,False,False,False,0.6351298574497168
4,88,competition_ratio,Float32,5257,4985,48.67213434876001,3947,0.7508084458816816,False,False,False,0.4867213434876001
5,89,admission_yield_ratio,Float32,5257,4985,48.67213434876001,842,0.16016739585314818,False,False,False,0.4867213434876001
6,90,admit_per_applicant_ratio,Float32,5260,4982,48.64284319468854,3926,0.7463878326996197,False,False,False,0.4864284319468854
7,94,student_faculty_ratio,Float32,6379,3863,37.71724272603007,3288,0.515441291738517,False,False,False,0.3771724272603007
8,95,fulltime_faculty_share_pct,Float32,6379,3863,37.71724272603007,613,0.0960965668600094,False,False,True,0.3771724272603007
9,19,employment_rate_pct,Float32,7477,2765,26.996680335871897,1135,0.15179884980607194,False,False,False,0.269966803358719
10,20,health_employment_rate_pct,Float32,7477,2765,26.996680335871897,1196,0.1599572020863983,False,False,False,0.269966803358719
11,21,progression_rate_pct,Float32,7587,2655,25.92267135325132,971,0.12798207460129168,False,False,False,0.3024799843780512
12,22,vocational_college_progression_rate_pct,Float32,7587,2655,25.92267135325132,120,0.015816528272044286,False,False,False,0.7165592657684046
13,23,university_progression_rate_pct,Float32,7587,2655,25.92267135325132,182,0.0239884012126005,False,False,False,0.6909783245459871
14,24,graduate_school_progression_rate_pct,Float32,7587,2655,25.92267135325132,946,0.1246869645446158,False,False,False,0.32640109353641866
15,25,domestic_progression_rate_pct,Float32,7587,2655,25.92267135325132,965,0.12719124818768948,False,False,False,0.3045303651630541
16,26,overseas_progression_rate_pct,Float32,7587,2655,25.92267135325132,107,0.014103071042572822,False,False,False,0.7231009568443664
17,91,leave_rate_pct,Float32,8441,1801,17.584456160906072,4284,0.5075228053548158,False,False,False,0.17584456160906073
18,92,female_student_share_pct,Float32,8441,1801,17.584456160906072,4857,0.5754057576116574,False,False,True,0.17584456160906073
19,93,international_student_share_pct,Float32,8441,1801,17.584456160906072,1927,0.22829048690913398,False,False,True,0.4876977152899824
20,38,headcount_row_id,str,8561,1681,16.412809998047255,8547,0.9983646770237122,False,False,True,0.16412809998047256
21,54,headcount_grain_version,str,8561,1681,16.412809998047255,1,0.00011680878402055835,False,True,False,0.8358719000195274
22,55,headcount_grain_uid,string,8561,1681,16.412809998047255,8547,0.9983646770237122,False,False,True,0.16412809998047256
23,56,grain_resolution_method,str,8561,1681,16.412809998047255,1,0.00011680878402055835,False,True,False,0.8358719000195274
24,57,grain_review_needed,boolean,8561,1681,16.412809998047255,1,0.00011680878402055835,False,True,False,0.8358719000195274
25,58,raw_row_lineage,string,8561,1681,16.412809998047255,8547,0.9983646770237122,False,False,True,0.16412809998047256
26,59,school_uid_y,string,8561,1681,16.412809998047255,198,0.02312813923607055,False,False,True,0.16412809998047256
27,62,kedi_dept_code,string,8561,1681,16.412809998047255,3929,0.45894171241677373,False,False,False,0.16412809998047256
28,63,school_type,string,8561,1681,16.412809998047255,5,0.0005840439201027917,False,False,False,0.8127318883030658
29,64,degree_course,string,8561,1681,16.412809998047255,1,0.00011680878402055835,False,True,False,0.8358719000195274
30,65,school_status_raw,string,8561,1681,16.412809998047255,3,0.00035042635206167504,False,False,True,0.8147822690880687
