column,dtype,count,missing_n,missing_pct,nunique,top,freq,top_pct,sample_values
group_id,str,36,0,0.0,18,DUPCON_001,2,5.555555555555555,DUPCON_001 | DUPCON_002 | DUPCON_003 | DUPCON_004 | DUPCON_005
classification,str,36,0,0.0,3,PARENT_HEADCOUNT_REUSED,28,77.77777777777779,PARENT_HEADCOUNT_REUSED | CAMPUS_CONFLICT | TRUE_DUPLICATE
dept_uid,str,36,0,0.0,18,DEP_01160bffef8e,2,5.555555555555555,DEP_01160bffef8e | DEP_0e4cb5dc34e5 | DEP_1e8ebec67414 | DEP_31efbd40bac2 | DEP_40fc3d69b657
outcome_row_id,str,36,0,0.0,36,OC2024_01626,1,2.7777777777777777,OC2024_01626 | OC2024_01696 | OC2024_03092 | OC2024_03093 | OC2024_09486
school,str,36,0,0.0,6,연세대학교,16,44.44444444444444,고려대학교 | 단국대학교 | 한남대학교 | 연세대학교 | 우석대학교
campus,str,36,0,0.0,3,unknown,21,58.333333333333336,unknown | 분교 | 제2캠퍼스
department,str,36,0,0.0,19,국어국문학과,4,11.11111111111111,사회학과 | 뉴뮤직학부 | 뉴뮤직과 | 토목환경공학전공 | 의예과
split,str,36,0,0.0,2,train,34,94.44444444444444,train | val
active_sample_ids,str,36,0,0.0,8,GRADE_ALL|EMPLOYMENT_HEALTH|PROGRESSION_GRADSCHOOL|JOINT_EMP_PROG|GRADE_STRUCTURE|JOINT_EMP_PROG_STRUCTURE|P1_SIGNAL_ALIGNMENT_CORE|P2_STRUCTURE_READY|P3_STRUCTURE_READY|P4_STRUCTURE_READY,15,41.66666666666667,GRADE_ALL|GRADE_SELECTIVITY|EMPLOYMENT_HEALTH|PROGRESSION_GRADSCHOOL|JOINT_EMP_PROG|GRADE_STRUCTURE|GRADE_SELECTIVITY_STRUCTURE|JOINT_EMP_PROG_STRUCTURE|JOINT_EMP_PROG_SELECTIVITY|P1_SIGNAL_ALIGNMENT_CORE|P1_SIGNAL_ALIGNMENT_SELECTIVITY|P2_STRUCTURE_READY|P2_SELECTIVITY_READY|P3_STRUCTURE_READY|P3_SELECTIVITY_READY|P4_STRUCTURE_READY|P4_SELECTIVITY_READY | GRADE_ALL|EMPLOYMENT_HEALTH|PROGRESSION_GRADSCHOOL|JOINT_EMP_PROG|GRADE_STRUCTURE|JOINT_EMP_PROG_STRUCTURE|P1_SIGNAL_ALIGNMENT_CORE|P2_STRUCTURE_READY|P3_STRUCTURE_READY|P4_STRUCTURE_READY | GRADE_ALL|GRADE_STRUCTURE|P2_STRUCTURE_READY|P3_STRUCTURE_READY | GRADE_ALL|EMPLOYMENT_HEALTH|PROGRESSION_GRADSCHOOL|JOINT_EMP_PROG|P1_SIGNAL_ALIGNMENT_CORE | GRADE_ALL|GRADE_SELECTIVITY|GRADE_STRUCTURE|GRADE_SELECTIVITY_STRUCTURE|P2_STRUCTURE_READY|P2_SELECTIVITY_READY|P3_STRUCTURE_READY|P3_SELECTIVITY_READY
resolution,str,36,0,0.0,3,ALLOW_CONTEXT_FEATURE_ONLY,28,77.77777777777779,ALLOW_CONTEXT_FEATURE_ONLY | EXCLUDE_PRIMARY_PENDING_CAMPUS_REVIEW | EXCLUDE_PRIMARY_PENDING_CAUSE_REVIEW
model_allowed,bool,36,0,0.0,2,True,28,77.77777777777779,True | False
weight_allowed,bool,36,0,0.0,1,False,36,100.0,False
denominator_allowed,bool,36,0,0.0,1,False,36,100.0,False
exclusion_reason,str,8,28,77.77777777777779,2,TRUE_DUPLICATE_PENDING_REVIEW,6,16.666666666666664,CAMPUS_CONFLICT_PENDING_REVIEW | TRUE_DUPLICATE_PENDING_REVIEW
