column,count,mean,std,min,25%,50%,75%,max
2015__전체__빈도,10.0,76189.0,134090.5352522027,273.0,6131.0,18843.5,30780.0,380947.0
2015__전체__비중,10.0,19.95,35.21616579546009,0.0,1.575,4.9,8.0,100.0
2015__전문대__빈도,10.0,27613.8,51856.717318652816,104.0,1749.0,3554.0,8188.75,138070.0
2015__전문대__비중,10.0,19.970000000000002,37.562157375031944,0.0,1.25,2.55,5.8999999999999995,100.0
2015__4년제__빈도,10.0,47793.6,81686.15183221422,169.0,4380.5,14205.0,22327.75,238970.0
2015__4년제__비중,10.0,19.96,34.19929174055444,0.0,1.8250000000000002,5.9,9.275,100.0
2015__교육대__빈도,10.0,781.1,1571.3290517548796,0.0,0.0,4.0,186.0,3906.0
2015__교육대__비중,10.0,19.99,40.2209577763191,0.0,0.0,0.1,4.75,100.0
2016__전체__빈도,10.0,77660.5,135533.27414677342,19.0,5490.75,19872.0,33576.25,388305.0
2016__전체__비중,10.0,19.96,34.91660540965191,0.0,1.375,5.1,8.575,100.0
2016__전문대__빈도,10.0,27144.6,50288.15290834744,19.0,1327.75,3930.5,9435.25,135725.0
2016__전문대__비중,10.0,19.95,37.061877688236166,0.0,0.8999999999999999,2.85,6.8999999999999995,100.0
2016__4년제__빈도,10.0,49835.5,84757.27835183896,0.0,4163.0,15855.5,23624.5,249179.0
2016__4년제__비중,10.0,19.96,34.03231144401188,0.0,1.65,6.300000000000001,9.4,100.0
2016__교육대__빈도,10.0,679.8,1376.1360397867645,0.0,0.0,9.5,136.75,3400.0
2016__교육대__비중,10.0,19.98,40.46828113199,0.0,0.0,0.25,4.0,100.0
2017__전체__빈도,10.0,75111.1,129764.68638907721,10.0,5926.25,21802.0,33053.0,375557.0
2017__전체__비중,10.0,19.96,34.556658789105555,0.0,1.55,5.75,8.75,100.0
2017__전문대__빈도,10.0,25565.1,46464.2779167203,0.0,1407.5,4696.5,10093.5,127827.0
2017__전문대__비중,10.0,19.96,36.35635967597538,0.0,1.025,3.6500000000000004,7.824999999999999,100.0
2017__4년제__빈도,10.0,48867.7,82745.07116311454,10.0,4518.0,15424.5,23653.25,244341.0
2017__4년제__비중,10.0,19.96,33.88038436093139,0.0,1.825,6.25,9.6,100.0
2017__교육대__빈도,10.0,677.5,1375.0134746814504,0.0,0.0,0.0,153.25,3388.0
2017__교육대__비중,10.0,19.990000000000002,40.577208983478506,0.0,0.0,0.0,4.5,100.0
2018__전체__빈도,10.0,72979.8,125829.94809203588,11.0,5142.5,20911.0,32882.0,364901.0
2018__전체__비중,10.0,19.950000000000003,34.50659357282316,0.0,1.35,5.65,8.95,100.0
2018__전문대__빈도,10.0,24595.6,45049.47418659722,0.0,1178.75,4014.5,9675.25,122979.0
2018__전문대__비중,10.0,19.96,36.64878958134604,0.0,0.9249999999999999,3.2,7.800000000000001,100.0
2018__4년제__빈도,10.0,47729.1,80309.72880382827,11.0,3925.75,15890.5,23903.75,238648.0
2018__4년제__비중,10.0,19.96,33.662118504666665,0.0,1.6,6.6,9.95,100.0
2018__교육대__빈도,10.0,654.5,1321.3750624086847,0.0,0.0,0.0,152.75,3273.0
2018__교육대__비중,10.0,19.990000000000002,40.3725553095444,0.0,0.0,0.0,4.65,100.0
2019__전체__빈도,10.0,64590.5,108849.8547207217,1524.0,4659.75,22800.0,29861.75,322955.0
2019__전체__비중,10.0,19.95,33.725435504971614,0.4,1.375,7.0,9.225,100.0
2019__전문대__빈도,10.0,21895.1,38673.87911598445,227.0,1722.5,3970.0,10475.75,109478.0
2019__전문대__비중,10.0,19.96,35.32786750176441,0.2,1.5499999999999998,3.5999999999999996,9.5,100.0
2019__4년제__빈도,10.0,42036.0,69614.65598883934,1297.0,2936.25,16662.5,20738.5,210182.0
2019__4년제__비중,10.0,19.97,33.12404464031126,0.6,1.375,7.9,9.8,100.0
2019__교육대__빈도,10.0,658.6,1370.207137625549,0.0,0.0,0.0,43.5,3294.0
2019__교육대__비중,10.0,19.99,41.595471174422606,0.0,0.0,0.0,1.3250000000000002,100.0
