분류,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
전체,46.7,47.1,46.1,45.7,45.3,44.5,45.1,44.6,44.0,43.9,43.1,42.1,41.9
1. 내국인이 운영하는 국내외의 민간회사 또는개인사업체,47.8,48.5,47.1,47.1,46.8,45.8,46.0,45.5,44.9,44.5,43.6,42.3,41.8
2. 외국인이 운영하는 국내외에 위치하는 외국인 회사,45.9,46.1,44.7,45.7,45.7,44.5,44.4,45.7,44.3,44.4,43.8,42.6,41.5
3. 정부투자기관/정부출연기관/공사합동기업,44.8,43.9,43.9,43.5,43.4,42.9,43.6,43.1,42.5,42.2,43.1,42.3,42.3
"4. (재단, 사단) 법인단체",47.6,43.6,44.4,43.5,43.9,43.5,45.6,44.4,44.2,43.9,43.1,42.2,42.9
"5. 정부기관(공무원, 군인 등)",45.8,45.2,44.8,44.3,44.9,44.4,44.4,46.0,44.8,45.6,45.1,44.4,44.3
"6. 교육기관(대학, 초/중/고 등)",42.0,44.5,42.8,42.2,40.9,39.4,42.2,40.8,39.8,41.2,40.6,40.0,40.4
7. 연구기관(국립/사립),43.2,46.0,44.3,44.7,42.2,43.3,44.9,43.2,43.8,45.8,44.3,43.3,41.7
8. 특정한 회사나 사업체에 소속되어 있지 않다,33.0,28.4,37.4,29.3,30.6,33.6,34.2,28.4,34.4,27.5,31.4,33.2,32.4
9. 기타,40.1,47.2,43.5,36.2,27.3,40.5,28.7,34.8,46.8,30.0,35.0,41.0,42.7
