분류,2017,2018,2019
전체,43.1,42.1,41.9
경영·사무·금융·보험직,43.3,42.2,42.4
연구직 및 공학 기술직,45.6,44.8,44.7
교육·법률·사회복지·경찰·소방직 및 군인,38.4,38.0,38.7
보건·의료직,46.2,44.9,45.3
예술·디자인·방송·스포츠직,42.6,41.5,40.8
미용·여행·숙박·음식·경비·청소직,38.9,36.6,33.6
영업·판매·운전·운송직,42.0,40.2,38.2
건설·채굴직,42.9,43.0,46.2
설치·정비·생산직,47.0,45.2,45.8
농림어업직,49.6,48.6,46.1
