분류,2007__전체__빈도,2007__전체__비중,2007__남자__빈도,2007__남자__비중,2007__여자__빈도,2007__여자__비중,2008__전체__빈도,2008__전체__비중,2008__남자__빈도,2008__남자__비중,2008__여자__빈도,2008__여자__비중,2009__전체__빈도,2009__전체__비중,2009__남자__빈도,2009__남자__비중,2009__여자__빈도,2009__여자__비중,2010__전체__빈도,2010__전체__비중,2010__남자__빈도,2010__남자__비중,2010__여자__빈도,2010__여자__비중,2011__전체__빈도,2011__전체__비중,2011__남자__빈도,2011__남자__비중,2011__여자__빈도,2011__여자__비중,2012__전체__빈도,2012__전체__비중,2012__남자__빈도,2012__남자__비중,2012__여자__빈도,2012__여자__비중,2013__전체__빈도,2013__전체__비중,2013__남자__빈도,2013__남자__비중,2013__여자__빈도,2013__여자__비중,2014__전체__빈도,2014__전체__비중,2014__남자__빈도,2014__남자__비중,2014__여자__빈도,2014__여자__비중,2015__전체__빈도,2015__전체__비중,2015__남자__빈도,2015__남자__비중,2015__여자__빈도,2015__여자__비중,2016__전체__빈도,2016__전체__비중,2016__남자__빈도,2016__남자__비중,2016__여자__빈도,2016__여자__비중,2017__전체__빈도,2017__전체__비중,2017__남자__빈도,2017__남자__비중,2017__여자__빈도,2017__여자__비중,2018__전체__빈도,2018__전체__비중,2018__남자__빈도,2018__남자__비중,2018__여자__빈도,2018__여자__비중,2019__전체__빈도,2019__전체__비중,2019__남자__빈도,2019__남자__비중,2019__여자__빈도,2019__여자__비중
전체,390296,100.0,200119,100.0,190176,100.0,392483,100.0,197196,100.0,195287,100.0,359613,100.0,180392,100.0,179221,100.0,376517,100.0,185259,100.0,191258,100.0,380683,100.0,189647,100.0,191036,100.0,381658,100.0,189166,100.0,192491,100.0,361366,100.0,176982,100.0,184383,100.0,370190,100.0,180373,100.0,189816,100.0,379583,100.0,185905,100.0,193678,100.0,388117,100.0,189919,100.0,198197,100.0,375179,100.0,183603,100.0,191575,100.0,364556,100.0,180176,100.0,184379,100.0,319667,100.0,157757,100.0,161909,100.0
"농업,임업 및 어업",1490,0.3,1172,0.5,317,0.1,1523,0.3,1281,0.6,241,0.1,1178,0.3,929,0.5,249,0.1,1822,0.4,1309,0.7,513,0.2,1406,0.3,1141,0.6,265,0.1,1658,0.4,1469,0.7,189,0.0,1615,0.4,1340,0.7,274,0.1,1899,0.5,1629,0.9,270,0.1,1273,0.3,1076,0.5,196,0.1,1543,0.3,1187,0.6,356,0.1,1551,0.4,1163,0.6,388,0.2,1788,0.4,1412,0.7,376,0.2,1043,0.3,879,0.5,164,0.1
광업,188,0.0,171,0.0,17,0.0,102,0.0,68,0.0,34,0.0,89,0.0,65,0.0,23,0.0,280,0.0,103,0.0,177,0.0,131,0.0,108,0.0,23,0.0,190,0.0,121,0.0,69,0.0,73,0.0,58,0.0,14,0.0,97,0.0,71,0.0,25,0.0,101,0.0,43,0.0,57,0.0,120,0.0,60,0.0,60,0.0,35,0.0,35,0.0,0,0.0,13,0.0,13,0.0,0,0.0,66,0.0,16,0.0,49,0.0
제조업,67373,17.2,48708,24.3,18665,9.8,64181,16.3,46842,23.7,17339,8.8,60101,16.7,42600,23.6,17501,9.7,64919,17.2,46732,25.2,18187,9.5,68353,17.9,46938,24.7,21414,11.2,69078,18.0,48545,25.6,20533,10.6,66510,18.4,47653,26.9,18857,10.2,66948,18.0,46244,25.6,20704,10.9,64917,17.1,45602,24.5,19315,9.9,60838,15.6,43203,22.7,17634,8.8,55491,14.7,40068,21.8,15423,8.0,55774,15.2,40259,22.3,15514,8.4,46646,14.5,32714,20.7,13931,8.6
"전기, 가스, 증기 및 수도사업",2252,0.5,1838,0.9,414,0.2,1882,0.4,1548,0.7,333,0.1,1292,0.3,967,0.5,324,0.1,1463,0.3,1059,0.5,403,0.2,1472,0.3,912,0.4,560,0.2,1933,0.5,1448,0.7,484,0.2,1768,0.4,1366,0.7,401,0.2,2036,0.5,1500,0.8,536,0.2,1927,0.5,1470,0.7,457,0.2,2753,0.7,1951,1.0,802,0.4,2044,0.5,1694,0.9,350,0.1,2994,0.8,2338,1.2,656,0.3,2957,0.9,2290,1.4,666,0.4
"하수·폐기물처리, 원료재생 및 환경복원업",864,0.2,679,0.3,185,0.0,683,0.1,558,0.2,125,0.0,669,0.1,427,0.2,241,0.1,818,0.2,618,0.3,200,0.1,654,0.1,572,0.3,82,0.0,745,0.1,617,0.3,128,0.0,493,0.1,439,0.2,54,0.0,584,0.1,472,0.2,112,0.0,499,0.1,389,0.2,109,0.0,981,0.2,657,0.3,323,0.1,1158,0.3,930,0.5,228,0.1,1221,0.3,870,0.4,351,0.1,957,0.2,754,0.4,202,0.1
건설업,16618,4.2,12965,6.4,3653,1.9,16942,4.3,13248,6.7,3693,1.8,16669,4.6,12255,6.7,4414,2.4,13245,3.5,10152,5.4,3093,1.6,14172,3.7,9930,5.2,4242,2.2,14085,3.6,10135,5.3,3949,2.0,14054,3.8,10543,5.9,3510,1.9,13087,3.5,9368,5.1,3719,1.9,13711,3.6,9958,5.3,3753,1.9,13662,3.5,10311,5.4,3351,1.6,12415,3.3,8925,4.8,3490,1.8,11839,3.2,9360,5.1,2478,1.3,8279,2.5,6151,3.8,2127,1.3
도매 및 소매업,35391,9.0,21728,10.8,13663,7.1,33939,8.6,18416,9.3,15523,7.9,34964,9.7,20256,11.2,14708,8.2,36900,9.8,20844,11.2,16055,8.3,36510,9.5,20684,10.9,15826,8.2,34620,9.0,17979,9.5,16640,8.6,32045,8.8,17270,9.7,14774,8.0,33217,8.9,17709,9.8,15508,8.1,33692,8.8,17639,9.4,16053,8.2,35741,9.2,19516,10.2,16224,8.1,33149,8.8,17565,9.5,15584,8.1,30915,8.4,15058,8.3,15856,8.5,25086,7.8,11909,7.5,13177,8.1
운수업,6991,1.7,4424,2.2,2566,1.3,6833,1.7,4017,2.0,2815,1.4,5596,1.5,3517,1.9,2078,1.1,5996,1.5,3821,2.0,2175,1.1,5871,1.5,3474,1.8,2397,1.2,6971,1.8,4055,2.1,2916,1.5,7660,2.1,4509,2.5,3150,1.7,6154,1.6,3659,2.0,2494,1.3,7360,1.9,4651,2.5,2708,1.3,7498,1.9,4745,2.4,2753,1.3,8166,2.1,5481,2.9,2684,1.4,9338,2.5,6250,3.4,3087,1.6,9330,2.9,6456,4.0,2873,1.7
숙박 및 음식점업,11630,2.9,5593,2.7,6036,3.1,11933,3.0,6164,3.1,5769,2.9,11662,3.2,5609,3.1,6053,3.3,13339,3.5,6247,3.3,7092,3.7,14042,3.6,6858,3.6,7184,3.7,16499,4.3,7004,3.7,9495,4.9,17674,4.8,7060,3.9,10614,5.7,21532,5.8,9126,5.0,12405,6.5,22076,5.8,9487,5.1,12589,6.5,23100,5.9,9858,5.1,13242,6.6,23174,6.1,9339,5.0,13834,7.2,22794,6.2,9007,4.9,13787,7.4,19059,5.9,8069,5.1,10990,6.7
