분류,2017__전체__빈도,2017__전체__비중,2017__전문대__빈도,2017__전문대__비중,2017__4년제__빈도,2017__4년제__비중,2017__교육대__빈도,2017__교육대__비중,2018__전체__빈도,2018__전체__비중,2018__전문대__빈도,2018__전문대__비중,2018__4년제__빈도,2018__4년제__비중,2018__교육대__빈도,2018__교육대__비중,2019__전체__빈도,2019__전체__비중,2019__전문대__빈도,2019__전문대__비중,2019__4년제__빈도,2019__4년제__비중,2019__교육대__빈도,2019__교육대__비중
전체,375185,100.0,127636,100.0,244161,100.0,3388,100.0,364497,100.0,122953,100.0,238270,100.0,3273,100.0,322219,100.0,109345,100.0,209580,100.0,3294,100.0
경영·사무·금융·보험직,105174,28.0,24428,19.1,80746,33.0,0,0.0,100544,27.5,23988,19.5,76536,32.1,19,0.5,93008,28.8,20622,18.8,72386,34.5,0,0.0
연구직 및 공학 기술직,62362,16.6,11435,8.9,50927,20.8,0,0.0,64970,17.8,12897,10.4,52073,21.8,0,0.0,56621,17.5,11921,10.9,44699,21.3,0,0.0
교육·법률·사회복지·경찰·소방직 및 군인,54075,14.4,16942,13.2,33744,13.8,3388,100.0,47144,12.9,14017,11.4,29885,12.5,3241,99.0,41046,12.7,12646,11.5,25116,11.9,3283,99.6
보건·의료직,43678,11.6,24329,19.0,19348,7.9,0,0.0,41838,11.4,21658,17.6,20180,8.4,0,0.0,42865,13.3,23192,21.2,19673,9.3,0,0.0
예술·디자인·방송·스포츠직,27717,7.3,8060,6.3,19657,8.0,0,0.0,27167,7.4,7130,5.7,20036,8.4,0,0.0,20908,6.4,6581,6.0,14326,6.8,0,0.0
미용·여행·숙박·음식·경비·청소직,27798,7.4,16539,12.9,11258,4.6,0,0.0,28625,7.8,17202,13.9,11422,4.7,0,0.0,24206,7.5,12951,11.8,11244,5.3,10,0.3
영업·판매·운전·운송직,29065,7.7,11440,8.9,17625,7.2,0,0.0,27791,7.6,11323,9.2,16467,6.9,0,0.0,22807,7.0,9282,8.4,13525,6.4,0,0.0
건설·채굴직,1490,0.3,866,0.6,624,0.2,0,0.0,1676,0.4,983,0.8,692,0.2,0,0.0,1476,0.4,773,0.7,703,0.3,0,0.0
설치·정비·생산직,22070,5.8,12436,9.7,9634,3.9,0,0.0,22965,6.3,12569,10.2,10384,4.3,11,0.3,18265,5.6,10696,9.7,7568,3.6,0,0.0
농림어업직,1750,0.4,1156,0.9,594,0.2,0,0.0,1772,0.4,1182,0.9,590,0.2,0,0.0,1013,0.3,677,0.6,335,0.1,0,0.0
