분류,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
전체,196.5,188.9,192.5,198.3,206.5,205.1,205.3,205.3,208.1,217.0,227.2,235.7,242.6
1. 상용근로자,203.9,196.5,196.1,206.9,219.6,217.8,215.4,219.0,220.2,233.1,245.5,253.4,264.6
2. 임시근로자,123.3,113.4,121.3,110.1,123.4,132.3,126.1,137.0,137.7,135.9,135.7,136.4,146.3
3. 일용근로자,105.1,95.0,106.7,108.9,132.6,101.4,97.7,109.7,107.3,112.8,109.0,116.5,117.3
4. 고용원이 있는 자영업자,352.9,382.0,360.2,418.0,378.6,401.9,402.4,334.5,362.5,397.2,444.9,396.5,461.8
5. 고용원이 없는 자영업자,206.0,178.0,202.4,194.5,204.8,193.6,189.3,193.6,218.9,199.2,191.6,230.6,196.0
6. 무급가족종사자,130.0,26.7,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
