분류,2007__전체__빈도,2007__전체__비중,2007__인문__빈도,2007__인문__비중,2007__사회__빈도,2007__사회__비중,2007__교육__빈도,2007__교육__비중,2007__공학__빈도,2007__공학__비중,2007__자연__빈도,2007__자연__비중,2007__의약__빈도,2007__의약__비중,2007__예체능__빈도,2007__예체능__비중,2008__전체__빈도,2008__전체__비중,2008__인문__빈도,2008__인문__비중,2008__사회__빈도,2008__사회__비중,2008__교육__빈도,2008__교육__비중,2008__공학__빈도,2008__공학__비중,2008__자연__빈도,2008__자연__비중,2008__의약__빈도,2008__의약__비중,2008__예체능__빈도,2008__예체능__비중,2009__전체__빈도,2009__전체__비중,2009__인문__빈도,2009__인문__비중,2009__사회__빈도,2009__사회__비중,2009__교육__빈도,2009__교육__비중,2009__공학__빈도,2009__공학__비중,2009__자연__빈도,2009__자연__비중,2009__의약__빈도,2009__의약__비중,2009__예체능__빈도,2009__예체능__비중,2010__전체__빈도,2010__전체__비중,2010__인문__빈도,2010__인문__비중,2010__사회__빈도,2010__사회__비중,2010__교육__빈도,2010__교육__비중,2010__공학__빈도,2010__공학__비중,2010__자연__빈도,2010__자연__비중,2010__의약__빈도,2010__의약__비중,2010__예체능__빈도,2010__예체능__비중,2011__전체__빈도,2011__전체__비중,2011__인문__빈도,2011__인문__비중,2011__사회__빈도,2011__사회__비중,2011__교육__빈도,2011__교육__비중,2011__공학__빈도,2011__공학__비중,2011__자연__빈도,2011__자연__비중,2011__의약__빈도,2011__의약__비중,2011__예체능__빈도,2011__예체능__비중,2012__전체__빈도,2012__전체__비중,2012__인문__빈도,2012__인문__비중,2012__사회__빈도,2012__사회__비중,2012__교육__빈도,2012__교육__비중,2012__공학__빈도,2012__공학__비중,2012__자연__빈도,2012__자연__비중,2012__의약__빈도,2012__의약__비중,2012__예체능__빈도,2012__예체능__비중,2013__전체__빈도,2013__전체__비중,2013__인문__빈도,2013__인문__비중,2013__사회__빈도,2013__사회__비중,2013__교육__빈도,2013__교육__비중,2013__공학__빈도,2013__공학__비중,2013__자연__빈도,2013__자연__비중,2013__의약__빈도,2013__의약__비중,2013__예체능__빈도,2013__예체능__비중,2014__전체__빈도,2014__전체__비중,2014__인문__빈도,2014__인문__비중,2014__사회__빈도,2014__사회__비중,2014__교육__빈도,2014__교육__비중,2014__공학__빈도,2014__공학__비중,2014__자연__빈도,2014__자연__비중,2014__의약__빈도,2014__의약__비중,2014__예체능__빈도,2014__예체능__비중,2015__전체__빈도,2015__전체__비중,2015__인문__빈도,2015__인문__비중,2015__사회__빈도,2015__사회__비중,2015__교육__빈도,2015__교육__비중,2015__공학__빈도,2015__공학__비중,2015__자연__빈도,2015__자연__비중,2015__의약__빈도,2015__의약__비중,2015__예체능__빈도,2015__예체능__비중,2016__전체__빈도,2016__전체__비중,2016__인문__빈도,2016__인문__비중,2016__사회__빈도,2016__사회__비중,2016__교육__빈도,2016__교육__비중,2016__공학__빈도,2016__공학__비중,2016__자연__빈도,2016__자연__비중,2016__의약__빈도,2016__의약__비중,2016__예체능__빈도,2016__예체능__비중
전체,390366,100.0,36952,100.0,105097,100.0,24957,100.0,103176,100.0,35996,100.0,32675,100.0,51509,100.0,392483,100.0,37184,100.0,109037,100.0,26730,100.0,96395,100.0,38025,100.0,33121,100.0,51989,100.0,360280,100.0,31265,100.0,107044,100.0,24809,100.0,85738,100.0,33137,100.0,32223,100.0,46060,100.0,376517,100.0,34182,100.0,109932,100.0,24855,100.0,87012,100.0,36785,100.0,33721,100.0,50027,100.0,380683,100.0,33605,100.0,110681,100.0,24277,100.0,90669,100.0,37576,100.0,34099,100.0,49773,100.0,379938,100.0,31694,100.0,112395,100.0,22547,100.0,92264,100.0,34502,100.0,35944,100.0,50589,100.0,361837,100.0,29178,100.0,104696,100.0,22776,100.0,88188,100.0,33511,100.0,35908,100.0,47577,100.0,370115,100.0,29898,100.0,104704,100.0,23160,100.0,88556,100.0,34585,100.0,39864,100.0,49346,100.0,379391,100.0,32942,100.0,108386,100.0,23239,100.0,90645,100.0,35455,100.0,40593,100.0,48128,100.0,388170,100.0,33728,100.0,106280,100.0,22066,100.0,94863,100.0,37094,100.0,43588,100.0,50548,100.0
관리직,2389,0.6,200,0.5,1104,1.0,80,0.3,358,0.3,239,0.6,98,0.3,308,0.5,1932,0.4,133,0.3,1137,1.0,48,0.1,247,0.2,165,0.4,82,0.2,116,0.2,1317,0.3,74,0.2,829,0.7,0,0.0,171,0.1,151,0.4,0,0.0,91,0.1,1528,0.4,126,0.3,685,0.6,250,1.0,191,0.2,97,0.2,25,0.0,152,0.3,1930,0.5,124,0.3,1180,1.0,77,0.3,244,0.2,89,0.2,0,0.0,212,0.4,1309,0.3,86,0.2,605,0.5,59,0.2,303,0.3,186,0.5,24,0.0,43,0.0,1106,0.3,115,0.3,729,0.6,40,0.1,90,0.1,72,0.2,0,0.0,58,0.1,811,0.2,22,0.0,342,0.3,104,0.4,223,0.2,119,0.3,0,0.0,0,0.0,718,0.1,57,0.1,490,0.4,55,0.2,83,0.0,31,0.0,0,0.0,0,0.0,591,0.1,8,0.0,287,0.2,57,0.2,131,0.1,61,0.1,0,0.0,44,0.0
경영·회계·사무 관련직,103992,26.6,14141,38.2,44998,42.8,2300,9.2,21916,21.2,9831,27.3,1936,5.9,8866,17.2,110535,28.1,15302,41.1,48960,44.9,2868,10.7,20891,21.6,10092,26.5,2306,6.9,10114,19.4,100120,27.7,13269,42.4,46443,43.3,2363,9.5,18648,21.7,8409,25.3,2130,6.6,8855,19.2,105359,27.9,15231,44.5,49218,44.7,2334,9.3,17137,19.6,10056,27.3,2215,6.5,9166,18.3,108244,28.4,14705,43.7,48106,43.4,3224,13.2,19141,21.1,9887,26.3,2551,7.4,10628,21.3,107923,28.4,14420,45.4,51664,45.9,1843,8.1,18258,19.7,9188,26.6,2596,7.2,9951,19.6,97016,26.8,12359,42.3,48032,45.8,1697,7.4,15446,17.5,8129,24.2,2963,8.2,8389,17.6,96176,25.9,13170,44.0,47551,45.4,1897,8.1,15116,17.0,7881,22.7,2377,5.9,8181,16.5,99780,26.3,14099,42.7,49236,45.4,1898,8.1,15133,16.6,8332,23.5,2177,5.3,8902,18.4,102667,26.4,15318,45.4,49356,46.4,2024,9.1,16293,17.1,8398,22.6,2482,5.6,8793,17.3
금융·보험 관련직,18343,4.6,3012,8.1,9978,9.4,419,1.6,1869,1.8,1766,4.9,323,0.9,974,1.8,18645,4.7,2529,6.8,10548,9.6,229,0.8,1818,1.8,2135,5.6,356,1.0,1028,1.9,15811,4.3,1928,6.1,10137,9.4,106,0.4,1501,1.7,1397,4.2,134,0.4,606,1.3,15321,4.0,2081,6.0,9162,8.3,209,0.8,1355,1.5,1435,3.9,349,1.0,727,1.4,14333,3.7,1699,5.0,8108,7.3,286,1.1,1706,1.8,1344,3.5,537,1.5,650,1.3,13780,3.6,1412,4.4,8533,7.5,303,1.3,1296,1.4,1318,3.8,200,0.5,715,1.4,8756,2.4,1108,3.8,5498,5.2,174,0.7,624,0.7,862,2.5,200,0.5,286,0.6,8225,2.2,841,2.8,5268,5.0,202,0.8,495,0.5,935,2.7,271,0.6,210,0.4,10013,2.6,1089,3.3,6279,5.7,153,0.6,768,0.8,1002,2.8,166,0.4,553,1.1,9384,2.4,889,2.6,6326,5.9,116,0.5,433,0.4,1096,2.9,231,0.5,290,0.5
교육 및 자연과학·사회과학 연구관련직,42700,10.9,6155,16.6,4695,4.4,14447,57.8,2795,2.7,5346,14.8,752,2.3,8506,16.5,48850,12.4,5993,16.1,5606,5.1,16205,60.6,5227,5.4,6049,15.9,929,2.8,8838,17.0,41982,11.6,5356,17.1,5056,4.7,14929,60.1,3106,3.6,5005,15.1,916,2.8,7611,16.5,47791,12.6,4785,13.9,5882,5.3,15070,60.6,6102,7.0,6600,17.9,1082,3.2,8268,16.5,47588,12.5,4495,13.3,5777,5.2,13169,54.2,7115,7.8,7231,19.2,1758,5.1,8040,16.1,38663,10.1,3181,10.0,3545,3.1,13346,59.1,4548,4.9,5531,16.0,985,2.7,7524,14.8,34657,9.5,3663,12.5,2981,2.8,14054,61.7,1967,2.2,4995,14.9,744,2.0,6251,13.1,32455,8.7,2988,9.9,2593,2.4,13579,58.6,1636,1.8,5299,15.3,821,2.0,5535,11.2,35231,9.2,3567,10.8,3148,2.9,13536,58.2,2370,2.6,5367,15.1,520,1.2,6720,13.9,33598,8.6,3148,9.3,3334,3.1,12269,55.6,2043,2.1,6487,17.4,705,1.6,5607,11.0
법률·경찰·소방·교도 관련직,4081,1.0,331,0.8,2268,2.1,17,0.0,999,0.9,160,0.4,181,0.5,121,0.2,3880,0.9,380,1.0,2263,2.0,48,0.1,588,0.6,223,0.5,130,0.3,245,0.4,3702,1.0,314,1.0,2088,1.9,0,0.0,624,0.7,298,0.9,181,0.5,196,0.4,3793,1.0,157,0.4,2233,2.0,43,0.1,641,0.7,217,0.5,157,0.4,343,0.6,3053,0.8,271,0.8,1932,1.7,73,0.3,386,0.4,187,0.4,75,0.2,127,0.2,2779,0.7,118,0.3,1713,1.5,39,0.1,466,0.5,167,0.4,119,0.3,154,0.3,2195,0.6,161,0.5,1111,1.0,33,0.1,615,0.6,61,0.1,156,0.4,54,0.1,2726,0.7,242,0.8,1422,1.3,93,0.4,507,0.5,101,0.2,141,0.3,216,0.4,3663,0.9,157,0.4,2340,2.1,31,0.1,763,0.8,280,0.7,67,0.1,22,0.0,2921,0.7,458,1.3,1581,1.4,0,0.0,537,0.5,193,0.5,75,0.1,74,0.1
보건·의료 관련직,34778,8.9,497,1.3,2266,2.1,291,1.1,1186,1.1,3135,8.7,26504,81.1,895,1.7,34750,8.8,462,1.2,1532,1.4,359,1.3,1365,1.4,3217,8.4,27104,81.8,709,1.3,34204,9.4,338,1.0,2715,2.5,572,2.3,833,0.9,3113,9.3,25965,80.5,665,1.4,34968,9.2,158,0.4,2480,2.2,459,1.8,1245,1.4,3040,8.2,26871,79.6,712,1.4,34922,9.1,517,1.5,2529,2.2,530,2.1,1516,1.6,2923,7.7,25581,75.0,1323,2.6,36436,9.5,133,0.4,2348,2.0,794,3.5,1173,1.2,2483,7.1,28663,79.7,840,1.6,35639,9.8,229,0.7,2370,2.2,618,2.7,936,1.0,3116,9.3,27479,76.5,888,1.8,40163,10.8,156,0.5,2021,1.9,423,1.8,809,0.9,2962,8.5,32698,82.0,1092,2.2,41293,10.8,171,0.5,1898,1.7,599,2.5,1037,1.1,2915,8.2,33656,82.9,1014,2.1,43475,11.2,245,0.7,1732,1.6,629,2.8,1135,1.1,3226,8.6,35794,82.1,711,1.4
사회복지 및 종교 관련직,21234,5.4,2513,6.8,11060,10.5,5425,21.7,667,0.6,555,1.5,204,0.6,808,1.5,22183,5.6,2426,6.5,12273,11.2,5418,20.2,402,0.4,655,1.7,194,0.5,812,1.5,23127,6.4,1867,5.9,13022,12.1,5569,22.4,339,0.3,808,2.4,489,1.5,1030,2.2,21802,5.7,2234,6.5,13038,11.8,4709,18.9,165,0.1,628,1.7,389,1.1,634,1.2,20915,5.4,1798,5.3,11708,10.5,4617,19.0,813,0.8,556,1.4,485,1.4,934,1.8,21726,5.7,1662,5.2,13612,12.1,4718,20.9,281,0.3,406,1.1,491,1.3,552,1.0,19680,5.4,1238,4.2,12115,11.5,4669,20.5,184,0.2,408,1.2,514,1.4,550,1.1,18608,5.0,1604,5.3,10959,10.4,4737,20.4,171,0.1,402,1.1,245,0.6,486,0.9,19476,5.1,1667,5.0,11512,10.6,5059,21.7,200,0.2,389,1.0,421,1.0,224,0.4,18213,4.6,1440,4.2,10127,9.5,4969,22.5,205,0.2,319,0.8,311,0.7,839,1.6
문화·예술·디자인·방송 관련직,24039,6.1,3123,8.4,2739,2.6,320,1.2,3917,3.7,1011,2.8,154,0.4,12773,24.7,23378,5.9,2826,7.6,2690,2.4,287,1.0,3529,3.6,1072,2.8,45,0.1,12927,24.8,20009,5.5,2171,6.9,2516,2.3,159,0.6,2864,3.3,881,2.6,0,0.0,11415,24.7,20792,5.5,2605,7.6,2078,1.8,224,0.9,2790,3.2,902,2.4,187,0.5,12003,23.9,21563,5.6,2746,8.1,3426,3.0,479,1.9,2459,2.7,975,2.5,222,0.6,11254,22.6,23456,6.1,2964,9.3,3513,3.1,201,0.8,3144,3.4,720,2.0,189,0.5,12722,25.1,22506,6.2,2106,7.2,2654,2.5,86,0.3,3534,4.0,1112,3.3,144,0.4,12867,27.0,23713,6.4,2278,7.6,3087,2.9,282,1.2,2748,3.1,1028,2.9,183,0.4,14105,28.5,21622,5.6,2463,7.4,2583,2.3,187,0.8,2402,2.6,1076,3.0,48,0.1,12860,26.7,24160,6.2,2826,8.3,3180,2.9,239,1.0,2667,2.8,848,2.2,105,0.2,14293,28.2
운전 및 운송 관련직,4152,1.0,180,0.4,992,0.9,73,0.2,1926,1.8,451,1.2,40,0.1,487,0.9,4247,1.0,318,0.8,1136,1.0,0,0.0,1757,1.8,318,0.8,90,0.2,626,1.2,3030,0.8,135,0.4,816,0.7,55,0.2,1253,1.4,233,0.7,91,0.2,444,0.9,3856,1.0,208,0.6,1303,1.1,100,0.4,1312,1.5,312,0.8,49,0.1,569,1.1,3245,0.8,185,0.5,907,0.8,21,0.0,1448,1.5,186,0.4,36,0.1,459,0.9,3555,0.9,287,0.9,1101,0.9,0,0.0,1409,1.5,304,0.8,76,0.2,375,0.7,3823,1.0,196,0.6,1557,1.4,87,0.3,1316,1.4,296,0.8,108,0.3,261,0.5,3754,1.0,221,0.7,1336,1.2,0,0.0,1540,1.7,165,0.4,180,0.4,310,0.6,3719,0.9,251,0.7,774,0.7,65,0.2,1807,1.9,201,0.5,97,0.2,520,1.0,3775,0.9,160,0.4,1251,1.1,41,0.1,1405,1.4,182,0.4,133,0.3,599,1.1
