column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,3,0,0.0,3,전체 | 남자 | 여자
2,2007,float64,3,0,0.0,3,195.8 | 216.5 | 167.0
3,2008,float64,3,0,0.0,3,188.9 | 208.1 | 161.3
4,2009,float64,3,0,0.0,3,190.0 | 212.3 | 162.9
5,2010,float64,3,0,0.0,3,198.1 | 222.9 | 169.0
6,2011,float64,3,0,0.0,3,206.5 | 230.3 | 178.4
7,2012,float64,3,0,0.0,3,202.8 | 227.3 | 176.3
8,2013,float64,3,0,0.0,3,204.6 | 230.8 | 175.0
9,2014,float64,3,0,0.0,3,205.2 | 224.7 | 182.0
10,2015,float64,3,0,0.0,3,207.9 | 229.5 | 183.4
11,2016,float64,3,0,0.0,3,217.0 | 240.3 | 189.0
12,2017,float64,3,0,0.0,3,227.2 | 249.5 | 199.6
13,2018,float64,3,0,0.0,3,235.7 | 256.4 | 208.8
14,2019,float64,3,0,0.0,3,242.6 | 259.4 | 226.4
