분류,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
전체,46.8,47.1,46.1,45.7,45.4,44.6,45.1,44.7,44.1,44.0,43.3,42.2,41.9
1. 1～4명,44.3,45.5,46.3,43.9,44.1,42.8,42.4,41.3,41.7,40.3,39.7,39.0,37.2
2. 5～9명,46.0,47.4,46.5,45.4,45.0,43.7,44.4,43.7,42.9,42.0,41.3,39.2,38.2
3. 10～29명,47.7,47.3,46.3,46.2,45.6,44.6,44.8,44.8,44.4,44.3,43.3,42.2,42.0
4. 30～49명,46.1,46.5,45.5,44.8,44.0,44.2,44.7,44.3,43.9,44.2,43.5,42.7,42.0
5. 50～99명,46.3,46.6,45.4,45.4,44.4,43.7,44.6,44.5,43.8,44.1,43.6,42.8,42.9
6. 100～299명,47.5,47.2,46.0,46.7,45.9,45.4,46.0,46.1,44.9,45.6,45.1,44.1,44.0
7. 300～499명,47.4,48.3,46.5,46.1,46.5,45.6,46.9,46.8,44.7,45.5,44.7,43.7,44.9
8. 500～999명,47.1,47.4,45.7,45.9,45.4,46.2,46.4,46.2,45.4,45.9,44.9,44.0,44.2
"9. 1,000명 이상",48.1,48.6,46.8,47.0,47.0,46.3,47.6,46.5,45.9,46.4,45.5,44.2,44.5
