column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,4,0,0.0,4,전체 | 전문대 | 4년제 | 교육대
2,2007__전체__빈도,int64,4,0,0.0,4,498699 | 215041 | 277857 | 5800
3,2007__전체__비중,float64,4,0,0.0,4,100.0 | 43.1 | 55.7 | 1.1
4,2007__취업자__빈도,int64,4,0,0.0,4,390379 | 173879 | 211496 | 5003
5,2007__취업자__비중,float64,4,0,0.0,4,100.0 | 44.5 | 54.1 | 1.2
6,2007__실업자__빈도,int64,4,0,0.0,4,32677 | 15408 | 17214 | 53
7,2007__실업자__비중,float64,4,0,0.0,4,100.0 | 47.1 | 52.6 | 0.1
8,2007__비경활__빈도,int64,4,0,0.0,4,75643 | 25753 | 49146 | 743
9,2007__비경활__비중,float64,4,0,0.0,4,100.0 | 34.0 | 64.9 | 0.9
10,2008__전체__빈도,int64,4,0,0.0,4,497374 | 207741 | 282670 | 6963
11,2008__전체__비중,float64,4,0,0.0,4,100.0 | 41.7 | 56.8 | 1.3
12,2008__취업자__빈도,int64,4,0,0.0,4,392483 | 165759 | 220708 | 6014
13,2008__취업자__비중,float64,4,0,0.0,4,100.0 | 42.2 | 56.2 | 1.5
14,2008__실업자__빈도,int64,4,0,0.0,4,31172 | 15428 | 15684 | 59
15,2008__실업자__비중,float64,4,0,0.0,4,100.0 | 49.4 | 50.3 | 0.1
16,2008__비경활__빈도,int64,4,0,0.0,4,73718 | 26552 | 46276 | 889
17,2008__비경활__비중,float64,4,0,0.0,4,100.0 | 36.0 | 62.7 | 1.2
18,2009__전체__빈도,int64,4,0,0.0,4,480193 | 197623 | 276225 | 6345
19,2009__전체__비중,float64,4,0,0.0,4,100.0 | 41.1 | 57.5 | 1.3
20,2009__취업자__빈도,int64,4,0,0.0,4,360293 | 154297 | 200627 | 5368
21,2009__취업자__비중,float64,4,0,0.0,4,100.0 | 42.8 | 55.6 | 1.4
22,2009__실업자__빈도,int64,4,0,0.0,4,34966 | 14346 | 20392 | 227
23,2009__실업자__비중,float64,4,0,0.0,4,100.0 | 41.0 | 58.3 | 0.6
24,2009__비경활__빈도,int64,4,0,0.0,4,84932 | 28978 | 55204 | 749
25,2009__비경활__비중,float64,4,0,0.0,4,100.0 | 34.1 | 64.9 | 0.8
