분류,2007__전체__빈도,2007__전체__비중,2007__전문대__빈도,2007__전문대__비중,2007__4년제__빈도,2007__4년제__비중,2007__교육대__빈도,2007__교육대__비중,2008__전체__빈도,2008__전체__비중,2008__전문대__빈도,2008__전문대__비중,2008__4년제__빈도,2008__4년제__비중,2008__교육대__빈도,2008__교육대__비중,2009__전체__빈도,2009__전체__비중,2009__전문대__빈도,2009__전문대__비중,2009__4년제__빈도,2009__4년제__비중,2009__교육대__빈도,2009__교육대__비중,2010__전체__빈도,2010__전체__비중,2010__전문대__빈도,2010__전문대__비중,2010__4년제__빈도,2010__4년제__비중,2010__교육대__빈도,2010__교육대__비중,2011__전체__빈도,2011__전체__비중,2011__전문대__빈도,2011__전문대__비중,2011__4년제__빈도,2011__4년제__비중,2011__교육대__빈도,2011__교육대__비중,2012__전체__빈도,2012__전체__비중,2012__전문대__빈도,2012__전문대__비중,2012__4년제__빈도,2012__4년제__비중,2012__교육대__빈도,2012__교육대__비중,2013__전체__빈도,2013__전체__비중,2013__전문대__빈도,2013__전문대__비중,2013__4년제__빈도,2013__4년제__비중,2013__교육대__빈도,2013__교육대__비중,2014__전체__빈도,2014__전체__비중,2014__전문대__빈도,2014__전문대__비중,2014__4년제__빈도,2014__4년제__비중,2014__교육대__빈도,2014__교육대__비중,2015__전체__빈도,2015__전체__비중,2015__전문대__빈도,2015__전문대__비중,2015__4년제__빈도,2015__4년제__비중,2015__교육대__빈도,2015__교육대__비중,2016__전체__빈도,2016__전체__비중,2016__전문대__빈도,2016__전문대__비중,2016__4년제__빈도,2016__4년제__비중,2016__교육대__빈도,2016__교육대__비중,2017__전체__빈도,2017__전체__비중,2017__전문대__빈도,2017__전문대__비중,2017__4년제__빈도,2017__4년제__비중,2017__교육대__빈도,2017__교육대__비중,2018__전체__빈도,2018__전체__비중,2018__전문대__빈도,2018__전문대__비중,2018__4년제__빈도,2018__4년제__비중,2018__교육대__빈도,2018__교육대__비중,2019__전체__빈도,2019__전체__비중,2019__전문대__빈도,2019__전문대__비중,2019__4년제__빈도,2019__4년제__비중,2019__교육대__빈도,2019__교육대__비중
전체,389163,100.0,173573,100.0,210586,100.0,5003,100.0,391857,100.0,165466,100.0,220388,100.0,6002,100.0,359615,100.0,154063,100.0,200182,100.0,5368,100.0,373085,100.0,151308,100.0,216852,100.0,4924,100.0,380030,100.0,148545,100.0,226661,100.0,4823,100.0,378783,100.0,146191,100.0,228025,100.0,4566,100.0,354463,100.0,136108,100.0,213760,100.0,4594,100.0,361554,100.0,137796,100.0,219528,100.0,4229,100.0,376776,100.0,136623,100.0,236274,100.0,3879,100.0,367321,100.0,129280,100.0,234668,100.0,3372,100.0,349151,100.0,119255,100.0,226628,100.0,3268,100.0,336947,100.0,113397,100.0,220420,100.0,3128,100.0,291068,100.0,98068,100.0,189949,100.0,3050,100.0
1. 1～4명,53787,13.8,29836,17.1,23950,11.3,0,0.0,56496,14.4,32462,19.6,23986,10.8,47,0.7,45826,12.7,26245,17.0,19523,9.7,58,1.0,52982,14.2,28832,19.0,24067,11.0,82,1.6,48671,12.8,24876,16.7,23724,10.4,71,1.4,45016,11.8,22441,15.3,22491,9.8,83,1.8,43051,12.1,21579,15.8,21418,10.0,53,1.1,44753,12.3,21327,15.4,23396,10.6,29,0.6,48267,12.8,21449,15.6,26802,11.3,15,0.3,49799,13.5,21437,16.5,28362,12.0,0,0.0,47720,13.6,20293,17.0,27397,12.0,29,0.8,43191,12.8,18712,16.5,24479,11.1,0,0.0,34136,11.7,14388,14.6,19736,10.3,10,0.3
2. 5～9명,48777,12.5,26996,15.5,21780,10.3,0,0.0,51804,13.2,27620,16.6,24005,10.8,179,2.9,46338,12.8,25557,16.5,20679,10.3,101,1.8,47357,12.6,24514,16.2,22715,10.4,126,2.5,44301,11.6,22021,14.8,22217,9.8,62,1.2,42956,11.3,21497,14.7,21385,9.3,72,1.5,47994,13.5,24116,17.7,23825,11.1,52,1.1,48235,13.3,22950,16.6,25214,11.4,70,1.6,51805,13.7,25012,18.3,26770,11.3,22,0.5,48947,13.3,22619,17.4,26319,11.2,9,0.2,47946,13.7,20862,17.4,27051,11.9,32,0.9,41388,12.2,17002,14.9,24357,11.0,28,0.9,37438,12.8,16419,16.7,20989,11.0,30,0.9
3. 10～29명,77506,19.9,35893,20.6,40311,19.1,1301,26.0,78647,20.0,33746,20.3,43436,19.7,1464,24.3,75072,20.8,34116,22.1,39659,19.8,1296,24.1,72217,19.3,30984,20.4,40002,18.4,1231,25.0,68815,18.1,30198,20.3,37555,16.5,1061,22.0,75621,19.9,31911,21.8,42881,18.8,828,18.1,68817,19.4,30408,22.3,37812,17.6,597,13.0,71769,19.8,30924,22.4,40161,18.2,684,16.1,75844,20.1,31850,23.3,43260,18.3,733,18.9,73136,19.9,29632,22.9,42904,18.2,600,17.7,71407,20.4,26288,22.0,44556,19.6,562,17.2,69760,20.7,27033,23.8,42028,19.0,698,22.3,57153,19.6,24191,24.6,32256,16.9,705,23.1
4. 30～49명,36015,9.2,15457,8.9,18834,8.9,1722,34.4,36857,9.4,14746,8.9,20019,9.0,2091,34.8,34909,9.7,13065,8.4,20091,10.0,1752,32.6,34088,9.1,12542,8.2,19790,9.1,1755,35.6,32126,8.4,12081,8.1,18637,8.2,1408,29.1,35023,9.2,13048,8.9,20617,9.0,1356,29.7,32024,9.0,10455,7.6,20153,9.4,1415,30.8,32787,9.0,11053,8.0,20417,9.3,1317,31.1,32543,8.6,11049,8.0,20084,8.5,1409,36.3,30324,8.2,9960,7.7,19327,8.2,1036,30.7,28929,8.2,9714,8.1,18274,8.0,940,28.7,26988,8.0,8499,7.4,17662,8.0,826,26.4,23147,7.9,6715,6.8,15630,8.2,801,26.2
5. 50～99명,42443,10.9,17209,9.9,23581,11.1,1652,33.0,44834,11.4,16581,10.0,26087,11.8,2165,36.0,43137,11.9,16199,10.5,24938,12.4,1999,37.2,40663,10.8,15023,9.9,24012,11.0,1628,33.0,43241,11.3,16044,10.8,25262,11.1,1934,40.1,44214,11.6,15737,10.7,26534,11.6,1942,42.5,40902,11.5,13703,10.0,24998,11.6,2201,47.9,38892,10.7,13357,9.6,23730,10.8,1803,42.6,38297,10.1,11016,8.0,25775,10.9,1505,38.8,38421,10.4,11811,9.1,25040,10.6,1570,46.5,37890,10.8,11844,9.9,24490,10.8,1555,47.5,36994,10.9,12031,10.6,23532,10.6,1430,45.7,32285,11.0,9091,9.2,21824,11.4,1370,44.9
6. 100～299명,49225,12.6,21044,12.1,28065,13.3,115,2.3,45651,11.6,17315,10.4,28282,12.8,53,0.8,42477,11.8,16323,10.5,26079,13.0,74,1.3,45073,12.0,16087,10.6,28885,13.3,99,2.0,48827,12.8,18037,12.1,30608,13.5,181,3.7,46989,12.4,16437,11.2,30317,13.2,234,5.1,44078,12.4,15737,11.5,28185,13.1,155,3.3,44335,12.2,14703,10.6,29440,13.4,190,4.5,49689,13.1,15237,11.1,34343,14.5,108,2.7,45196,12.3,14082,10.8,31015,13.2,98,2.9,42195,12.0,12788,10.7,29347,12.9,59,1.8,44685,13.2,13850,12.2,30816,13.9,18,0.5,37569,12.9,11561,11.7,25911,13.6,96,3.1
7. 300～499명,18969,4.8,6938,3.9,12030,5.7,0,0.0,19681,5.0,6806,4.1,12875,5.8,0,0.0,16133,4.4,5710,3.7,10380,5.1,42,0.7,18956,5.0,6047,3.9,12908,5.9,0,0.0,21307,5.6,7226,4.8,14064,6.2,17,0.3,20791,5.4,6833,4.6,13950,6.1,6,0.1,17275,4.8,5760,4.2,11501,5.3,13,0.2,19130,5.2,6293,4.5,12827,5.8,9,0.2,19460,5.1,5718,4.1,13706,5.8,35,0.9,18548,5.0,5456,4.2,13070,5.5,21,0.6,18169,5.2,4685,3.9,13462,5.9,22,0.6,18577,5.5,4565,4.0,14011,6.3,0,0.0,14863,5.1,3466,3.5,11386,5.9,10,0.3
8. 500～999명,19846,5.0,6790,3.9,13056,6.1,0,0.0,18994,4.8,5177,3.1,13817,6.2,0,0.0,16781,4.6,4809,3.1,11947,5.9,24,0.4,19507,5.2,6294,4.1,13213,6.0,0,0.0,22552,5.9,6812,4.5,15695,6.9,44,0.9,21801,5.7,6375,4.3,15415,6.7,10,0.2,17886,5.0,5016,3.6,12833,6.0,36,0.7,17205,4.7,4654,3.3,12537,5.7,13,0.3,18512,4.9,5218,3.8,13293,5.6,0,0.0,20833,5.6,4952,3.8,15881,6.7,0,0.0,17992,5.1,4783,4.0,13190,5.8,19,0.5,17124,5.0,4372,3.8,12733,5.7,17,0.5,14607,5.0,3753,3.8,10854,5.7,0,0.0
"9. 1,000명 이상",42590,10.9,13406,7.7,28973,13.7,210,4.2,38887,9.9,11009,6.6,27877,12.6,0,0.0,38938,10.8,12036,7.8,26884,13.4,17,0.3,42237,11.3,10982,7.2,31254,14.4,0,0.0,50187,13.2,11247,7.5,38896,17.1,43,0.8,46369,12.2,11908,8.1,34431,15.0,29,0.6,42432,11.9,9331,6.8,33031,15.4,69,1.5,44443,12.2,12531,9.0,31801,14.4,109,2.5,42356,11.2,10071,7.3,32236,13.6,48,1.2,42112,11.4,9329,7.2,32747,13.9,35,1.0,36900,10.5,7996,6.7,28856,12.7,47,1.4,38236,11.3,7330,6.4,30798,13.9,108,3.4,39866,13.6,8480,8.6,31361,16.5,25,0.8
