분류,2007__전체__빈도,2007__전체__비중,2007__취업자__빈도,2007__취업자__비중,2007__실업자__빈도,2007__실업자__비중,2007__비경활__빈도,2007__비경활__비중,2008__전체__빈도,2008__전체__비중,2008__취업자__빈도,2008__취업자__비중,2008__실업자__빈도,2008__실업자__비중,2008__비경활__빈도,2008__비경활__비중,2009__전체__빈도,2009__전체__비중,2009__취업자__빈도,2009__취업자__비중,2009__실업자__빈도,2009__실업자__비중,2009__비경활__빈도,2009__비경활__비중,2010__전체__빈도,2010__전체__비중,2010__취업자__빈도,2010__취업자__비중,2010__실업자__빈도,2010__실업자__비중,2010__비경활__빈도,2010__비경활__비중,2011__전체__빈도,2011__전체__비중,2011__취업자__빈도,2011__취업자__비중,2011__실업자__빈도,2011__실업자__비중,2011__비경활__빈도,2011__비경활__비중,2012__전체__빈도,2012__전체__비중,2012__취업자__빈도,2012__취업자__비중,2012__실업자__빈도,2012__실업자__비중,2012__비경활__빈도,2012__비경활__비중,2013__전체__빈도,2013__전체__비중,2013__취업자__빈도,2013__취업자__비중,2013__실업자__빈도,2013__실업자__비중,2013__비경활__빈도,2013__비경활__비중,2014__전체__빈도,2014__전체__비중,2014__취업자__빈도,2014__취업자__비중,2014__실업자__빈도,2014__실업자__비중,2014__비경활__빈도,2014__비경활__비중,2015__전체__빈도,2015__전체__비중,2015__취업자__빈도,2015__취업자__비중,2015__실업자__빈도,2015__실업자__비중,2015__비경활__빈도,2015__비경활__비중,2016__전체__빈도,2016__전체__비중,2016__취업자__빈도,2016__취업자__비중,2016__실업자__빈도,2016__실업자__비중,2016__비경활__빈도,2016__비경활__비중,2017__전체__빈도,2017__전체__비중,2017__취업자__빈도,2017__취업자__비중,2017__실업자__빈도,2017__실업자__비중,2017__비경활__빈도,2017__비경활__비중,2018__전체__빈도,2018__전체__비중,2018__취업자__빈도,2018__취업자__비중,2018__실업자__빈도,2018__실업자__비중,2018__비경활__빈도,2018__비경활__비중,2019__전체__빈도,2019__전체__비중,2019__취업자__빈도,2019__취업자__비중,2019__실업자__빈도,2019__실업자__비중,2019__비경활__빈도,2019__비경활__비중
전체,498699,100.0,390379,100.0,32677,100.0,75643,100.0,497374,100.0,392483,100.0,31172,100.0,73718,100.0,480193,100.0,360293,100.0,34966,100.0,84932,100.0,470558,100.0,376517,100.0,25686,100.0,68353,100.0,479478,100.0,380969,100.0,27808,100.0,70699,100.0,502886,100.0,381658,100.0,32710,100.0,88516,100.0,491765,100.0,362334,100.0,36556,100.0,92873,100.0,494323,100.0,370281,100.0,35655,100.0,88387,100.0,515320,100.0,380947,100.0,35304,100.0,99068,100.0,520546,100.0,388305,100.0,38016,100.0,94225,100.0,512170,100.0,375557,100.0,42899,100.0,93712,100.0,494334,100.0,364901,100.0,39285,100.0,90146,100.0,486912,100.0,324469,100.0,52340,100.0,110102,100.0
전문대,215041,43.1,173879,44.5,15408,47.1,25753,34.0,207741,41.7,165759,42.2,15428,49.4,26552,36.0,197623,41.1,154297,42.8,14346,41.0,28978,34.1,188120,39.9,152577,40.5,11193,43.5,24348,35.6,186056,38.8,148945,39.0,11308,40.6,25803,36.4,188423,37.4,146906,38.4,13032,39.8,28484,32.1,183678,37.3,138912,38.3,14122,38.6,30642,32.9,182277,36.8,141363,38.1,13489,37.8,27424,31.0,181499,35.2,138070,36.2,12172,34.4,31255,31.5,177774,34.1,135725,34.9,12730,33.4,29318,31.1,170494,33.2,127827,34.0,14420,33.6,28246,30.1,167960,33.9,122979,33.7,13231,33.6,31748,35.2,164657,33.8,109961,33.8,15987,30.5,38707,35.1
4년제,277857,55.7,211496,54.1,17214,52.6,49146,64.9,282670,56.8,220708,56.2,15684,50.3,46276,62.7,276225,57.5,200627,55.6,20392,58.3,55204,64.9,276482,58.7,218965,58.1,14402,56.0,43114,63.0,287799,60.0,227186,59.6,16405,58.9,44207,62.5,309238,61.4,230179,60.3,19559,59.7,59499,67.2,303032,61.6,218827,60.3,22389,61.2,61815,66.5,307355,62.1,224638,60.6,22129,62.0,60587,68.5,329462,63.9,238970,62.7,23103,65.4,67388,68.0,338940,65.1,249179,64.1,25182,66.2,64577,68.5,337820,65.9,244341,65.0,28298,65.9,65179,69.5,322582,65.2,238648,65.4,25931,66.0,58001,64.3,318375,65.3,211213,65.0,36200,69.1,70961,64.4
교육대,5800,1.1,5003,1.2,53,0.1,743,0.9,6963,1.3,6014,1.5,59,0.1,889,1.2,6345,1.3,5368,1.4,227,0.6,749,0.8,5956,1.2,4974,1.3,90,0.3,890,1.3,5621,1.1,4837,1.2,95,0.3,688,0.9,5225,1.0,4572,1.1,118,0.3,533,0.6,5055,1.0,4594,1.2,44,0.1,415,0.4,4690,0.9,4280,1.1,35,0.0,374,0.4,4358,0.8,3906,1.0,28,0.0,424,0.4,3832,0.7,3400,0.8,102,0.2,329,0.3,3855,0.7,3388,0.9,179,0.4,286,0.3,3792,0.7,3273,0.8,122,0.3,396,0.4,3879,0.7,3294,1.0,151,0.2,432,0.3
