분류,2007__전체__빈도,2007__전체__비중,2007__취업자__빈도,2007__취업자__비중,2007__실업자__빈도,2007__실업자__비중,2007__비경활__빈도,2007__비경활__비중,2008__전체__빈도,2008__전체__비중,2008__취업자__빈도,2008__취업자__비중,2008__실업자__빈도,2008__실업자__비중,2008__비경활__빈도,2008__비경활__비중,2009__전체__빈도,2009__전체__비중,2009__취업자__빈도,2009__취업자__비중,2009__실업자__빈도,2009__실업자__비중,2009__비경활__빈도,2009__비경활__비중,2010__전체__빈도,2010__전체__비중,2010__취업자__빈도,2010__취업자__비중,2010__실업자__빈도,2010__실업자__비중,2010__비경활__빈도,2010__비경활__비중,2011__전체__빈도,2011__전체__비중,2011__취업자__빈도,2011__취업자__비중,2011__실업자__빈도,2011__실업자__비중,2011__비경활__빈도,2011__비경활__비중,2012__전체__빈도,2012__전체__비중,2012__취업자__빈도,2012__취업자__비중,2012__실업자__빈도,2012__실업자__비중,2012__비경활__빈도,2012__비경활__비중,2013__전체__빈도,2013__전체__비중,2013__취업자__빈도,2013__취업자__비중,2013__실업자__빈도,2013__실업자__비중,2013__비경활__빈도,2013__비경활__비중,2014__전체__빈도,2014__전체__비중,2014__취업자__빈도,2014__취업자__비중,2014__실업자__빈도,2014__실업자__비중,2014__비경활__빈도,2014__비경활__비중,2015__전체__빈도,2015__전체__비중,2015__취업자__빈도,2015__취업자__비중,2015__실업자__빈도,2015__실업자__비중,2015__비경활__빈도,2015__비경활__비중,2016__전체__빈도,2016__전체__비중,2016__취업자__빈도,2016__취업자__비중,2016__실업자__빈도,2016__실업자__비중,2016__비경활__빈도,2016__비경활__비중,2017__전체__빈도,2017__전체__비중,2017__취업자__빈도,2017__취업자__비중,2017__실업자__빈도,2017__실업자__비중,2017__비경활__빈도,2017__비경활__비중,2018__전체__빈도,2018__전체__비중,2018__취업자__빈도,2018__취업자__비중,2018__실업자__빈도,2018__실업자__비중,2018__비경활__빈도,2018__비경활__비중,2019__전체__빈도,2019__전체__비중,2019__취업자__빈도,2019__취업자__비중,2019__실업자__빈도,2019__실업자__비중,2019__비경활__빈도,2019__비경활__비중
전체,498699,100.0,390379,100.0,32677,100.0,75643,100.0,497373,100.0,392483,100.0,31172,100.0,73718,100.0,480193,100.0,360293,100.0,34966,100.0,84932,100.0,470558,100.0,376517,100.0,25686,100.0,68353,100.0,479478,100.0,380969,100.0,27808,100.0,70699,100.0,502886,100.0,381658,100.0,32710,100.0,88516,100.0,491765,100.0,362334,100.0,36556,100.0,92873,100.0,494323,100.0,370281,100.0,35655,100.0,88387,100.0,515320,100.0,380947,100.0,35304,100.0,99068,100.0,520547,100.0,388305,100.0,38016,100.0,94225,100.0,512169,100.0,375557,100.0,42899,100.0,93712,100.0,494333,100.0,364901,100.0,39285,100.0,90146,100.0,486912,100.0,324469,100.0,52340,100.0,110102,100.0
인문,49494,9.9,36965,9.4,3286,10.0,9242,12.2,48492,9.7,37184,9.4,2738,8.7,8569,11.6,45628,9.5,31265,8.6,4288,12.2,10073,11.8,44013,9.3,34182,9.0,2951,11.4,6879,10.0,44224,9.2,33605,8.8,3093,11.1,7524,10.6,45996,9.1,31789,8.3,3494,10.6,10711,12.1,44586,9.0,29199,8.0,4603,12.5,10782,11.6,44034,8.9,29941,8.0,3899,10.9,10193,11.5,47533,9.2,33053,8.6,3763,10.6,10716,10.8,48402,9.2,33728,8.6,4286,11.2,10386,11.0,46904,9.1,31193,8.3,4554,10.6,11157,11.9,43854,8.8,29824,8.1,4351,11.0,9678,10.7,42323,8.6,24688,7.6,5202,9.9,12431,11.2
사회,133728,26.8,105097,26.9,9447,28.9,19183,25.3,139241,27.9,109037,27.7,9254,29.6,20948,28.4,139706,29.0,107044,29.7,10507,30.0,22153,26.0,138100,29.3,109932,29.1,8591,33.4,19576,28.6,140134,29.2,110845,29.0,9220,33.1,20068,28.3,148572,29.5,112571,29.4,10921,33.3,25078,28.3,143221,29.1,104897,28.9,11824,32.3,26498,28.5,141297,28.5,104755,28.2,12456,34.9,24085,27.2,146456,28.4,108621,28.5,11269,31.9,26565,26.8,145425,27.9,106306,27.3,12363,32.5,26754,28.3,140520,27.4,101154,26.9,13960,32.5,25405,27.1,132245,26.7,94612,25.9,11345,28.8,26287,29.1,127377,26.1,82771,25.5,16105,30.7,28500,25.8
교육,32742,6.5,24957,6.3,1512,4.6,6272,8.2,34228,6.8,26730,6.8,1322,4.2,6175,8.3,32602,6.7,24809,6.8,1592,4.5,6200,7.3,31907,6.7,24855,6.6,923,3.5,6127,8.9,31382,6.5,24330,6.3,1209,4.3,5842,8.2,30098,5.9,22547,5.9,984,3.0,6566,7.4,29851,6.0,22776,6.2,946,2.5,6127,6.5,29609,5.9,23160,6.2,992,2.7,5455,6.1,30178,5.8,23281,6.1,731,2.0,6164,6.2,30187,5.7,22066,5.6,1288,3.3,6832,7.2,31004,6.0,22251,5.9,2325,5.4,6427,6.8,30378,6.1,21724,5.9,1634,4.1,7018,7.7,30044,6.1,19294,5.9,2010,3.8,8739,7.9
공학,128837,25.8,103176,26.4,8548,26.1,17111,22.6,119772,24.0,96395,24.5,8396,26.9,14981,20.3,110651,23.0,85752,23.8,7701,22.0,17196,20.2,106688,22.6,87012,23.1,5699,22.1,13975,20.4,111286,23.2,90737,23.8,5868,21.1,14680,20.7,118458,23.5,93154,24.4,7494,22.9,17809,20.1,115915,23.5,88373,24.3,8189,22.4,19351,20.8,115589,23.3,88600,23.9,7879,22.0,19109,21.6,121282,23.5,91325,23.9,8427,23.8,21529,21.7,124312,23.8,94931,24.4,9361,24.6,20020,21.2,124169,24.2,93080,24.7,10249,23.8,20839,22.2,121572,24.5,93068,25.5,9731,24.7,18772,20.8,122403,25.1,82840,25.5,13905,26.5,25657,23.3
자연,51218,10.2,35996,9.2,3871,11.8,11350,15.0,51150,10.2,38025,9.6,3219,10.3,9906,13.4,49216,10.2,33137,9.1,3867,11.0,12210,14.3,48162,10.2,36785,9.7,2361,9.1,9014,13.1,49153,10.2,37576,9.8,2560,9.2,9016,12.7,50343,10.0,34922,9.1,3389,10.3,12031,13.5,49698,10.1,33561,9.2,3062,8.3,13074,14.0,51046,10.3,34585,9.3,3684,10.3,12776,14.4,53670,10.4,35629,9.3,3965,11.2,14075,14.2,54455,10.4,37094,9.5,4156,10.9,13203,14.0,53106,10.3,35651,9.4,4431,10.3,13024,13.8,50549,10.2,35751,9.7,4556,11.5,10240,11.3,50108,10.2,31029,9.5,5654,10.8,13425,12.1
의약,36690,7.3,32675,8.3,585,1.7,3429,4.5,37259,7.4,33121,8.4,1257,4.0,2879,3.9,37545,7.8,32223,8.9,1299,3.7,4022,4.7,38564,8.1,33721,8.9,1251,4.8,3590,5.2,39948,8.3,34099,8.9,1514,5.4,4334,6.1,43140,8.5,35982,9.4,1399,4.2,5758,6.5,43220,8.7,35908,9.9,2225,6.0,5086,5.4,46396,9.3,39864,10.7,2010,5.6,4520,5.1,48104,9.3,40777,10.7,1313,3.7,6013,6.0,51284,9.8,43588,11.2,2318,6.0,5377,5.7,52552,10.2,44539,11.8,2186,5.0,5825,6.2,53947,10.9,45877,12.5,2507,6.3,5561,6.1,54858,11.2,44530,13.7,3009,5.7,7318,6.6
예체능,65988,13.2,51509,13.1,5425,16.6,9053,11.9,67230,13.5,51989,13.2,4982,15.9,10257,13.9,64845,13.5,46060,12.7,5709,16.3,13074,15.3,63124,13.4,50027,13.2,3906,15.2,9189,13.4,63349,13.2,49773,13.0,4342,15.6,9233,13.0,66279,13.1,50690,13.2,5026,15.3,10562,11.9,65274,13.2,47616,13.1,5705,15.6,11952,12.8,66350,13.4,49373,13.3,4731,13.2,12245,13.8,68094,13.2,48258,12.6,5831,16.5,14003,14.1,66481,12.7,50588,13.0,4241,11.1,11651,12.3,63912,12.4,47687,12.6,5191,12.1,11033,11.7,61787,12.4,44041,12.0,5159,13.1,12587,13.9,59795,12.2,39313,12.1,6452,12.3,14029,12.7
