분류,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
전체,46.8,47.1,46.1,45.7,45.3,44.5,45.1,44.6,44.0,43.9,43.1,42.1,41.9
전문대,48.3,48.3,47.3,46.9,46.0,45.6,45.9,45.1,45.1,44.3,43.8,42.4,42.1
4년제,46.1,46.6,45.5,45.2,45.2,44.2,44.8,44.5,43.7,43.8,43.0,42.0,41.8
교육대,44.6,44.6,44.8,44.2,41.3,40.2,41.1,41.9,41.1,40.9,41.0,40.6,40.6
