column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,3,0,0.0,3,전체 | 남자 | 여자
2,2007__전체__빈도,int64,3,0,0.0,3,498699 | 249657 | 249041
3,2007__전체__비중,float64,3,0,0.0,3,100.0 | 50.0 | 49.9
4,2007__취업자__빈도,int64,3,0,0.0,3,390379 | 200119 | 190259
5,2007__취업자__비중,float64,3,0,0.0,3,100.0 | 51.2 | 48.7
6,2007__실업자__빈도,int64,3,0,0.0,3,32677 | 16118 | 16558
7,2007__실업자__비중,float64,3,0,0.0,3,100.0 | 49.3 | 50.6
8,2007__비경활__빈도,int64,3,0,0.0,3,75643 | 33419 | 42223
9,2007__비경활__비중,float64,3,0,0.0,3,100.0 | 44.1 | 55.8
10,2008__전체__빈도,int64,3,0,0.0,3,497374 | 245741 | 251632
11,2008__전체__비중,float64,3,0,0.0,3,100.0 | 49.4 | 50.5
12,2008__취업자__빈도,int64,3,0,0.0,3,392483 | 197196 | 195287
13,2008__취업자__비중,float64,3,0,0.0,3,100.0 | 50.2 | 49.7
14,2008__실업자__빈도,int64,3,0,0.0,3,31172 | 15287 | 15884
15,2008__실업자__비중,float64,3,0,0.0,3,100.0 | 49.0 | 50.9
16,2008__비경활__빈도,int64,3,0,0.0,3,73718 | 33257 | 40460
17,2008__비경활__비중,float64,3,0,0.0,3,100.0 | 45.1 | 54.8
18,2009__전체__빈도,int64,3,0,0.0,3,480193 | 234220 | 245973
19,2009__전체__비중,float64,3,0,0.0,3,100.0 | 48.7 | 51.2
20,2009__취업자__빈도,int64,3,0,0.0,3,360293 | 180583 | 179710
21,2009__취업자__비중,float64,3,0,0.0,3,100.0 | 50.1 | 49.8
22,2009__실업자__빈도,int64,3,0,0.0,3,34966 | 16299 | 18666
23,2009__실업자__비중,float64,3,0,0.0,3,100.0 | 46.6 | 53.3
24,2009__비경활__빈도,int64,3,0,0.0,3,84932 | 37336 | 47595
25,2009__비경활__비중,float64,3,0,0.0,3,100.0 | 43.9 | 56.0
26,2010__전체__빈도,int64,3,0,0.0,3,470558 | 226208 | 244350
27,2010__전체__비중,float64,3,0,0.0,3,100.0 | 48.0 | 51.9
28,2010__취업자__빈도,int64,3,0,0.0,3,376517 | 185259 | 191258
29,2010__취업자__비중,float64,3,0,0.0,3,100.0 | 49.2 | 50.7
30,2010__실업자__빈도,int64,3,0,0.0,3,25686 | 12265 | 13421
31,2010__실업자__비중,float64,3,0,0.0,3,100.0 | 47.7 | 52.2
32,2010__비경활__빈도,int64,3,0,0.0,3,68353 | 28683 | 39670
33,2010__비경활__비중,float64,3,0,0.0,3,100.0 | 41.9 | 58.0
34,2011__전체__빈도,int64,3,0,0.0,3,479477 | 232600 | 246877
35,2011__전체__비중,float64,3,0,0.0,3,100.0 | 48.5 | 51.4
36,2011__취업자__빈도,int64,3,0,0.0,3,380969 | 189682 | 191287
37,2011__취업자__비중,float64,3,0,0.0,3,100.0 | 49.7 | 50.2
