column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,7,0,0.0,7,전체 | 1. 상용근로자 | 2. 임시근로자 | 3. 일용근로자 | 4. 고용원이 있는 자영업자
2,2007,float64,7,0,0.0,7,46.7 | 48.1 | 37.9 | 38.7 | 54.6
3,2008,float64,7,0,0.0,7,47.1 | 48.3 | 39.3 | 36.7 | 57.1
4,2009,float64,7,0,0.0,7,46.2 | 46.8 | 40.1 | 38.1 | 54.6
5,2010,float64,7,0,0.0,7,45.7 | 47.0 | 38.0 | 33.7 | 55.3
6,2011,float64,7,0,0.0,7,45.3 | 46.7 | 38.9 | 33.7 | 52.5
7,2012,float64,7,0,0.0,7,44.5 | 46.0 | 38.1 | 30.6 | 51.8
8,2013,float64,7,0,0.0,7,45.1 | 46.5 | 38.3 | 29.6 | 50.5
9,2014,float64,7,0,0.0,7,44.6 | 46.5 | 38.5 | 31.3 | 47.3
10,2015,float64,7,0,0.0,7,44.0 | 45.6 | 37.6 | 30.0 | 49.1
11,2016,float64,7,0,0.0,7,43.9 | 45.8 | 36.5 | 29.5 | 50.1
12,2017,float64,7,0,0.0,7,43.1 | 45.1 | 35.3 | 27.0 | 52.3
13,2018,float64,7,0,0.0,7,42.1 | 44.0 | 33.3 | 25.0 | 47.7
14,2019,float64,7,0,0.0,7,41.9 | 44.1 | 33.0 | 25.6 | 48.4
