분류,2007__전체__빈도,2007__전체__비중,2007__인문__빈도,2007__인문__비중,2007__사회__빈도,2007__사회__비중,2007__교육__빈도,2007__교육__비중,2007__공학__빈도,2007__공학__비중,2007__자연__빈도,2007__자연__비중,2007__의약__빈도,2007__의약__비중,2007__예체능__빈도,2007__예체능__비중,2008__전체__빈도,2008__전체__비중,2008__인문__빈도,2008__인문__비중,2008__사회__빈도,2008__사회__비중,2008__교육__빈도,2008__교육__비중,2008__공학__빈도,2008__공학__비중,2008__자연__빈도,2008__자연__비중,2008__의약__빈도,2008__의약__비중,2008__예체능__빈도,2008__예체능__비중,2009__전체__빈도,2009__전체__비중,2009__인문__빈도,2009__인문__비중,2009__사회__빈도,2009__사회__비중,2009__교육__빈도,2009__교육__비중,2009__공학__빈도,2009__공학__비중,2009__자연__빈도,2009__자연__비중,2009__의약__빈도,2009__의약__비중,2009__예체능__빈도,2009__예체능__비중,2010__전체__빈도,2010__전체__비중,2010__인문__빈도,2010__인문__비중,2010__사회__빈도,2010__사회__비중,2010__교육__빈도,2010__교육__비중,2010__공학__빈도,2010__공학__비중,2010__자연__빈도,2010__자연__비중,2010__의약__빈도,2010__의약__비중,2010__예체능__빈도,2010__예체능__비중,2011__전체__빈도,2011__전체__비중,2011__인문__빈도,2011__인문__비중,2011__사회__빈도,2011__사회__비중,2011__교육__빈도,2011__교육__비중,2011__공학__빈도,2011__공학__비중,2011__자연__빈도,2011__자연__비중,2011__의약__빈도,2011__의약__비중,2011__예체능__빈도,2011__예체능__비중,2012__전체__빈도,2012__전체__비중,2012__인문__빈도,2012__인문__비중,2012__사회__빈도,2012__사회__비중,2012__교육__빈도,2012__교육__비중,2012__공학__빈도,2012__공학__비중,2012__자연__빈도,2012__자연__비중,2012__의약__빈도,2012__의약__비중,2012__예체능__빈도,2012__예체능__비중,2013__전체__빈도,2013__전체__비중,2013__인문__빈도,2013__인문__비중,2013__사회__빈도,2013__사회__비중,2013__교육__빈도,2013__교육__비중,2013__공학__빈도,2013__공학__비중,2013__자연__빈도,2013__자연__비중,2013__의약__빈도,2013__의약__비중,2013__예체능__빈도,2013__예체능__비중,2014__전체__빈도,2014__전체__비중,2014__인문__빈도,2014__인문__비중,2014__사회__빈도,2014__사회__비중,2014__교육__빈도,2014__교육__비중,2014__공학__빈도,2014__공학__비중,2014__자연__빈도,2014__자연__비중,2014__의약__빈도,2014__의약__비중,2014__예체능__빈도,2014__예체능__비중,2015__전체__빈도,2015__전체__비중,2015__인문__빈도,2015__인문__비중,2015__사회__빈도,2015__사회__비중,2015__교육__빈도,2015__교육__비중,2015__공학__빈도,2015__공학__비중,2015__자연__빈도,2015__자연__비중,2015__의약__빈도,2015__의약__비중,2015__예체능__빈도,2015__예체능__비중,2016__전체__빈도,2016__전체__비중,2016__인문__빈도,2016__인문__비중,2016__사회__빈도,2016__사회__비중,2016__교육__빈도,2016__교육__비중,2016__공학__빈도,2016__공학__비중,2016__자연__빈도,2016__자연__비중,2016__의약__빈도,2016__의약__비중,2016__예체능__빈도,2016__예체능__비중,2017__전체__빈도,2017__전체__비중,2017__인문__빈도,2017__인문__비중,2017__사회__빈도,2017__사회__비중,2017__교육__빈도,2017__교육__비중,2017__공학__빈도,2017__공학__비중,2017__자연__빈도,2017__자연__비중,2017__의약__빈도,2017__의약__비중,2017__예체능__빈도,2017__예체능__비중,2018__전체__빈도,2018__전체__비중,2018__인문__빈도,2018__인문__비중,2018__사회__빈도,2018__사회__비중,2018__교육__빈도,2018__교육__비중,2018__공학__빈도,2018__공학__비중,2018__자연__빈도,2018__자연__비중,2018__의약__빈도,2018__의약__비중,2018__예체능__빈도,2018__예체능__비중,2019__전체__빈도,2019__전체__비중,2019__인문__빈도,2019__인문__비중,2019__사회__빈도,2019__사회__비중,2019__교육__빈도,2019__교육__비중,2019__공학__빈도,2019__공학__비중,2019__자연__빈도,2019__자연__비중,2019__의약__빈도,2019__의약__비중,2019__예체능__빈도,2019__예체능__비중
전체,383204,100.0,36284,100.0,102813,100.0,24718,100.0,101585,100.0,35387,100.0,32136,100.0,50278,100.0,389213,100.0,36982,100.0,107842,100.0,26663,100.0,95607,100.0,37638,100.0,32954,100.0,51523,100.0,356100,100.0,30851,100.0,105781,100.0,24720,100.0,84551,100.0,32739,100.0,32042,100.0,45412,100.0,374942,100.0,34103,100.0,109323,100.0,24736,100.0,86621,100.0,36765,100.0,33666,100.0,49724,100.0,380683,100.0,33605,100.0,110681,100.0,24277,100.0,90669,100.0,37576,100.0,34099,100.0,49773,100.0,374430,100.0,31141,100.0,110573,100.0,22194,100.0,91449,100.0,34351,100.0,35509,100.0,49208,100.0,350494,100.0,28153,100.0,101571,100.0,22221,100.0,84680,100.0,32828,100.0,35473,100.0,45565,100.0,363189,100.0,29328,100.0,102999,100.0,22703,100.0,86758,100.0,34065,100.0,39036,100.0,48297,100.0,375896,100.0,32593,100.0,106919,100.0,22970,100.0,89937,100.0,35176,100.0,40605,100.0,47692,100.0,388305,100.0,33728,100.0,106306,100.0,22066,100.0,94931,100.0,37094,100.0,43588,100.0,50588,100.0,375557,100.0,31193,100.0,101154,100.0,22251,100.0,93080,100.0,35651,100.0,44539,100.0,47687,100.0,364901,100.0,29824,100.0,94612,100.0,21724,100.0,93068,100.0,35751,100.0,45877,100.0,44041,100.0,323153,100.0,24507,100.0,82347,100.0,19250,100.0,82605,100.0,30897,100.0,44457,100.0,39086,100.0
1. 상용근로자,312843,81.6,27631,76.1,84270,81.9,19603,79.3,90356,88.9,28018,79.1,28514,88.7,34448,68.5,317797,81.6,28238,76.3,87257,80.9,22026,82.6,83692,87.5,31134,82.7,30200,91.6,35247,68.4,305687,85.8,24555,79.5,92021,86.9,21168,85.6,77323,91.4,27680,84.5,29942,93.4,32996,72.6,307147,81.9,26197,76.8,90346,82.6,19668,79.5,76076,87.8,29060,79.0,30816,91.5,34982,70.3,301038,79.0,25223,75.0,88937,80.3,19377,79.8,77143,85.0,28232,75.1,29815,87.4,32308,64.9,299943,80.1,23137,74.3,89045,80.5,18432,83.0,79053,86.4,25959,75.5,31364,88.3,32951,66.9,291194,83.0,22057,78.3,84135,82.8,19539,87.9,74968,88.5,26040,79.3,32836,92.5,31617,69.3,285455,78.5,20811,70.9,82157,79.7,18346,80.8,73357,84.5,24823,72.8,34623,88.6,31336,64.8,299976,79.8,23842,73.1,85168,79.6,19696,85.7,76814,85.4,26895,76.4,36504,89.9,31053,65.1,303577,78.1,24008,71.1,85020,79.9,17582,79.6,80559,84.8,26556,71.5,39170,89.8,30679,60.6,292190,77.8,22809,73.1,79759,78.8,17782,79.9,77664,83.4,26075,73.1,38816,87.1,29284,61.4,291729,79.9,22220,74.5,75707,80.0,16918,77.8,80352,86.3,27138,75.9,40514,88.3,28877,65.5,255272,78.9,17554,71.6,64719,78.5,15566,80.8,70057,84.8,22803,73.8,39897,89.7,24672,63.1
2. 임시근로자,46876,12.2,6726,18.5,12054,11.7,3497,14.1,7650,7.5,5101,14.4,2880,8.9,8966,17.8,47385,12.1,6602,17.8,13058,12.1,3320,12.4,8290,8.6,4586,12.1,2137,6.4,9388,18.2,31415,8.8,4766,15.4,7537,7.1,2707,10.9,4553,5.3,3381,10.3,1618,5.0,6850,15.0,44007,11.7,5865,17.1,10832,9.9,3409,13.7,7468,8.6,5679,15.4,2302,6.8,8450,16.9,57082,14.9,6530,19.4,14538,13.1,3596,14.8,9955,10.9,7014,18.6,3597,10.5,11850,23.8,52817,14.1,6181,19.8,14534,13.1,2978,13.4,8989,9.8,6331,18.4,3399,9.5,10403,21.1,40471,11.5,4355,15.4,11161,10.9,2193,9.8,7043,8.3,5088,15.5,2076,5.8,8551,18.7,56704,15.6,6435,21.9,14975,14.5,3401,14.9,10380,11.9,7043,20.6,3795,9.7,10672,22.0,53759,14.3,6620,20.3,15361,14.3,2628,11.4,9167,10.1,6146,17.4,3433,8.4,10401,21.8,63349,16.3,7685,22.7,15536,14.6,3721,16.8,10910,11.4,7710,20.7,3921,8.9,13864,27.4,59696,15.8,6645,21.3,14989,14.8,3716,16.7,11561,12.4,6717,18.8,4789,10.7,11277,23.6,52140,14.2,5877,19.7,12907,13.6,3918,18.0,9649,10.3,6169,17.2,4461,9.7,9156,20.7,51739,16.0,5609,22.8,13216,16.0,3206,16.6,9707,11.7,6292,20.3,4117,9.2,9589,24.5
3. 일용근로자,3439,0.8,335,0.9,863,0.8,191,0.7,472,0.4,388,1.0,185,0.5,1001,1.9,3110,0.7,261,0.7,948,0.8,29,0.1,767,0.8,217,0.5,107,0.3,777,1.5,1813,0.5,246,0.7,497,0.4,100,0.4,362,0.4,161,0.4,24,0.0,419,0.9,3853,1.0,593,1.7,1259,1.1,107,0.4,518,0.5,343,0.9,121,0.3,909,1.8,2100,0.5,190,0.5,498,0.4,0,0.0,501,0.5,276,0.7,132,0.3,501,1.0,5028,1.3,634,2.0,1615,1.4,212,0.9,937,1.0,388,1.1,218,0.6,1020,2.0,4209,1.2,557,1.9,1130,1.1,124,0.5,784,0.9,320,0.9,139,0.3,1152,2.5,5338,1.4,678,2.3,1503,1.4,269,1.1,956,1.1,513,1.5,269,0.6,1148,2.3,5962,1.5,660,2.0,1500,1.4,130,0.5,1126,1.2,364,1.0,411,1.0,1768,3.7,4945,1.2,565,1.6,1403,1.3,188,0.8,965,1.0,555,1.4,128,0.2,1138,2.2,5845,1.5,511,1.6,1405,1.3,206,0.9,1300,1.3,575,1.6,146,0.3,1699,3.5,4860,1.3,577,1.9,1497,1.5,210,0.9,906,0.9,475,1.3,109,0.2,1083,2.4,5306,1.6,468,1.9,1563,1.8,181,0.9,1033,1.2,460,1.4,166,0.3,1432,3.6
4. 고용원이 있는 자영업자,8768,2.2,540,1.4,2768,2.6,923,3.7,1652,1.6,747,2.1,383,1.1,1753,3.4,8966,2.3,573,1.5,3596,3.3,694,2.6,1331,1.3,767,2.0,360,1.0,1642,3.1,7744,2.1,412,1.3,2980,2.8,514,2.0,1365,1.6,574,1.7,252,0.7,1645,3.6,8192,2.1,473,1.3,3286,3.0,935,3.7,1000,1.1,556,1.5,254,0.7,1685,3.3,7616,2.0,493,1.4,2944,2.6,592,2.4,1234,1.3,658,1.7,369,1.0,1323,2.6,5744,1.5,276,0.8,2336,2.1,179,0.8,977,1.0,465,1.3,299,0.8,1209,2.4,6464,1.8,531,1.8,2804,2.7,145,0.6,932,1.1,406,1.2,203,0.5,1440,3.1,5798,1.5,508,1.7,1860,1.8,408,1.8,929,1.0,624,1.8,220,0.5,1244,2.5,4917,1.3,382,1.1,1832,1.7,92,0.4,1080,1.2,438,1.2,89,0.2,1001,2.0,6375,1.6,272,0.8,2083,1.9,298,1.3,1210,1.2,769,2.0,139,0.3,1602,3.1,6389,1.7,318,1.0,2300,2.2,165,0.7,1262,1.3,715,2.0,351,0.7,1275,2.6,5104,1.3,354,1.1,1544,1.6,253,1.1,884,0.9,476,1.3,278,0.6,1313,2.9,3030,0.9,175,0.7,1108,1.3,13,0.0,566,0.6,394,1.2,78,0.1,693,1.7
5. 고용원이 없는 자영업자,11250,2.9,1024,2.8,2856,2.7,503,2.0,1453,1.4,1130,3.1,171,0.5,4108,8.1,11854,3.0,1307,3.5,2916,2.7,592,2.2,1490,1.5,931,2.4,147,0.4,4467,8.6,8897,2.4,800,2.5,2436,2.3,229,0.9,864,1.0,896,2.7,203,0.6,3466,7.6,10231,2.7,936,2.7,2993,2.7,520,2.1,1087,1.2,1000,2.7,149,0.4,3544,7.1,11725,3.0,1117,3.3,3173,2.8,695,2.8,1585,1.7,1243,3.3,185,0.5,3724,7.4,9542,2.5,842,2.7,2521,2.2,392,1.7,1277,1.3,920,2.6,201,0.5,3386,6.8,6939,1.9,577,2.0,1916,1.8,218,0.9,700,0.8,666,2.0,179,0.5,2679,5.8,9148,2.5,863,2.9,2249,2.1,260,1.1,886,1.0,960,2.8,71,0.1,3857,7.9,9835,2.6,984,3.0,2643,2.4,421,1.8,1380,1.5,945,2.6,127,0.3,3332,6.9,9155,2.3,1113,3.2,1975,1.8,172,0.7,1060,1.1,1443,3.8,171,0.3,3218,6.3,10302,2.7,869,2.7,2285,2.2,341,1.5,1143,1.2,1375,3.8,392,0.8,3895,8.1,9961,2.7,751,2.5,2683,2.8,423,1.9,1176,1.2,1253,3.5,474,1.0,3196,7.2,6677,2.0,587,2.3,1492,1.8,271,1.4,890,1.0,778,2.5,80,0.1,2575,6.5
6. 무급가족종사자,26,0.0,26,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,99,0.0,0,0.0,64,0.0,0,0.0,34,0.0,0,0.0,0,0.0,0,0.0,542,0.1,71,0.2,309,0.2,0,0.0,83,0.0,44,0.1,0,0.0,33,0.0,1508,0.4,37,0.1,606,0.5,94,0.3,471,0.5,126,0.3,21,0.0,152,0.3,1119,0.2,50,0.1,589,0.5,14,0.0,247,0.2,150,0.4,0,0.0,65,0.1,1353,0.3,67,0.2,520,0.4,0,0.0,214,0.2,287,0.8,25,0.0,237,0.4,1215,0.3,74,0.2,423,0.4,0,0.0,250,0.2,306,0.9,38,0.1,122,0.2,744,0.2,32,0.1,253,0.2,16,0.0,246,0.2,100,0.2,56,0.1,38,0.0,1443,0.3,102,0.3,413,0.3,0,0.0,368,0.4,385,1.0,38,0.0,134,0.2,902,0.2,84,0.2,285,0.2,104,0.4,225,0.2,60,0.1,57,0.1,84,0.1,1133,0.3,40,0.1,414,0.4,38,0.1,147,0.1,192,0.5,44,0.0,255,0.5,1105,0.3,43,0.1,271,0.2,0,0.0,98,0.1,237,0.6,39,0.0,413,0.9,1126,0.3,112,0.4,246,0.2,10,0.0,350,0.4,168,0.5,115,0.2,122,0.3
