분류,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
전체,196.4,188.9,192.5,198.1,207.3,205.9,204.7,205.2,207.8,217.0
관리직,384.3,454.1,429.8,551.8,444.4,496.1,640.2,438.3,591.4,603.2
경영·회계·사무 관련직,196.3,186.2,188.1,200.3,209.4,204.7,203.5,207.2,207.1,220.9
금융·보험 관련직,277.1,271.5,259.7,262.7,288.9,276.9,288.8,278.9,280.4,298.5
교육 및 자연과학·사회과학 연구관련직,153.6,153.6,161.4,151.1,155.8,166.7,170.9,177.3,174.7,176.6
법률·경찰·소방·교도 관련직,253.8,267.3,247.5,254.2,304.1,266.7,249.9,256.9,258.4,270.2
보건·의료 관련직,198.7,197.0,194.1,199.8,216.7,209.0,209.4,213.1,216.3,228.8
사회복지 및 종교 관련직,131.9,131.1,131.7,139.8,143.3,151.0,154.0,158.6,167.5,166.9
문화·예술·디자인·방송 관련직,159.8,150.6,158.3,160.1,170.5,172.6,171.2,176.1,182.2,184.0
운전 및 운송 관련직,208.2,197.3,186.7,204.0,201.6,214.8,209.2,223.4,231.5,231.8
영업 및 판매 관련직,207.9,202.3,199.8,224.0,217.5,206.6,219.5,213.4,212.0,216.6
경비 및 청소 관련직,168.6,149.7,171.2,160.8,167.3,167.6,174.9,166.4,176.5,175.6
미용·숙박·여행·오락 스포츠 관련직,169.0,163.6,180.7,181.3,176.2,176.7,164.0,181.1,193.7,188.0
음식서비스 관련직,154.9,144.3,151.6,154.8,155.7,147.7,141.7,146.1,145.8,142.7
건설 관련직,214.1,213.4,215.6,221.7,234.9,235.2,232.3,218.5,230.8,237.2
기계 관련직,232.0,227.8,227.9,246.0,253.9,256.9,258.3,251.8,259.9,265.9
재료관련직,205.5,207.9,228.8,226.3,241.8,242.8,260.2,209.1,212.3,229.7
화학 관련직,217.5,221.6,237.4,235.5,247.4,250.7,224.0,239.6,223.1,247.0
섬유 및 의복 관련직,153.2,184.5,155.5,186.1,171.0,216.0,194.5,177.2,206.4,190.8
전기·전자 관련직,220.6,206.6,214.0,241.8,258.1,235.4,252.3,240.3,242.3,248.8
정보통신 관련직,210.7,206.2,203.8,221.2,236.3,235.1,233.8,233.1,230.3,244.8
식품가공 관련직,200.5,174.9,165.9,172.9,191.2,215.0,187.8,182.4,183.1,186.5
환경·인쇄·목재·가구·공예 및 생산단순직,192.9,179.9,190.8,189.2,203.4,202.9,202.8,211.3,209.4,224.2
농림어업 관련직,284.8,365.4,308.5,340.0,294.9,200.5,230.1,242.9,230.8,289.8
군인,204.0,194.1,185.3,202.0,194.5,184.0,183.3,182.2,188.5,214.9
