분류,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
전체,195.8,188.9,190.0,198.1,206.5,202.8,204.6,205.2,207.9,217.0,227.2,235.7,242.7
1. 내국인이 운영하는 국내외의 민간회사 또는개인사업체,201.1,196.6,194.0,207.9,219.3,210.9,212.2,213.0,214.2,224.5,237.2,245.4,251.3
2. 외국인이 운영하는 국내외에 위치하는 외국인 회사,242.3,240.9,235.2,249.9,247.9,247.4,231.0,242.5,246.8,262.9,283.1,275.3,269.5
3. 정부투자기관/정부출연기관/공사합동기업,232.7,195.9,193.0,199.3,204.0,214.3,208.7,211.7,224.4,236.5,252.9,266.2,267.5
"4. (재단, 사단) 법인단체",177.3,146.5,174.0,176.0,181.6,193.8,202.2,197.8,205.0,216.3,217.4,229.9,247.2
"5. 정부기관(공무원, 군인 등)",196.8,171.2,183.7,190.9,199.9,191.7,190.8,192.7,199.6,213.0,217.4,234.1,222.0
"6. 교육기관(대학, 초/중/고 등)",153.0,161.5,161.6,149.6,150.3,159.8,169.9,165.0,168.4,158.7,169.8,171.3,194.7
7. 연구기관(국립/사립),141.2,152.3,145.8,130.3,151.2,156.1,173.6,182.5,142.4,168.9,166.7,159.3,209.6
8. 특정한 회사나 사업체에 소속되어 있지 않다,120.1,134.6,182.3,150.2,174.3,169.1,184.6,177.6,210.7,184.2,169.8,220.1,242.2
9. 기타,160.7,212.5,167.8,168.4,152.5,178.4,100.3,118.1,205.1,200.0,283.3,150.0,203.3
