column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,7,0,0.0,7,전체 | 1. 상용근로자 | 2. 임시근로자 | 3. 일용근로자 | 4. 고용원이 있는 자영업자
2,2007__전체__빈도,int64,7,0,0.0,7,383204 | 312843 | 46876 | 3439 | 8768
3,2007__전체__비중,float64,7,0,0.0,7,100.0 | 81.6 | 12.2 | 0.8 | 2.2
4,2007__인문__빈도,int64,7,0,0.0,7,36284 | 27631 | 6726 | 335 | 540
5,2007__인문__비중,float64,7,0,0.0,7,100.0 | 76.1 | 18.5 | 0.9 | 1.4
6,2007__사회__빈도,int64,7,0,0.0,7,102813 | 84270 | 12054 | 863 | 2768
7,2007__사회__비중,float64,7,0,0.0,7,100.0 | 81.9 | 11.7 | 0.8 | 2.6
8,2007__교육__빈도,int64,7,0,0.0,7,24718 | 19603 | 3497 | 191 | 923
9,2007__교육__비중,float64,7,0,0.0,7,100.0 | 79.3 | 14.1 | 0.7 | 3.7
10,2007__공학__빈도,int64,7,0,0.0,7,101585 | 90356 | 7650 | 472 | 1652
11,2007__공학__비중,float64,7,0,0.0,7,100.0 | 88.9 | 7.5 | 0.4 | 1.6
12,2007__자연__빈도,int64,7,0,0.0,7,35387 | 28018 | 5101 | 388 | 747
13,2007__자연__비중,float64,7,0,0.0,7,100.0 | 79.1 | 14.4 | 1.0 | 2.1
14,2007__의약__빈도,int64,7,0,0.0,7,32136 | 28514 | 2880 | 185 | 383
15,2007__의약__비중,float64,7,0,0.0,6,100.0 | 88.7 | 8.9 | 0.5 | 1.1
16,2007__예체능__빈도,int64,7,0,0.0,7,50278 | 34448 | 8966 | 1001 | 1753
17,2007__예체능__비중,float64,7,0,0.0,7,100.0 | 68.5 | 17.8 | 1.9 | 3.4
18,2008__전체__빈도,int64,7,0,0.0,7,389213 | 317797 | 47385 | 3110 | 8966
19,2008__전체__비중,float64,7,0,0.0,7,100.0 | 81.6 | 12.1 | 0.7 | 2.3
