column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,4,0,0.0,4,전체 | 전문대 | 4년제 | 교육대
2,2007,float64,4,0,0.0,4,195.8 | 182.6 | 201.7 | 198.1
3,2008,float64,4,0,0.0,4,188.9 | 172.3 | 195.5 | 206.4
4,2009,float64,4,0,0.0,4,190.0 | 173.1 | 199.9 | 197.5
5,2010,float64,4,0,0.0,4,198.1 | 186.1 | 203.7 | 203.2
6,2011,float64,4,0,0.0,4,206.5 | 187.8 | 215.1 | 209.1
7,2012,float64,4,0,0.0,4,202.8 | 185.5 | 210.6 | 212.5
8,2013,float64,4,0,0.0,4,204.6 | 185.0 | 213.4 | 209.6
9,2014,float64,4,0,0.0,4,205.2 | 186.4 | 213.1 | 217.6
10,2015,float64,4,0,0.0,4,207.9 | 191.5 | 213.9 | 219.3
11,2016,float64,4,0,0.0,4,217.0 | 201.6 | 222.2 | 229.8
12,2017,float64,4,0,0.0,4,227.2 | 209.8 | 231.7 | 233.4
13,2018,float64,4,0,0.0,4,235.7 | 220.1 | 239.9 | 238.3
14,2019,float64,4,0,0.0,4,242.6 | 214.9 | 250.4 | 248.3
