column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,7,0,0.0,7,전체 | 1. 상용근로자 | 2. 임시근로자 | 3. 일용근로자 | 4. 고용원이 있는 자영업자
2,2007__전체__빈도,int64,7,0,0.0,7,383204 | 312843 | 46876 | 3439 | 8768
3,2007__전체__비중,float64,7,0,0.0,7,100.0 | 81.6 | 12.2 | 0.8 | 2.2
4,2007__전문대__빈도,int64,7,0,0.0,7,170169 | 136039 | 21064 | 2041 | 5659
5,2007__전문대__비중,float64,7,0,0.0,7,100.0 | 79.9 | 12.3 | 1.1 | 3.3
6,2007__4년제__빈도,int64,7,0,0.0,7,208031 | 172021 | 25591 | 1398 | 3109
7,2007__4년제__비중,float64,7,0,0.0,7,100.0 | 82.6 | 12.3 | 0.6 | 1.4
8,2007__교육대__빈도,int64,7,0,0.0,4,5003 | 4782 | 220 | 0
9,2007__교육대__비중,float64,7,0,0.0,4,100.0 | 95.5 | 4.4 | 0.0
10,2008__전체__빈도,int64,7,0,0.0,7,389213 | 317797 | 47385 | 3110 | 8966
11,2008__전체__비중,float64,7,0,0.0,7,100.0 | 81.6 | 12.1 | 0.7 | 2.3
12,2008__전문대__빈도,int64,7,0,0.0,7,164069 | 132192 | 18325 | 2165 | 5884
13,2008__전문대__비중,float64,7,0,0.0,7,100.0 | 80.5 | 11.1 | 1.3 | 3.5
14,2008__4년제__빈도,int64,7,0,0.0,7,219128 | 179907 | 28751 | 945 | 3081
15,2008__4년제__비중,float64,7,0,0.0,7,100.0 | 82.1 | 13.1 | 0.4 | 1.4
16,2008__교육대__빈도,int64,7,0,0.0,5,6014 | 5697 | 308 | 0 | 9
17,2008__교육대__비중,float64,7,0,0.0,5,100.0 | 94.7 | 5.1 | 0.0 | 0.1
18,2009__전체__빈도,int64,7,0,0.0,7,356100 | 305687 | 31415 | 1813 | 7744
19,2009__전체__비중,float64,7,0,0.0,7,100.0 | 85.8 | 8.8 | 0.5 | 2.1
20,2009__전문대__빈도,int64,7,0,0.0,7,152778 | 129925 | 12201 | 1168 | 4817
21,2009__전문대__비중,float64,7,0,0.0,7,100.0 | 85.0 | 7.9 | 0.7 | 3.1
22,2009__4년제__빈도,int64,7,0,0.0,7,197953 | 170592 | 19036 | 644 | 2927
23,2009__4년제__비중,float64,7,0,0.0,7,100.0 | 86.1 | 9.6 | 0.3 | 1.4
24,2009__교육대__빈도,int64,7,0,0.0,5,5368 | 5169 | 177 | 0 | 21
25,2009__교육대__비중,float64,7,0,0.0,5,100.0 | 96.2 | 3.3 | 0.0 | 0.4
26,2010__전체__빈도,int64,7,0,0.0,7,374942 | 307147 | 44007 | 3853 | 8192
27,2010__전체__비중,float64,7,0,0.0,7,100.0 | 81.9 | 11.7 | 1.0 | 2.1
28,2010__전문대__빈도,int64,7,0,0.0,7,151712 | 123372 | 16015 | 2222 | 5030
29,2010__전문대__비중,float64,7,0,0.0,7,100.0 | 81.3 | 10.5 | 1.4 | 3.3
30,2010__4년제__빈도,int64,7,0,0.0,7,218255 | 179102 | 27706 | 1631 | 3162
31,2010__4년제__비중,float64,7,0,0.0,7,100.0 | 82.0 | 12.6 | 0.7 | 1.4
32,2010__교육대__빈도,int64,7,0,0.0,5,4974 | 4672 | 285 | 0 | 16
33,2010__교육대__비중,float64,7,0,0.0,5,100.0 | 93.9 | 5.7 | 0.0 | 0.3
34,2011__전체__빈도,int64,7,0,0.0,7,380683 | 301038 | 57082 | 2100 | 7616
35,2011__전체__비중,float64,7,0,0.0,7,100.0 | 79.0 | 14.9 | 0.5 | 2.0
36,2011__전문대__빈도,int64,7,0,0.0,7,148893 | 117159 | 20362 | 1156 | 4468
37,2011__전문대__비중,float64,7,0,0.0,7,100.0 | 78.6 | 13.6 | 0.7 | 3.0
38,2011__4년제__빈도,int64,7,0,0.0,7,226967 | 179480 | 36328 | 944 | 3148
39,2011__4년제__비중,float64,7,0,0.0,7,100.0 | 79.0 | 16.0 | 0.4 | 1.3
40,2011__교육대__빈도,int64,7,0,0.0,5,4823 | 4399 | 391 | 0 | 32
