분류,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
전체,46.8,47.1,46.2,45.7,45.3,44.5,45.1,44.6,44.0,43.9,43.1,42.1,41.9
"농업,임업 및 어업",50.4,54.8,54.1,45.7,50.9,49.5,49.4,45.9,49.8,47.6,50.3,48.2,46.9
광업,49.3,40.0,44.0,45.8,46.8,42.7,47.4,41.3,40.0,50.8,43.0,42.0,40.0
제조업,49.3,50.0,47.6,48.5,48.1,47.6,48.1,47.5,46.5,46.6,45.7,44.6,44.9
"전기, 가스, 증기 및 수도사업",43.8,44.5,42.7,43.0,42.9,43.3,44.1,43.6,43.0,42.8,42.5,43.0,42.9
"하수·폐기물처리, 원료재생 및 환경복원업",46.5,45.8,46.2,43.9,45.2,47.4,48.4,47.5,45.0,44.1,45.9,44.0,45.7
건설업,52.0,52.5,49.9,50.7,48.7,47.6,49.5,48.7,48.1,48.8,47.5,46.3,46.9
도매 및 소매업,49.2,50.0,49.1,48.3,47.9,47.1,46.7,46.1,45.5,44.2,43.2,41.2,39.6
운수업,45.8,45.9,46.0,47.1,45.5,45.5,45.1,43.5,44.2,45.1,45.6,43.3,43.0
숙박 및 음식점업,51.2,51.5,51.5,49.5,48.8,45.7,45.1,44.2,44.7,41.7,39.1,36.9,33.4
"출판, 영상, 방송통신 및 정보서비스업",47.7,47.5,46.7,47.2,46.1,45.0,47.0,45.3,45.3,44.5,44.3,43.1,42.8
금융 및 보험업,46.8,47.2,45.8,46.2,46.0,45.1,46.4,44.5,44.7,44.5,44.6,43.0,43.2
부동산업 및 임대업,46.4,48.1,46.9,45.2,47.2,45.5,45.9,45.8,45.4,44.9,45.5,42.5,43.3
"전문, 과학 및 기술 서비스업",48.9,48.4,46.1,47.0,47.0,46.1,46.2,45.5,44.9,45.1,44.2,43.5,43.1
사업시설관리 및 사업지원 서비스업,45.6,45.6,45.5,44.8,43.9,43.7,46.1,43.6,44.6,43.0,42.3,42.5,43.2
"공공행정, 국방 및 사회보장 행정",47.6,46.9,45.5,45.2,45.9,45.0,45.1,46.3,45.2,45.9,46.1,44.8,44.3
교육 서비스업,38.4,40.1,40.5,39.3,39.0,37.6,38.6,38.6,38.0,38.7,38.0,38.1,37.8
보건업 및 사회복지 서비스업,48.2,48.0,46.8,45.4,45.3,45.6,46.1,46.2,44.7,44.9,44.5,43.4,43.9
"예술,스포츠 및 여가관련 서비스업",43.3,46.0,44.6,41.5,41.8,40.9,38.0,38.6,38.9,38.2,37.6,35.3,34.8
"협회 및 단체, 수리 및 기타 개인 서비스",43.9,45.6,45.0,45.5,43.9,42.7,43.5,44.7,44.2,42.6,41.8,40.7,40.0
가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,72.0,10.0,0.0,55.0,40.0,6.0,0.0,28.5,11.0,0.0,26.0,18.7,0.0
국제 및 외국기관,39.0,40.3,40.0,42.8,45.2,44.1,34.8,35.4,40.0,44.0,37.5,43.7,41.3
