분류,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
전체,46.8,47.1,46.1,45.7,45.3,44.5,45.1,44.6,44.0,43.9,43.1,42.1,41.9
인문,43.4,43.7,43.4,42.2,43.2,42.5,42.4,42.4,42.1,41.5,40.3,39.7,39.9
사회,46.6,46.9,45.9,45.5,45.3,44.7,45.1,44.7,44.1,43.9,43.0,41.7,41.9
교육,44.3,43.7,45.2,43.6,42.2,40.8,41.8,41.8,41.3,40.4,39.8,39.1,39.6
공학,49.1,49.9,47.7,48.2,47.3,46.4,47.9,46.8,46.1,46.1,45.3,43.9,43.7
자연,46.5,47.6,46.3,46.1,45.6,45.1,45.6,44.5,44.5,44.1,43.8,43.1,42.5
의약,50.4,49.5,48.2,46.5,47.3,47.3,47.9,47.2,46.1,45.9,45.8,44.3,44.8
예체능,44.4,43.9,44.6,43.7,43.4,42.1,41.3,41.4,40.2,40.5,39.9,39.3,37.6
