분류,2007__전체__빈도,2007__전체__비중,2007__전문대__빈도,2007__전문대__비중,2007__4년제__빈도,2007__4년제__비중,2007__교육대__빈도,2007__교육대__비중,2008__전체__빈도,2008__전체__비중,2008__전문대__빈도,2008__전문대__비중,2008__4년제__빈도,2008__4년제__비중,2008__교육대__빈도,2008__교육대__비중,2009__전체__빈도,2009__전체__비중,2009__전문대__빈도,2009__전문대__비중,2009__4년제__빈도,2009__4년제__비중,2009__교육대__빈도,2009__교육대__비중,2010__전체__빈도,2010__전체__비중,2010__전문대__빈도,2010__전문대__비중,2010__4년제__빈도,2010__4년제__비중,2010__교육대__빈도,2010__교육대__비중,2011__전체__빈도,2011__전체__비중,2011__전문대__빈도,2011__전문대__비중,2011__4년제__빈도,2011__4년제__비중,2011__교육대__빈도,2011__교육대__비중,2012__전체__빈도,2012__전체__비중,2012__전문대__빈도,2012__전문대__비중,2012__4년제__빈도,2012__4년제__비중,2012__교육대__빈도,2012__교육대__비중,2013__전체__빈도,2013__전체__비중,2013__전문대__빈도,2013__전문대__비중,2013__4년제__빈도,2013__4년제__비중,2013__교육대__빈도,2013__교육대__비중,2014__전체__빈도,2014__전체__비중,2014__전문대__빈도,2014__전문대__비중,2014__4년제__빈도,2014__4년제__비중,2014__교육대__빈도,2014__교육대__비중,2015__전체__빈도,2015__전체__비중,2015__전문대__빈도,2015__전문대__비중,2015__4년제__빈도,2015__4년제__비중,2015__교육대__빈도,2015__교육대__비중,2016__전체__빈도,2016__전체__비중,2016__전문대__빈도,2016__전문대__비중,2016__4년제__빈도,2016__4년제__비중,2016__교육대__빈도,2016__교육대__비중,2017__전체__빈도,2017__전체__비중,2017__전문대__빈도,2017__전문대__비중,2017__4년제__빈도,2017__4년제__비중,2017__교육대__빈도,2017__교육대__비중,2018__전체__빈도,2018__전체__비중,2018__전문대__빈도,2018__전문대__비중,2018__4년제__빈도,2018__4년제__비중,2018__교육대__빈도,2018__교육대__비중,2019__전체__빈도,2019__전체__비중,2019__전문대__빈도,2019__전문대__비중,2019__4년제__빈도,2019__4년제__비중,2019__교육대__빈도,2019__교육대__비중
전체,390296,100.0,173814,100.0,211479,100.0,5003,100.0,392483,100.0,165759,100.0,220708,100.0,6014,100.0,359613,100.0,154026,100.0,200218,100.0,5368,100.0,376517,100.0,152577,100.0,218965,100.0,4974,100.0,380683,100.0,148893,100.0,226967,100.0,4823,100.0,381658,100.0,146906,100.0,230179,100.0,4572,100.0,361366,100.0,138628,100.0,218143,100.0,4594,100.0,370190,100.0,141317,100.0,224591,100.0,4280,100.0,379583,100.0,137569,100.0,238107,100.0,3906,100.0,388117,100.0,135673,100.0,249044,100.0,3400,100.0,375179,100.0,127662,100.0,244128,100.0,3388,100.0,364556,100.0,122924,100.0,238359,100.0,3273,100.0,319667,100.0,108425,100.0,207947,100.0,3294,100.0
"농업,임업 및 어업",1490,0.3,909,0.5,581,0.2,0,0.0,1523,0.3,1103,0.6,420,0.1,0,0.0,1178,0.3,559,0.3,619,0.3,0,0.0,1822,0.4,900,0.5,921,0.4,0,0.0,1406,0.3,748,0.5,658,0.2,0,0.0,1658,0.4,865,0.5,792,0.3,0,0.0,1615,0.4,1059,0.7,555,0.2,0,0.0,1899,0.5,963,0.6,935,0.4,0,0.0,1273,0.3,615,0.4,657,0.2,0,0.0,1543,0.3,984,0.7,558,0.2,0,0.0,1551,0.4,897,0.7,654,0.2,0,0.0,1788,0.4,1053,0.8,735,0.3,0,0.0,1043,0.3,625,0.5,417,0.2,0,0.0
광업,188,0.0,75,0.0,112,0.0,0,0.0,102,0.0,46,0.0,55,0.0,0,0.0,89,0.0,0,0.0,89,0.0,0,0.0,280,0.0,0,0.0,280,0.1,0,0.0,131,0.0,88,0.0,43,0.0,0,0.0,190,0.0,0,0.0,190,0.0,0,0.0,73,0.0,0,0.0,73,0.0,0,0.0,97,0.0,0,0.0,97,0.0,0,0.0,101,0.0,0,0.0,101,0.0,0,0.0,120,0.0,58,0.0,62,0.0,0,0.0,35,0.0,0,0.0,35,0.0,0,0.0,13,0.0,0,0.0,13,0.0,0,0.0,66,0.0,0,0.0,66,0.0,0,0.0
제조업,67373,17.2,31356,18.0,36017,17.0,0,0.0,64181,16.3,27133,16.3,37037,16.7,10,0.1,60101,16.7,25269,16.4,34832,17.3,0,0.0,64919,17.2,24869,16.2,40050,18.2,0,0.0,68353,17.9,25256,16.9,43038,18.9,57,1.2,69078,18.0,25232,17.1,43845,19.0,0,0.0,66510,18.4,23208,16.7,43302,19.8,0,0.0,66948,18.0,23493,16.6,43454,19.3,0,0.0,64917,17.1,23400,17.0,41517,17.4,0,0.0,60838,15.6,20698,15.2,40140,16.1,0,0.0,55491,14.7,17953,14.0,37537,15.3,0,0.0,55774,15.2,18231,14.8,37531,15.7,11,0.3,46646,14.5,15785,14.5,30860,14.8,0,0.0
"전기, 가스, 증기 및 수도사업",2252,0.5,644,0.3,1607,0.7,0,0.0,1882,0.4,437,0.2,1444,0.6,0,0.0,1292,0.3,333,0.2,959,0.4,0,0.0,1463,0.3,325,0.2,1138,0.5,0,0.0,1472,0.3,293,0.1,1178,0.5,0,0.0,1933,0.5,371,0.2,1561,0.6,0,0.0,1768,0.4,76,0.0,1692,0.7,0,0.0,2036,0.5,340,0.2,1695,0.7,0,0.0,1927,0.5,287,0.2,1639,0.6,0,0.0,2753,0.7,241,0.1,2512,1.0,0,0.0,2044,0.5,67,0.0,1977,0.8,0,0.0,2994,0.8,312,0.2,2681,1.1,0,0.0,2957,0.9,172,0.1,2784,1.3,0,0.0
"하수·폐기물처리, 원료재생 및 환경복원업",864,0.2,409,0.2,455,0.2,0,0.0,683,0.1,341,0.2,341,0.1,0,0.0,669,0.1,206,0.1,462,0.2,0,0.0,818,0.2,283,0.1,534,0.2,0,0.0,654,0.1,267,0.1,386,0.1,0,0.0,745,0.1,352,0.2,392,0.1,0,0.0,493,0.1,236,0.1,257,0.1,0,0.0,584,0.1,264,0.1,320,0.1,0,0.0,499,0.1,148,0.1,351,0.1,0,0.0,981,0.2,318,0.2,662,0.2,0,0.0,1158,0.3,267,0.2,891,0.3,0,0.0,1221,0.3,389,0.3,832,0.3,0,0.0,957,0.2,133,0.1,824,0.3,0,0.0
건설업,16618,4.2,8315,4.7,8303,3.9,0,0.0,16942,4.3,7303,4.4,9638,4.3,0,0.0,16669,4.6,7614,4.9,9055,4.5,0,0.0,13245,3.5,6429,4.2,6815,3.1,0,0.0,14172,3.7,5903,3.9,8268,3.6,0,0.0,14085,3.6,5911,4.0,8173,3.5,0,0.0,14054,3.8,5594,4.0,8459,3.8,0,0.0,13087,3.5,5662,4.0,7425,3.3,0,0.0,13711,3.6,5972,4.3,7725,3.2,13,0.3,13662,3.5,6372,4.6,7289,2.9,0,0.0,12415,3.3,5381,4.2,7034,2.8,0,0.0,11839,3.2,5082,4.1,6757,2.8,0,0.0,8279,2.5,4075,3.7,4203,2.0,0,0.0
도매 및 소매업,35391,9.0,17787,10.2,17604,8.3,0,0.0,33939,8.6,18106,10.9,15825,7.1,7,0.1,34964,9.7,18438,11.9,16526,8.2,0,0.0,36900,9.8,17641,11.5,19259,8.7,0,0.0,36510,9.5,16013,10.7,20441,9.0,55,1.1,34620,9.0,14766,10.0,19838,8.6,15,0.3,32045,8.8,13593,9.8,18439,8.4,12,0.2,33217,8.9,12501,8.8,20703,9.2,12,0.2,33692,8.8,13777,10.0,19915,8.3,0,0.0,35741,9.2,12568,9.2,23172,9.3,0,0.0,33149,8.8,11912,9.3,21237,8.6,0,0.0,30915,8.4,11467,9.3,19448,8.1,0,0.0,25086,7.8,9764,9.0,15322,7.3,0,0.0
운수업,6991,1.7,2836,1.6,4154,1.9,0,0.0,6833,1.7,2831,1.7,4001,1.8,0,0.0,5596,1.5,2401,1.5,3195,1.5,0,0.0,5996,1.5,2393,1.5,3603,1.6,0,0.0,5871,1.5,2008,1.3,3863,1.7,0,0.0,6971,1.8,2386,1.6,4585,1.9,0,0.0,7660,2.1,2334,1.6,5325,2.4,0,0.0,6154,1.6,1897,1.3,4256,1.8,0,0.0,7360,1.9,1816,1.3,5544,2.3,0,0.0,7498,1.9,1807,1.3,5691,2.2,0,0.0,8166,2.1,2083,1.6,6082,2.4,0,0.0,9338,2.5,2442,1.9,6895,2.8,0,0.0,9330,2.9,2077,1.9,7252,3.4,0,0.0
숙박 및 음식점업,11630,2.9,8150,4.6,3479,1.6,0,0.0,11933,3.0,8031,4.8,3902,1.7,0,0.0,11662,3.2,7608,4.9,4054,2.0,0,0.0,13339,3.5,8494,5.5,4810,2.1,35,0.7,14042,3.6,8697,5.8,5328,2.3,16,0.3,16499,4.3,9485,6.4,7014,3.0,0,0.0,17674,4.8,10159,7.3,7502,3.4,13,0.2,21532,5.8,12892,9.1,8639,3.8,0,0.0,22076,5.8,12452,9.0,9624,4.0,0,0.0,23100,5.9,12602,9.2,10498,4.2,0,0.0,23174,6.1,12633,9.8,10540,4.3,0,0.0,22794,6.2,12156,9.8,10638,4.4,0,0.0,19059,5.9,9978,9.2,9069,4.3,10,0.3
"출판, 영상, 방송통신 및 정보서비스업",28666,7.3,9708,5.5,18957,8.9,0,0.0,25503,6.4,7956,4.8,17546,7.9,0,0.0,23376,6.5,6805,4.4,16570,8.2,0,0.0,22291,5.9,6368,4.1,15922,7.2,0,0.0,25662,6.7,7674,5.1,17976,7.9,11,0.2,26908,7.0,7081,4.8,19811,8.6,15,0.3,24747,6.8,6917,4.9,17830,8.1,0,0.0,23836,6.4,6388,4.5,17438,7.7,9,0.2,24886,6.5,6023,4.3,18862,7.9,0,0.0,25346,6.5,5161,3.8,20165,8.0,19,0.5,25654,6.8,5270,4.1,20384,8.3,0,0.0,26221,7.1,5184,4.2,21036,8.8,0,0.0,23993,7.5,5936,5.4,18056,8.6,0,0.0
금융 및 보험업,24295,6.2,8023,4.6,16272,7.6,0,0.0,23615,6.0,5884,3.5,17730,8.0,0,0.0,20627,5.7,5563,3.6,15064,7.5,0,0.0,20449,5.4,5507,3.6,14942,6.8,0,0.0,19997,5.2,4831,3.2,15147,6.6,18,0.3,18327,4.8,3944,2.6,14383,6.2,0,0.0,12567,3.4,2370,1.7,10197,4.6,0,0.0,11458,3.0,2910,2.0,8548,3.8,0,0.0,12632,3.3,2082,1.5,10549,4.4,0,0.0,12907,3.3,2636,1.9,10270,4.1,0,0.0,12574,3.3,1896,1.4,10678,4.3,0,0.0,12486,3.4,1634,1.3,10852,4.5,0,0.0,10143,3.1,1283,1.1,8859,4.2,0,0.0
부동산업 및 임대업,4635,1.1,2451,1.4,2183,1.0,0,0.0,2848,0.7,1588,0.9,1260,0.5,0,0.0,3463,0.9,1760,1.1,1702,0.8,0,0.0,2955,0.7,1537,1.0,1417,0.6,0,0.0,2827,0.7,1519,1.0,1308,0.5,0,0.0,3540,0.9,1706,1.1,1833,0.7,0,0.0,3278,0.9,1453,1.0,1825,0.8,0,0.0,3224,0.8,1633,1.1,1591,0.7,0,0.0,3802,1.0,1625,1.1,2176,0.9,0,0.0,3784,0.9,1417,1.0,2367,0.9,0,0.0,2929,0.7,490,0.3,2438,0.9,0,0.0,2389,0.6,580,0.4,1809,0.7,0,0.0,2598,0.8,539,0.4,2058,0.9,0,0.0
"전문, 과학 및 기술 서비스업",30370,7.7,10386,5.9,19984,9.4,0,0.0,28905,7.3,9213,5.5,19691,8.9,0,0.0,27016,7.5,8440,5.4,18576,9.2,0,0.0,26790,7.1,7677,5.0,19113,8.7,0,0.0,27415,7.2,7080,4.7,20318,8.9,16,0.3,28273,7.4,7949,5.4,20323,8.8,0,0.0,26212,7.2,7439,5.3,18773,8.6,0,0.0,26301,7.1,7914,5.6,18386,8.1,0,0.0,27842,7.3,7132,5.1,20709,8.6,0,0.0,29786,7.6,7567,5.5,22218,8.9,0,0.0,30070,8.0,7164,5.6,22905,9.3,0,0.0,31040,8.5,6916,5.6,24104,10.1,19,0.5,28006,8.7,5490,5.0,22516,10.8,0,0.0
사업시설관리 및 사업지원 서비스업,13024,3.3,7972,4.5,5051,2.3,0,0.0,14862,3.7,8463,5.1,6398,2.8,0,0.0,10423,2.8,5551,3.6,4871,2.4,0,0.0,14935,3.9,8063,5.2,6871,3.1,0,0.0,16349,4.2,8770,5.8,7579,3.3,0,0.0,13793,3.6,6808,4.6,6984,3.0,0,0.0,12940,3.5,6921,4.9,6018,2.7,0,0.0,11720,3.1,5964,4.2,5735,2.5,19,0.4,13882,3.6,6200,4.5,7682,3.2,0,0.0,16528,4.2,6965,5.1,9563,3.8,0,0.0,16113,4.2,6884,5.3,9228,3.7,0,0.0,12492,3.4,5822,4.7,6669,2.7,0,0.0,10754,3.3,4432,4.0,6321,3.0,0,0.0
"공공행정, 국방 및 사회보장 행정",14589,3.7,5404,3.1,8974,4.2,210,4.2,18408,4.6,6305,3.8,12042,5.4,60,1.0,16634,4.6,5634,3.6,10952,5.4,47,0.8,14542,3.8,4683,3.0,9803,4.4,55,1.1,13243,3.4,3827,2.5,9352,4.1,63,1.3,14740,3.8,4221,2.8,10474,4.5,44,0.9,15546,4.3,3801,2.7,11642,5.3,102,2.2,19570,5.2,4816,3.4,14589,6.4,164,3.8,20545,5.4,3842,2.7,16574,6.9,128,3.2,21063,5.4,3844,2.8,17126,6.8,92,2.7,21452,5.7,4518,3.5,16820,6.8,113,3.3,20339,5.5,4461,3.6,15829,6.6,48,1.4,23577,7.3,4516,4.1,19033,9.1,27,0.8
교육 서비스업,56837,14.5,13156,7.5,38888,18.3,4792,95.7,62466,15.9,13815,8.3,42714,19.3,5936,98.6,52437,14.5,12975,8.4,34180,17.0,5281,98.3,60861,16.1,12362,8.1,43614,19.9,4883,98.1,59770,15.7,13959,9.3,41257,18.1,4552,94.4,54316,14.2,11601,7.8,38236,16.6,4478,97.9,50990,14.1,11820,8.5,34702,15.9,4466,97.2,52652,14.2,11693,8.2,36884,16.4,4074,95.1,54668,14.4,11676,8.4,39227,16.4,3764,96.3,54296,13.9,10441,7.6,40567,16.2,3287,96.6,53046,14.1,10655,8.3,39115,16.0,3275,96.6,50949,13.9,10508,8.5,37247,15.6,3193,97.5,38024,11.8,7480,6.8,27288,13.1,3256,98.8
