분류,2007__전체__빈도,2007__전체__비중,2007__남자__빈도,2007__남자__비중,2007__여자__빈도,2007__여자__비중,2008__전체__빈도,2008__전체__비중,2008__남자__빈도,2008__남자__비중,2008__여자__빈도,2008__여자__비중,2009__전체__빈도,2009__전체__비중,2009__남자__빈도,2009__남자__비중,2009__여자__빈도,2009__여자__비중,2010__전체__빈도,2010__전체__비중,2010__남자__빈도,2010__남자__비중,2010__여자__빈도,2010__여자__비중,2011__전체__빈도,2011__전체__비중,2011__남자__빈도,2011__남자__비중,2011__여자__빈도,2011__여자__비중,2012__전체__빈도,2012__전체__비중,2012__남자__빈도,2012__남자__비중,2012__여자__빈도,2012__여자__비중,2013__전체__빈도,2013__전체__비중,2013__남자__빈도,2013__남자__비중,2013__여자__빈도,2013__여자__비중,2014__전체__빈도,2014__전체__비중,2014__남자__빈도,2014__남자__비중,2014__여자__빈도,2014__여자__비중,2015__전체__빈도,2015__전체__비중,2015__남자__빈도,2015__남자__비중,2015__여자__빈도,2015__여자__비중,2016__전체__빈도,2016__전체__비중,2016__남자__빈도,2016__남자__비중,2016__여자__빈도,2016__여자__비중,2017__전체__빈도,2017__전체__비중,2017__남자__빈도,2017__남자__비중,2017__여자__빈도,2017__여자__비중,2018__전체__빈도,2018__전체__비중,2018__남자__빈도,2018__남자__비중,2018__여자__빈도,2018__여자__비중,2019__전체__빈도,2019__전체__비중,2019__남자__빈도,2019__남자__비중,2019__여자__빈도,2019__여자__비중
전체,383204,100.0,196829,100.0,186375,100.0,389213,100.0,194993,100.0,194219,100.0,356100,100.0,178128,100.0,177972,100.0,374942,100.0,184347,100.0,190594,100.0,380683,100.0,189647,100.0,191036,100.0,374430,100.0,185410,100.0,189019,100.0,350494,100.0,170888,100.0,179606,100.0,363189,100.0,176826,100.0,186363,100.0,375896,100.0,183632,100.0,192263,100.0,388305,100.0,190008,100.0,198296,100.0,375557,100.0,183726,100.0,191831,100.0,364901,100.0,180336,100.0,184565,100.0,323153,100.0,159584,100.0,163568,100.0
1. 상용근로자,312843,81.6,166519,84.6,146323,78.5,317797,81.6,163507,83.8,154289,79.4,305687,85.8,156240,87.7,149446,83.9,307147,81.9,156139,84.6,151008,79.2,301038,79.0,155202,81.8,145836,76.3,299943,80.1,153949,83.0,145994,77.2,291194,83.0,144580,84.6,146613,81.6,285455,78.5,142467,80.5,142987,76.7,299976,79.8,149536,81.4,150440,78.2,303577,78.1,153910,81.0,149666,75.4,292190,77.8,146767,79.8,145423,75.8,291729,79.9,149000,82.6,142729,77.3,255272,78.9,130154,81.5,125118,76.4
2. 임시근로자,46876,12.2,17754,9.0,29121,15.6,47385,12.1,19593,10.0,27792,14.3,31415,8.8,11734,6.5,19681,11.0,44007,11.7,16738,9.0,27269,14.3,57082,14.9,22975,12.1,34107,17.8,52817,14.1,20102,10.8,32715,17.3,40471,11.5,15810,9.2,24660,13.7,56704,15.6,23540,13.3,33163,17.7,53759,14.3,22130,12.0,31628,16.4,63349,16.3,24755,13.0,38593,19.4,59696,15.8,23926,13.0,35769,18.6,52140,14.2,20279,11.2,31860,17.2,51739,16.0,20663,12.9,31075,18.9
3. 일용근로자,3439,0.8,1661,0.8,1778,0.9,3110,0.7,1442,0.7,1668,0.8,1813,0.5,916,0.5,896,0.5,3853,1.0,1678,0.9,2175,1.1,2100,0.5,1201,0.6,899,0.4,5028,1.3,2374,1.2,2653,1.4,4209,1.2,2115,1.2,2094,1.1,5338,1.4,2440,1.3,2897,1.5,5962,1.5,2440,1.3,3522,1.8,4945,1.2,2245,1.1,2700,1.3,5845,1.5,3048,1.6,2797,1.4,4860,1.3,2341,1.2,2519,1.3,5306,1.6,2449,1.5,2857,1.7
4. 고용원이 있는 자영업자,8768,2.2,5301,2.6,3466,1.8,8966,2.3,5370,2.7,3595,1.8,7744,2.1,4849,2.7,2895,1.6,8192,2.1,4391,2.3,3800,1.9,7616,2.0,4854,2.5,2762,1.4,5744,1.5,3548,1.9,2196,1.1,6464,1.8,4643,2.7,1821,1.0,5798,1.5,3741,2.1,2056,1.1,4917,1.3,3477,1.8,1439,0.7,6375,1.6,3987,2.0,2387,1.2,6389,1.7,4402,2.3,1986,1.0,5104,1.3,3411,1.8,1692,0.9,3030,0.9,2168,1.3,861,0.5
5. 고용원이 없는 자영업자,11250,2.9,5592,2.8,5657,3.0,11854,3.0,5080,2.6,6773,3.4,8897,2.4,4120,2.3,4776,2.6,10231,2.7,4698,2.5,5532,2.9,11725,3.0,5006,2.6,6719,3.5,9542,2.5,4683,2.5,4858,2.5,6939,1.9,3211,1.8,3728,2.0,9148,2.5,4128,2.3,5019,2.6,9835,2.6,5112,2.7,4722,2.4,9155,2.3,4568,2.4,4587,2.3,10302,2.7,5061,2.7,5241,2.7,9961,2.7,4696,2.6,5264,2.8,6677,2.0,3474,2.1,3203,1.9
6. 무급가족종사자,26,0.0,0,0.0,26,0.0,99,0.0,0,0.0,99,0.0,542,0.1,267,0.1,274,0.1,1508,0.4,700,0.3,808,0.4,1119,0.2,408,0.2,710,0.3,1353,0.3,752,0.4,600,0.3,1215,0.3,527,0.3,688,0.3,744,0.2,507,0.2,237,0.1,1443,0.3,933,0.5,509,0.2,902,0.2,540,0.2,361,0.1,1133,0.3,519,0.2,614,0.3,1105,0.3,606,0.3,498,0.2,1126,0.3,674,0.4,452,0.2
