분류,2007__전체__빈도,2007__전체__비중,2007__남자__빈도,2007__남자__비중,2007__여자__빈도,2007__여자__비중,2008__전체__빈도,2008__전체__비중,2008__남자__빈도,2008__남자__비중,2008__여자__빈도,2008__여자__비중,2009__전체__빈도,2009__전체__비중,2009__남자__빈도,2009__남자__비중,2009__여자__빈도,2009__여자__비중,2010__전체__빈도,2010__전체__비중,2010__남자__빈도,2010__남자__비중,2010__여자__빈도,2010__여자__비중,2011__전체__빈도,2011__전체__비중,2011__남자__빈도,2011__남자__비중,2011__여자__빈도,2011__여자__비중,2012__전체__빈도,2012__전체__비중,2012__남자__빈도,2012__남자__비중,2012__여자__빈도,2012__여자__비중,2013__전체__빈도,2013__전체__비중,2013__남자__빈도,2013__남자__비중,2013__여자__빈도,2013__여자__비중,2014__전체__빈도,2014__전체__비중,2014__남자__빈도,2014__남자__비중,2014__여자__빈도,2014__여자__비중,2015__전체__빈도,2015__전체__비중,2015__남자__빈도,2015__남자__비중,2015__여자__빈도,2015__여자__비중,2016__전체__빈도,2016__전체__비중,2016__남자__빈도,2016__남자__비중,2016__여자__빈도,2016__여자__비중,2017__전체__빈도,2017__전체__비중,2017__남자__빈도,2017__남자__비중,2017__여자__빈도,2017__여자__비중,2018__전체__빈도,2018__전체__비중,2018__남자__빈도,2018__남자__비중,2018__여자__빈도,2018__여자__비중,2019__전체__빈도,2019__전체__비중,2019__남자__빈도,2019__남자__비중,2019__여자__빈도,2019__여자__비중
전체,389146,100.0,199517,100.0,189628,100.0,391086,100.0,196320,100.0,194765,100.0,359719,100.0,180315,100.0,179403,100.0,376517,100.0,185259,100.0,191258,100.0,380683,100.0,189647,100.0,191036,100.0,381658,100.0,189166,100.0,192491,100.0,362334,100.0,177563,100.0,184771,100.0,370281,100.0,180428,100.0,189853,100.0,380947,100.0,186442,100.0,194504,100.0,388305,100.0,190008,100.0,198296,100.0,375557,100.0,183726,100.0,191831,100.0,364901,100.0,180336,100.0,184565,100.0,322955,100.0,159483,100.0,163471,100.0
1. 내국인이 운영하는 국내외의 민간회사 또는개인사업체,269951,69.3,147929,74.1,122022,64.3,274115,70.0,146573,74.6,127541,65.4,267246,74.2,139354,77.2,127891,71.2,264634,70.2,137628,74.2,127006,66.4,262378,68.9,139547,73.5,122831,64.2,280091,73.3,143336,75.7,136754,71.0,252905,69.7,127921,72.0,124983,67.6,277362,74.9,136460,75.6,140901,74.2,268710,70.5,133748,71.7,134962,69.3,268061,69.0,136927,72.0,131133,66.1,252658,67.2,128520,69.9,124138,64.7,244138,66.9,123970,68.7,120168,65.1,202911,62.8,105316,66.0,97594,59.7
2. 외국인이 운영하는 국내외에 위치하는 외국인 회사,10755,2.7,5989,3.0,4765,2.5,10948,2.7,6345,3.2,4603,2.3,7300,2.0,3732,2.0,3568,1.9,9969,2.6,5453,2.9,4515,2.3,9940,2.6,5119,2.6,4820,2.5,7308,1.9,3354,1.7,3954,2.0,8264,2.2,4383,2.4,3880,2.1,5621,1.5,3024,1.6,2597,1.3,8345,2.1,4003,2.1,4341,2.2,9801,2.5,5130,2.6,4671,2.3,8792,2.3,4600,2.5,4192,2.1,10055,2.7,5251,2.9,4804,2.6,8208,2.5,4163,2.6,4045,2.4
3. 정부투자기관/정부출연기관/공사합동기업,14004,3.5,7460,3.7,6544,3.4,13113,3.3,6861,3.4,6252,3.2,12510,3.4,5798,3.2,6712,3.7,13909,3.6,5872,3.1,8036,4.2,14077,3.6,6689,3.5,7388,3.8,11452,3.0,5947,3.1,5505,2.8,14175,3.9,7287,4.1,6887,3.7,10121,2.7,4703,2.6,5418,2.8,14889,3.9,7579,4.0,7310,3.7,16377,4.2,8382,4.4,7994,4.0,17475,4.6,9069,4.9,8405,4.3,17035,4.6,9199,5.1,7835,4.2,18942,5.8,10795,6.7,8147,4.9
"4. (재단, 사단) 법인단체",30772,7.9,11250,5.6,19521,10.2,21588,5.5,7819,3.9,13769,7.0,17079,4.7,6672,3.7,10406,5.8,24852,6.6,8519,4.5,16333,8.5,31621,8.3,10443,5.5,21177,11.0,21088,5.5,8267,4.3,12821,6.6,26201,7.2,10132,5.7,16068,8.6,18905,5.1,7190,3.9,11714,6.1,25059,6.5,9959,5.3,15100,7.7,28717,7.3,8926,4.6,19791,9.9,27965,7.4,9690,5.2,18274,9.5,28067,7.6,8667,4.8,19399,10.5,28283,8.7,9157,5.7,19125,11.6
"5. 정부기관(공무원, 군인 등)",20437,5.2,11903,5.9,8534,4.5,25224,6.4,13131,6.6,12093,6.2,20019,5.5,12557,6.9,7462,4.1,19939,5.2,10604,5.7,9334,4.8,16447,4.3,9689,5.1,6757,3.5,19381,5.0,11217,5.9,8164,4.2,19456,5.3,11671,6.5,7784,4.2,20219,5.4,13443,7.4,6775,3.5,22798,5.9,14751,7.9,8047,4.1,23367,6.0,14355,7.5,9011,4.5,26129,6.9,15538,8.4,10590,5.5,24787,6.7,16147,8.9,8640,4.6,26658,8.2,15874,9.9,10783,6.5
"6. 교육기관(대학, 초/중/고 등)",29700,7.6,9620,4.8,20079,10.5,39327,10.0,12798,6.5,26529,13.6,27824,7.7,8832,4.8,18992,10.5,35435,9.4,13485,7.2,21949,11.4,39189,10.2,15001,7.9,24188,12.6,33257,8.7,12680,6.7,20577,10.6,32996,9.1,12374,6.9,20622,11.1,29951,8.0,11848,6.5,18103,9.5,32687,8.5,12366,6.6,20320,10.4,35196,9.0,12939,6.8,22257,11.2,34749,9.2,12462,6.7,22286,11.6,34487,9.4,14067,7.8,20420,11.0,30388,9.4,10462,6.5,19926,12.1
7. 연구기관(국립/사립),1870,0.4,984,0.4,886,0.4,505,0.1,188,0.0,317,0.1,2144,0.5,1047,0.5,1097,0.6,1961,0.5,1090,0.5,870,0.4,1767,0.4,858,0.4,909,0.4,1888,0.4,947,0.5,940,0.4,2552,0.7,1168,0.6,1384,0.7,3004,0.8,1469,0.8,1534,0.8,2789,0.7,1465,0.7,1323,0.6,2708,0.6,1448,0.7,1259,0.6,2805,0.7,1552,0.8,1253,0.6,2812,0.7,1409,0.7,1403,0.7,1524,0.4,885,0.5,639,0.3
8. 특정한 회사나 사업체에 소속되어 있지 않다,3758,0.9,1517,0.7,2241,1.1,4147,1.0,1352,0.6,2795,1.4,5057,1.4,2017,1.1,3040,1.6,5240,1.3,2323,1.2,2916,1.5,4982,1.3,2188,1.1,2793,1.4,6757,1.7,3117,1.6,3640,1.8,5180,1.4,2237,1.2,2942,1.5,4803,1.2,2233,1.2,2569,1.3,5393,1.4,2475,1.3,2917,1.5,4054,1.0,1898,0.9,2156,1.0,4971,1.3,2282,1.2,2689,1.4,3505,0.9,1623,0.9,1882,1.0,3477,1.0,1724,1.0,1752,1.0
9. 기타,7893,2.0,2860,1.4,5032,2.6,2113,0.5,1249,0.6,863,0.4,535,0.1,303,0.1,232,0.1,574,0.1,280,0.1,293,0.1,278,0.0,109,0.0,169,0.0,430,0.1,297,0.1,132,0.0,602,0.1,386,0.2,215,0.1,292,0.0,53,0.0,239,0.1,273,0.0,92,0.0,180,0.0,19,0.0,0,0.0,19,0.0,10,0.0,10,0.0,0,0.0,11,0.0,0,0.0,11,0.0,2559,0.7,1102,0.6,1457,0.8
