column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,3,0,0.0,3,전체 | 남자 | 여자
2,2007,float64,3,0,0.0,3,46.8 | 48.6 | 44.1
3,2008,float64,3,0,0.0,3,47.1 | 49.2 | 44.1
4,2009,float64,3,0,0.0,3,46.1 | 47.5 | 44.4
5,2010,float64,3,0,0.0,3,45.7 | 47.7 | 43.3
6,2011,float64,3,0,0.0,3,45.3 | 46.9 | 43.5
7,2012,float64,3,0,0.0,3,44.5 | 46.4 | 42.5
8,2013,float64,3,0,0.0,3,45.1 | 47.3 | 42.5
9,2014,float64,3,0,0.0,3,44.6 | 46.2 | 42.6
10,2015,float64,3,0,0.0,3,44.0 | 45.6 | 42.2
11,2016,float64,3,0,0.0,3,43.9 | 45.8 | 41.6
12,2017,float64,3,0,0.0,3,43.1 | 44.9 | 41.0
13,2018,float64,3,0,0.0,3,42.1 | 43.6 | 40.1
14,2019,float64,3,0,0.0,3,41.9 | 43.8 | 40.0
