column,dtype_actual,semantic_role,feature_block,measurement_level,grain,unit,source_dataset,source_column,derivation_formula,is_identifier,is_target_candidate,is_context,is_quality_metadata,model_default_active,review_required,notes
analysis_year,Int16,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,analysis_year,,True,False,False,False,False,False,candidate_feature_or_context
outcome_row_id,str,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D02_v2,outcome_row_id,,True,False,False,False,False,False,identifier_label_or_qa_metadata
school_name_raw,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,school_name_raw,,True,False,False,False,False,False,identifier_label_or_qa_metadata
school_name_base_raw,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D02_v2,school_name_base_raw,,True,False,False,False,False,False,Base school-name label; not a model feature.
school_name_std,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,school_name_std,,True,False,False,False,False,False,identifier_label_or_qa_metadata
campus_name_raw_x,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,campus_name_raw_x,,True,False,False,False,False,False,candidate_feature_or_context
campus_seq,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,campus_seq,,False,False,True,False,True,False,candidate_feature_or_context
campus_branch,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,campus_branch,,False,False,True,False,True,False,candidate_feature_or_context
campus_name_std_x,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,campus_name_std_x,,True,False,False,False,False,False,candidate_feature_or_context
dept_name_raw,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,dept_name_raw,,True,False,False,False,False,False,identifier_label_or_qa_metadata
dept_name_std,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D02_v2,dept_name_std,,True,False,False,False,False,False,identifier_label_or_qa_metadata
dept_field_raw,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D02_v2,dept_field_raw,,True,False,False,False,False,False,Raw department-field label; not a model feature.
dept_field_std,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D02_v2,dept_field_std,,True,False,False,False,False,False,Standardized department-field label; not a model feature.
credit_forfeit_flag,boolean,policy_feature,POLICY,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,flag,D02_v2,credit_forfeit_flag,,False,False,True,False,True,False,candidate_feature_or_context
selectivity_proxy_pct,Float32,selectivity_feature,Q,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,selectivity_proxy_pct,,False,True,True,False,False,False,target_candidate_not_feature
a_rate_pct,Float32,target_candidate_or_phase_signal,GRADE,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,a_rate_pct,,False,True,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
cd_rate_pct,Float32,target_candidate_or_phase_signal,GRADE,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,cd_rate_pct,,False,True,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
f_rate_pct,Float32,target_candidate_or_phase_signal,GRADE,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,f_rate_pct,,False,True,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
employment_rate_pct,Float32,target_candidate_or_phase_signal,EMP,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,employment_rate_pct,,False,True,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
health_employment_rate_pct,Float32,target_candidate_or_phase_signal,EMP,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,health_employment_rate_pct,,False,True,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,progression_rate_pct,,False,True,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
vocational_college_progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,vocational_college_progression_rate_pct,,False,True,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
university_progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,university_progression_rate_pct,,False,True,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
graduate_school_progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,graduate_school_progression_rate_pct,,False,True,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
domestic_progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,domestic_progression_rate_pct,,False,True,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
overseas_progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,overseas_progression_rate_pct,,False,True,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
has_selectivity,boolean,sample_observation_flag,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,flag,D02_v2,has_selectivity,,False,False,False,True,False,False,candidate_feature_or_context
has_employment,boolean,target_family_observation_flag,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,flag,D02_v2,has_employment,,False,False,False,True,False,False,candidate_feature_or_context
has_progression,boolean,target_family_observation_flag,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,flag,D02_v2,has_progression,,False,False,False,True,False,False,candidate_feature_or_context
rate_range_qa,category,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D02_v2,rate_range_qa,,False,False,False,True,False,False,candidate_feature_or_context
source_file,str,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D02_v2,source_file,,True,False,False,False,False,False,identifier_label_or_qa_metadata
source_sha256,str,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D02_v2,source_sha256,,True,False,False,False,False,False,identifier_label_or_qa_metadata
campus_region_raw,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D02_v2,campus_region_raw,,False,False,True,False,False,False,identifier_label_or_qa_metadata
dept_norm_strict,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,dept_norm_strict,,True,False,False,False,False,False,candidate_feature_or_context
dept_norm_suffix_reduced,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,dept_norm_suffix_reduced,,True,False,False,False,False,False,candidate_feature_or_context
dept_token_signature,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,dept_token_signature,,True,False,False,False,False,False,candidate_feature_or_context
school_uid_x,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,school_uid_x,,True,False,False,False,False,False,candidate_feature_or_context
headcount_row_id,str,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,headcount_row_id,,True,False,False,False,False,False,identifier_label_or_qa_metadata
match_stage,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,match_stage,,False,False,False,True,False,False,candidate_feature_or_context
