column,all_null,constant_non_all_null,near_constant,top_value_share,non_null_n,nunique
analysis_year,False,True,False,1.0,10242,1
outcome_row_id,False,False,False,9.763718023823472e-05,10242,10242
school_name_raw,False,False,False,0.015426674477641086,10242,227
school_name_base_raw,False,False,False,0.021187268111696935,10242,200
school_name_std,False,False,False,0.021187268111696935,10242,200
campus_name_raw_x,False,False,False,0.9132005467682094,10242,12
campus_seq,False,False,False,0.9499121265377856,10242,4
campus_branch,False,False,False,0.9686584651435266,10242,2
campus_name_std_x,False,False,False,0.9185705916813123,10242,5
dept_name_raw,False,False,False,0.01034954110525288,10242,4946
dept_name_std,False,False,False,0.01034954110525288,10242,4890
dept_field_raw,False,False,False,0.011716461628588167,10242,4195
dept_field_std,False,False,False,0.011716461628588167,10242,4119
credit_forfeit_flag,False,False,False,0.8878148799062683,10242,2
selectivity_proxy_pct,False,False,False,0.6351298574497168,3737,1609
a_rate_pct,False,False,False,0.031146260495996874,10242,9203
cd_rate_pct,False,False,False,0.046377660613161495,10242,8975
f_rate_pct,False,False,False,0.17652802187072839,10242,7453
employment_rate_pct,False,False,False,0.269966803358719,7477,1135
health_employment_rate_pct,False,False,False,0.269966803358719,7477,1196
progression_rate_pct,False,False,False,0.3024799843780512,7587,971
vocational_college_progression_rate_pct,False,False,False,0.7165592657684046,7587,120
university_progression_rate_pct,False,False,False,0.6909783245459871,7587,182
graduate_school_progression_rate_pct,False,False,False,0.32640109353641866,7587,946
domestic_progression_rate_pct,False,False,False,0.3045303651630541,7587,965
overseas_progression_rate_pct,False,False,False,0.7231009568443664,7587,107
has_selectivity,False,False,False,0.6351298574497168,10242,2
has_employment,False,False,False,0.730033196641281,10242,2
has_progression,False,False,False,0.7407732864674869,10242,2
rate_range_qa,False,True,False,1.0,10242,1
source_file,False,True,False,1.0,10242,1
source_sha256,False,True,False,1.0,10242,1
campus_region_raw,False,False,False,0.9611404022651826,10242,9
dept_norm_strict,False,False,False,0.01034954110525288,10242,4890
dept_norm_suffix_reduced,False,False,False,0.01054481546572935,10242,4391
dept_token_signature,False,False,False,0.01054481546572935,10242,4391
school_uid_x,False,False,False,0.021187268111696935,10242,200
headcount_row_id,False,False,False,0.16412809998047256,8561,8547
match_stage,False,False,False,0.8353837141183362,10242,4
match_method,False,False,False,0.8353837141183362,10242,4
match_status,False,False,False,0.8358719000195274,10242,3
match_score,False,True,False,0.9643624292130444,9877,1
candidate_count,False,False,False,0.9014840851396212,10242,42
review_needed,False,False,False,0.8358719000195274,10242,2
unmatched_reason,False,False,False,0.8358719000195274,10242,6
match_evidence,False,False,False,0.8353837141183362,10242,8
candidate_headcount_row_ids,False,False,False,0.01718414372192931,10242,9899
candidate_preview,False,False,False,0.01718414372192931,10242,4907
campus_conflict_flag,False,False,False,0.9769576254637766,10242,2
degree_course_conflict_flag,False,True,False,1.0,10242,1
major_conflict_flag,False,True,False,1.0,10242,1
forbidden_modifier_conflict_flag,False,True,False,1.0,10242,1
headcount_match_flag,False,False,False,0.8358719000195274,10242,2
headcount_grain_version,False,True,False,0.8358719000195274,8561,1
headcount_grain_uid,False,False,False,0.16412809998047256,8561,8547
grain_resolution_method,False,True,False,0.8358719000195274,8561,1
grain_review_needed,False,True,False,0.8358719000195274,8561,1
raw_row_lineage,False,False,False,0.16412809998047256,8561,8547
school_uid_y,False,False,False,0.16412809998047256,8561,198
campus_uid,False,False,False,0.012790470611208749,10242,452
dept_uid,False,False,False,0.00019527436047646945,10242,10222
kedi_dept_code,False,False,False,0.16412809998047256,8561,3929
school_type,False,False,False,0.8127318883030658,8561,5
degree_course,False,True,False,0.8358719000195274,8561,1
school_status_raw,False,False,False,0.8147822690880687,8561,3
day_evening_raw,False,False,False,0.4270650263620387,8561,4
campus_name_raw_y,False,False,False,0.7349150556531927,8561,5
campus_name_std_y,False,False,False,0.7349150556531927,8561,5
region_sido,False,False,False,0.16412809998047256,8561,17
region_sigungu,False,False,False,0.16412809998047256,8561,120
hc_major_group_raw,False,False,False,0.2159734426869752,8561,7
hc_major_group_7,False,False,False,0.2159734426869752,8561,7
field_middle_name,False,False,False,0.16412809998047256,8561,35
field_small_name,False,False,False,0.16412809998047256,8561,121
admission_capacity_n,False,False,False,0.35901191173598906,8561,228
recruitment_n,False,False,False,0.32259324350712754,8561,256
applicants_n,False,False,False,0.32230033196641283,8561,1250
admits_n,False,False,False,0.30404217926186294,8561,243
enrolled_students_n,False,False,False,0.16412809998047256,8561,836
leave_students_n,False,False,False,0.16412809998047256,8561,354
graduates_n,False,False,False,0.20796719390743995,8561,246
fulltime_faculty_n,False,False,False,0.26498730716656904,8561,95
nonfulltime_faculty_n,False,False,False,0.2551259519625073,8561,108
international_students_n,False,False,False,0.4994141769185706,8561,184
female_students_n,False,False,False,0.16412809998047256,8561,488
masters_students_n,False,True,False,0.8358719000195274,8561,1
doctoral_students_n,False,True,False,0.8358719000195274,8561,1
competition_ratio,False,False,False,0.4867213434876001,5257,3947
admission_yield_ratio,False,False,False,0.4867213434876001,5257,842
admit_per_applicant_ratio,False,False,False,0.4864284319468854,5260,3926
leave_rate_pct,False,False,False,0.17584456160906073,8441,4284
female_student_share_pct,False,False,False,0.17584456160906073,8441,4857
international_student_share_pct,False,False,False,0.4876977152899824,8441,1927
student_faculty_ratio,False,False,False,0.3771724272603007,6379,3288
fulltime_faculty_share_pct,False,False,False,0.3771724272603007,6379,613
log_enrolled_students,False,False,False,0.16412809998047256,8561,836
log_graduates,False,False,False,0.20796719390743995,8561,246
school_uid,False,False,False,0.021187268111696935,10242,200
major_group_7,False,False,False,0.25795743018941614,10099,7
major7_mapping_method,False,False,False,0.8358719000195274,10242,5
major7_mapping_confidence,False,False,False,0.8358719000195274,10242,4
major7_candidate_count,False,False,False,0.9881859011911736,10242,5
major7_review_needed,False,False,False,0.9860378832259324,10242,2
major7_evidence,False,False,False,0.2159734426869752,10242,596
major7_sample_exclusion_rule,False,False,False,0.9860378832259324,10242,2
has_structure_context,False,False,False,0.8358719000195274,10242,2
has_major_group_7_high_medium,False,False,False,0.9860378832259324,10242,2
row_qa_status,False,False,False,0.8358719000195274,10242,3
ctx24_reference_sample_n,False,False,False,0.25795743018941614,10099,7
ctx24_mean_income_10kkrw,False,False,False,0.25795743018941614,10099,7
ctx24_median_income_10kkrw,False,False,False,0.25795743018941614,10099,7
ctx24_income_300plus_pct,False,False,False,0.25795743018941614,10099,7
ctx24_income_400plus_pct,False,False,False,0.25795743018941614,10099,7
ctx24_large_company_pct,False,False,False,0.25795743018941614,10099,7
ctx24_mid_company_pct,False,False,False,0.25795743018941614,10099,7
ctx24_small_company_pct,False,False,False,0.25795743018941614,10099,7
ctx24_large_mid_company_pct,False,False,False,0.25795743018941614,10099,7
