column,registry_role,feature_block,measurement_level,actual_dtype,expected_dtype,nullable,non_null_n,missing_n,missing_pct,unique_n,min,p01,median,p99,max,example_values,coercion_failure_n,infinite_n,all_null,constant,near_constant,status
rate_range_qa,match_or_review_metadata,QUALITY,row_quality,category,category,False,10242,0,0.0,1,,,,,,ok,0,0,False,True,False,WARN
source_file,identifier_or_label,K,department,str,str,False,10242,0,0.0,1,,,,,,P2_G2_정시입결.csv,0,0,False,True,False,WARN
source_sha256,identifier_or_label,K,department,str,str,False,10242,0,0.0,1,,,,,,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,0,0,False,True,False,WARN
campus_region_raw,stratification_feature,S0,school_department,string,string,False,10242,0,0.0,9,,,,,,김해||글로컬|세종|WISE,0,0,False,False,False,PASS
dept_norm_strict,identifier_or_label,K,department,string,string,False,10242,0,0.0,4890,,,,,,간호학과|경영물류학과|경찰소방학과|귀금속주얼리학과|물리치료학과,0,0,False,False,False,PASS
dept_norm_suffix_reduced,identifier_or_label,K,department,string,string,False,10242,0,0.0,4391,,,,,,간호|경영물류|경찰소방|귀금속주얼리|물리치료,0,0,False,False,False,PASS
dept_token_signature,identifier_or_label,K,department,string,string,False,10242,0,0.0,4391,,,,,,간호|경영물류|경찰소방|귀금속주얼리|물리치료,0,0,False,False,False,PASS
school_uid_x,identifier_or_label,K,department,string,string,False,10242,0,0.0,200,,,,,,SCH_4fcb5ca730cd|SCH_e46f0f22fdd7|SCH_f0a7062f14b7|SCH_11568cc95743|SCH_f11056a7ff4e,0,0,False,False,False,PASS
headcount_row_id,identifier_or_label,K,department,str,str,True,8561,1681,16.412809998047255,8547,,,,,,HC2_2024_07159|HC2_2024_07147|HC2_2024_07154|HC2_2024_07165|HC2_2024_07161,0,0,False,False,False,PASS
match_stage,match_or_review_metadata,QUALITY,row_quality,str,str,False,10242,0,0.0,4,,,,,,L1|L7|L8|L3,0,0,False,False,False,PASS
match_method,match_or_review_metadata,QUALITY,row_quality,str,str,False,10242,0,0.0,4,,,,,,exact_strict|manual_pending|unmatched|exact_token_unique,0,0,False,False,False,PASS
match_status,match_or_review_metadata,QUALITY,row_quality,str,str,False,10242,0,0.0,3,,,,,,auto_high_confidence|manual_pending|unmatched,0,0,False,False,False,PASS
match_score,match_or_review_metadata,QUALITY,row_quality,float64,float64,True,9877,365,3.5637570786955672,1,,,,,,1.0,0,0,False,True,False,WARN
candidate_count,match_or_review_metadata,QUALITY,row_quality,Int16,Int16,False,10242,0,0.0,42,,,,,,1|2|3|4|29,0,0,False,False,False,PASS
review_needed,match_or_review_metadata,QUALITY,row_quality,boolean,boolean,False,10242,0,0.0,2,,,,,,False|True,0,0,False,False,False,PASS
unmatched_reason,match_or_review_metadata,QUALITY,row_quality,str,str,False,10242,0,0.0,6,,,,,,|multiple_candidates|multiple_fuzzy_or_conflict|department_formatting_or_source_coverage_mismatch|no_candidate,0,0,False,False,False,PASS
match_evidence,match_or_review_metadata,QUALITY,row_quality,str,str,False,10242,0,0.0,8,,,,,,"school+campus+department strict exact unique|school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice|fuzzy candidates need manual review|school+campus+suffix-reduced exact unique; multiple D01 rows remain, no automatic choice|no strict/suffix/token/fuzzy unique candidate under same school and allowed campus scope",0,0,False,False,False,PASS
