school_uid,school_name_std,rows
SCH_193517d15ce2,강원대학교,217
SCH_8c0fe037a811,연세대학교,164
SCH_215dd5d7b724,경북대학교,158
SCH_ade07091689d,동국대학교,157
SCH_f20a031e8dce,신라대학교,144
SCH_d094cba6e6e0,건국대학교,141
SCH_854da99e21e4,동의대학교,138
SCH_bd24ab6964ce,경상국립대학교,137
SCH_49499dd2cd0b,전남대학교,130
SCH_85206c6f8e40,공주대학교,128
SCH_a1df1d1acdd7,대구가톨릭대학교,127
SCH_37cc3a321aa8,전북대학교,126
SCH_2bbd7221f5f5,고려대학교,126
SCH_7b0a75e6cfe5,한양대학교,122
SCH_4f3dc0901e76,부경대학교,120
SCH_7d9bb36723df,한국외국어대학교,115
SCH_bcfc477eeec3,대구한의대학교,113
SCH_8cf2df39300d,동아대학교,109
SCH_fc53ac39a5c3,부산대학교,107
SCH_a10fc19c8426,전주대학교,104
SCH_8eaffeb1f469,충북대학교,104
SCH_822e5c0ba179,충남대학교,103
SCH_d03fc6d40277,이화여자대학교,103
SCH_8444343be410,단국대학교,102
SCH_c82adbe73aeb,경희대학교,102
SCH_d9b848d6dac0,영남대학교,100
SCH_74086e4eae3f,상지대학교,99
SCH_81665d02aae8,한신대학교,98
SCH_1a904381ffad,목원대학교,98
SCH_e623714dcb5f,제주대학교,94
SCH_165830225e7c,서울대학교,94
SCH_f6cf771efddb,계명대학교,93
SCH_a062abe89d7f,대구대학교,92
SCH_470c77611164,상명대학교,89
SCH_e4fe3edfd86a,국민대학교,89
SCH_0a0f2352484e,조선대학교,89
SCH_fa66da814b2a,세종대학교,88
SCH_ae0579c61fd2,경성대학교,86
SCH_2b63f9ad0078,동명대학교,86
SCH_eecea44f3c54,원광대학교,85
SCH_73f8f76d428c,배재대학교,84
SCH_94ec1dd5b675,청주대학교,81
SCH_7bb9ae4f36c4,동덕여자대학교,80
SCH_a0c1c5f58d27,한국교통대학교,80
SCH_27d295400b39,동서대학교,80
SCH_f0a7062f14b7,가톨릭관동대학교,80
SCH_e46f0f22fdd7,가천대학교,80
SCH_9a2e18045dc2,명지대학교,79
SCH_ecb0409798f9,수원대학교,79
SCH_5006b4cb2fd4,호서대학교,78
SCH_863c64a05072,선문대학교,78
SCH_5a2291e2913d,경남대학교,77
SCH_11d126dc8b6c,부산외국어대학교,77
SCH_4f65591a9e9d,인천대학교,76
SCH_92c3fefdaf92,덕성여자대학교,76
SCH_2b2d636286f0,한경국립대학교,75
SCH_b87e76b8f78a,한남대학교,75
SCH_de0adc348612,경국대학교,73
SCH_4c7509a6907c,인하대학교,73
SCH_89ea5df237fb,울산대학교,72
SCH_3475d2320701,성균관대학교,71
SCH_15cbf59a6287,경기대학교,71
SCH_6dcfa062fdf0,순천향대학교,67
SCH_24351ae0e51c,순천대학교,67
SCH_c00040e7413a,중부대학교,66
SCH_112e611fd671,홍익대학교,66
SCH_5455cd6d25fe,세명대학교,65
SCH_d4dadcb61205,대전대학교,65
