major_group_7,split,rows,sample_id
ART,test,226,GRADE_ALL
ART,train,1092,GRADE_ALL
ART,val,248,GRADE_ALL
EDU,test,80,GRADE_ALL
EDU,train,543,GRADE_ALL
EDU,val,105,GRADE_ALL
ENG,test,297,GRADE_ALL
ENG,train,1957,GRADE_ALL
ENG,val,388,GRADE_ALL
HUM,test,96,GRADE_ALL
HUM,train,864,GRADE_ALL
HUM,val,148,GRADE_ALL
MED,test,91,GRADE_ALL
MED,train,424,GRADE_ALL
MED,val,117,GRADE_ALL
NAT,test,108,GRADE_ALL
NAT,train,964,GRADE_ALL
NAT,val,186,GRADE_ALL
SOC,test,280,GRADE_ALL
SOC,train,1573,GRADE_ALL
SOC,val,312,GRADE_ALL
ART,test,58,GRADE_SELECTIVITY
ART,train,248,GRADE_SELECTIVITY
ART,val,45,GRADE_SELECTIVITY
EDU,test,29,GRADE_SELECTIVITY
EDU,train,298,GRADE_SELECTIVITY
EDU,val,52,GRADE_SELECTIVITY
ENG,test,92,GRADE_SELECTIVITY
ENG,train,749,GRADE_SELECTIVITY
ENG,val,159,GRADE_SELECTIVITY
HUM,test,40,GRADE_SELECTIVITY
HUM,train,299,GRADE_SELECTIVITY
HUM,val,67,GRADE_SELECTIVITY
MED,test,30,GRADE_SELECTIVITY
MED,train,226,GRADE_SELECTIVITY
MED,val,53,GRADE_SELECTIVITY
NAT,test,40,GRADE_SELECTIVITY
NAT,train,417,GRADE_SELECTIVITY
NAT,val,72,GRADE_SELECTIVITY
SOC,test,73,GRADE_SELECTIVITY
SOC,train,523,GRADE_SELECTIVITY
SOC,val,137,GRADE_SELECTIVITY
ART,test,165,EMPLOYMENT_HEALTH
ART,train,771,EMPLOYMENT_HEALTH
ART,val,186,EMPLOYMENT_HEALTH
EDU,test,59,EMPLOYMENT_HEALTH
EDU,train,517,EMPLOYMENT_HEALTH
EDU,val,95,EMPLOYMENT_HEALTH
ENG,test,200,EMPLOYMENT_HEALTH
ENG,train,1324,EMPLOYMENT_HEALTH
ENG,val,260,EMPLOYMENT_HEALTH
HUM,test,66,EMPLOYMENT_HEALTH
HUM,train,655,EMPLOYMENT_HEALTH
HUM,val,118,EMPLOYMENT_HEALTH
MED,test,77,EMPLOYMENT_HEALTH
MED,train,321,EMPLOYMENT_HEALTH
MED,val,88,EMPLOYMENT_HEALTH
NAT,test,79,EMPLOYMENT_HEALTH
NAT,train,720,EMPLOYMENT_HEALTH
