row_type,sample_id,target,group,N,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,zero_ratio,hundred_ratio,skewness,school_icc
overall,P1_SELECTIVITY_READY,health_employment_rate_pct,ALL,2355,53.065738677978516,16.760744094848633,0.0,11.610084037780762,25.0,42.553192138671875,53.33333206176758,63.91165733337402,80.53030166625976,93.7203050231934,100.0,0.0025477707006369425,0.004670912951167728,-0.03561241179704666,0.3727418780326843
major_zero_ratio,P1_SELECTIVITY_READY,health_employment_rate_pct,ART,173,,,,,,,,,,,,0.005780346820809248,,,
major_zero_ratio,P1_SELECTIVITY_READY,health_employment_rate_pct,EDU,352,,,,,,,,,,,,0.005681818181818182,,,
major_zero_ratio,P1_SELECTIVITY_READY,health_employment_rate_pct,ENG,501,,,,,,,,,,,,0.0,,,
major_zero_ratio,P1_SELECTIVITY_READY,health_employment_rate_pct,HUM,302,,,,,,,,,,,,0.0033112582781456954,,,
major_zero_ratio,P1_SELECTIVITY_READY,health_employment_rate_pct,MED,201,,,,,,,,,,,,0.0,,,
major_zero_ratio,P1_SELECTIVITY_READY,health_employment_rate_pct,NAT,375,,,,,,,,,,,,0.005333333333333333,,,
major_zero_ratio,P1_SELECTIVITY_READY,health_employment_rate_pct,SOC,451,,,,,,,,,,,,0.0,,,
split_distribution,P1_SELECTIVITY_READY,health_employment_rate_pct,test,253,54.34714889526367,16.253671646118164,,,,,53.33333206176758,,,,,0.0,,,
split_distribution,P1_SELECTIVITY_READY,health_employment_rate_pct,train,1742,52.55542755126953,16.739646911621094,,,,,52.6315803527832,,,,,0.0028702640642939152,,,
split_distribution,P1_SELECTIVITY_READY,health_employment_rate_pct,val,360,54.634521484375,17.110746383666992,,,,,54.823204040527344,,,,,0.002777777777777778,,,
overall,P1_SELECTIVITY_READY,graduate_school_progression_rate_pct,ALL,2355,9.231931686401367,12.782296180725098,0.0,0.0,0.0,0.0,3.7037036418914795,13.714733600616455,37.66798477172851,54.16666793823242,72.09302520751953,0.3549893842887473,0.0,1.8050423860549927,0.28204259276390076
major_zero_ratio,P1_SELECTIVITY_READY,graduate_school_progression_rate_pct,ART,173,,,,,,,,,,,,0.3699421965317919,,,
major_zero_ratio,P1_SELECTIVITY_READY,graduate_school_progression_rate_pct,EDU,352,,,,,,,,,,,,0.6363636363636364,,,
major_zero_ratio,P1_SELECTIVITY_READY,graduate_school_progression_rate_pct,ENG,501,,,,,,,,,,,,0.16167664670658682,,,
major_zero_ratio,P1_SELECTIVITY_READY,graduate_school_progression_rate_pct,HUM,302,,,,,,,,,,,,0.3079470198675497,,,
major_zero_ratio,P1_SELECTIVITY_READY,graduate_school_progression_rate_pct,MED,201,,,,,,,,,,,,0.6766169154228856,,,
major_zero_ratio,P1_SELECTIVITY_READY,graduate_school_progression_rate_pct,NAT,375,,,,,,,,,,,,0.08,,,
major_zero_ratio,P1_SELECTIVITY_READY,graduate_school_progression_rate_pct,SOC,451,,,,,,,,,,,,0.4611973392461197,,,
split_distribution,P1_SELECTIVITY_READY,graduate_school_progression_rate_pct,test,253,10.490572929382324,14.094512939453125,,,,,4.0,,,,,0.35177865612648224,,,
split_distribution,P1_SELECTIVITY_READY,graduate_school_progression_rate_pct,train,1742,9.194332122802734,12.678982734680176,,,,,3.7441587448120117,,,,,0.35074626865671643,,,
split_distribution,P1_SELECTIVITY_READY,graduate_school_progression_rate_pct,val,360,8.52932357788086,12.275148391723633,,,,,3.225806474685669,,,,,0.37777777777777777,,,
overall,P2_STRUCTURE_READY,a_rate_pct,ALL,7592,41.6644401550293,14.373114585876465,0.0,3.5568181586265557,22.824521446228026,32.89345741271973,39.572113037109375,48.57143020629883,69.22355995178222,83.99148124694824,100.0,0.008825079030558482,0.0025026343519494202,0.6304047107696533,0.5325480699539185
major_zero_ratio,P2_STRUCTURE_READY,a_rate_pct,ART,1107,,,,,,,,,,,,0.0036133694670280035,,,
major_zero_ratio,P2_STRUCTURE_READY,a_rate_pct,EDU,661,,,,,,,,,,,,0.0030257186081694403,,,
major_zero_ratio,P2_STRUCTURE_READY,a_rate_pct,ENG,1940,,,,,,,,,,,,0.009278350515463918,,,
major_zero_ratio,P2_STRUCTURE_READY,a_rate_pct,HUM,876,,,,,,,,,,,,0.01141552511415525,,,
major_zero_ratio,P2_STRUCTURE_READY,a_rate_pct,MED,499,,,,,,,,,,,,0.012024048096192385,,,
major_zero_ratio,P2_STRUCTURE_READY,a_rate_pct,NAT,950,,,,,,,,,,,,0.01263157894736842,,,
major_zero_ratio,P2_STRUCTURE_READY,a_rate_pct,SOC,1559,,,,,,,,,,,,0.009621552277100705,,,
split_distribution,P2_STRUCTURE_READY,a_rate_pct,test,890,41.08157730102539,13.642128944396973,,,,,39.522071838378906,,,,,0.0033707865168539327,,,
split_distribution,P2_STRUCTURE_READY,a_rate_pct,train,5534,41.905975341796875,14.487692832946777,,,,,39.779788970947266,,,,,0.0093964582580412,,,
split_distribution,P2_STRUCTURE_READY,a_rate_pct,val,1168,40.964168548583984,14.346982955932617,,,,,38.60919189453125,,,,,0.010273972602739725,,,
overall,P2_STRUCTURE_READY,health_employment_rate_pct,ALL,5600,52.6941032409668,17.51350975036621,0.0,11.11111068725586,23.076923370361328,41.66666793823242,52.94117736816406,63.6363639831543,82.22325973510742,96.51202819824219,100.0,0.0035714285714285713,0.007321428571428572,-0.00023164245067164302,0.21491672098636627
major_zero_ratio,P2_STRUCTURE_READY,health_employment_rate_pct,ART,789,,,,,,,,,,,,0.0063371356147021544,,,
major_zero_ratio,P2_STRUCTURE_READY,health_employment_rate_pct,EDU,630,,,,,,,,,,,,0.004761904761904762,,,
major_zero_ratio,P2_STRUCTURE_READY,health_employment_rate_pct,ENG,1281,,,,,,,,,,,,0.00234192037470726,,,
major_zero_ratio,P2_STRUCTURE_READY,health_employment_rate_pct,HUM,670,,,,,,,,,,,,0.0029850746268656717,,,
major_zero_ratio,P2_STRUCTURE_READY,health_employment_rate_pct,MED,392,,,,,,,,,,,,0.0,,,
major_zero_ratio,P2_STRUCTURE_READY,health_employment_rate_pct,NAT,719,,,,,,,,,,,,0.009735744089012517,,,
major_zero_ratio,P2_STRUCTURE_READY,health_employment_rate_pct,SOC,1119,,,,,,,,,,,,0.0,,,
split_distribution,P2_STRUCTURE_READY,health_employment_rate_pct,test,649,53.309383392333984,17.91356086730957,,,,,54.054054260253906,,,,,0.0015408320493066256,,,
split_distribution,P2_STRUCTURE_READY,health_employment_rate_pct,train,4080,52.58283233642578,17.24310874938965,,,,,52.727272033691406,,,,,0.00392156862745098,,,
split_distribution,P2_STRUCTURE_READY,health_employment_rate_pct,val,871,52.756866455078125,18.45512580871582,,,,,53.57143020629883,,,,,0.003444316877152698,,,
