artifact_name,section,path,manifest_hash,actual_hash,hash_match,manifest_shape,actual_shape,shape_match,manifest_created_at,actual_mtime,modified_after_manifest,status
P4_HANDOFF_MANIFEST,manifest_self,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/P4_HANDOFF_MANIFEST.json,b9ea9528b24630f15be8913012b40df81692d16e849120bb825f29ef35c01661,b9ea9528b24630f15be8913012b40df81692d16e849120bb825f29ef35c01661,True,,,True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
raw_excel,source_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/final/data/2024년 고등 학교별X학과별 입학정원 지원 입학 학생 외국인학생 졸업 교원_240912H.xlsx,c767832c42fb2be505c4d9bb8ae0bc39891091f86c6ae8762d5b1cd2eed0a190,c767832c42fb2be505c4d9bb8ae0bc39891091f86c6ae8762d5b1cd2eed0a190,True,,,True,2026-07-12T21:47:51,2026-07-12T16:54:55,False,PASS
outcome_spine_raw,source_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,True,,"[10242, 17]",True,2026-07-12T21:47:51,2026-07-12T19:12:08,False,PASS
wage_reference_raw,source_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/P2_G2_임금분류_학부대학원.CSV,90f94f0b781d88a45a168a3b60095b16537a532de1dbee0b54dfb3d1cf3efb85,90f94f0b781d88a45a168a3b60095b16537a532de1dbee0b54dfb3d1cf3efb85,True,,"[14, 66]",True,2026-07-12T21:47:51,2026-07-12T19:12:08,False,PASS
wage_quartile_reference_raw,source_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/P2_G2_임금분류_학부대학원_사분위기준.CSV,c46a158b418c8ec114af62a95d978692cc75890ff550064db9333d6b91848ddf,c46a158b418c8ec114af62a95d978692cc75890ff550064db9333d6b91848ddf,True,,"[23, 10]",True,2026-07-12T21:47:51,2026-07-12T19:12:08,False,PASS
wage_column_contract_raw,source_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/P2_G2_임금분류_학부대학원_컬럼설명.CSV,2431de62f6b0b8d3276b603d64f94c7cbdeaa4450aa79f549dd7ff43a4eaa491,2431de62f6b0b8d3276b603d64f94c7cbdeaa4450aa79f549dd7ff43a4eaa491,True,,"[66, 10]",True,2026-07-12T21:47:51,2026-07-12T19:12:08,False,PASS
job_cert_bridge_raw,source_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/P2_G2_직무별_자격증매핑.CSV,e88fe083e07430f96f5549071cde674021048c3f482f69d2981c02b9f882c471,e88fe083e07430f96f5549071cde674021048c3f482f69d2981c02b9f882c471,True,,"[24, 26]",True,2026-07-12T21:47:51,2026-07-12T19:12:09,False,PASS
D01_v2,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/dept_headcount_master_2024.parquet,2f187b5af44c828d4107af12368029caf6b83b6254af75b9653b6402b8f1b0ce,2f187b5af44c828d4107af12368029caf6b83b6254af75b9653b6402b8f1b0ce,True,"[34969, 186]","[34969, 186]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
D02_v2,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/dept_outcomes_2024.parquet,45f8aa40f31e14b83b5d97f594abf89bb4a5aaa4bc67735767e19077d189f493,45f8aa40f31e14b83b5d97f594abf89bb4a5aaa4bc67735767e19077d189f493,True,"[10242, 37]","[10242, 37]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
D03_v2,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/dept_master_2024_core.parquet,c6fd569052684502e5bab5758510d3cd945f68ddeaa47fdfb3e9bab803889dca,c6fd569052684502e5bab5758510d3cd945f68ddeaa47fdfb3e9bab803889dca,True,"[10242, 108]","[10242, 108]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
