check,actual,expected,status,audit_item,key,duplicate_rows
manifest hash mismatch,0,0,PASS,,,
manifest shape mismatch,0,0,PASS,,,
manifest missing files,0,0,PASS,,,
,,,PASS,canonical_grain_duplicate_rows,analysis_year|school_name_std|campus_name_std|day_evening_raw|degree_course|kedi_dept_code,0.0
,,,PASS,exact_duplicate_rows_raw_columns,all restored raw Excel columns excluding source_excel_row,0.0
,,,INFO,legacy_grain_duplicate_rows_without_day_degree,analysis_year|school_name_std|campus_name_std|kedi_dept_code,1.0
,,,PASS,lineage_missing_rows,source_excel_row/raw_row_lineage,0.0
D03 row count,10242,10242,PASS,,,
D08 row count,10242,10242,PASS,,,
D03 outcome_row_id duplicate,0,0,PASS,,,
D08 outcome_row_id duplicate,0,0,PASS,,,
P4 raw outcome composite key duplicate,0,0,PASS,,,
D08 carried headcount UID composite duplicate,18,tracked as WARN only,WARN,,,
D03 to D08 lost rows,0,0,PASS,,,
D08 extra rows over D03,0,0,PASS,,,
D03-D08 order changed,False,False,PASS,,,
D03-D08 outcome value mismatch cells,0,0,PASS,,,
P4 key null cells,0,0,PASS,,,
D08 inf/-inf cells,0,0,PASS,,,
bridge row count,10242,10242,PASS,,,
bridge outcome_row_id duplicate,0,0,PASS,,,
candidate_count>=2 auto-confirmed,0,0,PASS,,,
campus conflict auto-confirmed,0,0,PASS,,,
manual_pending included in high confidence,0,0,PASS,,,
unmatched rows deleted from D08,0,0,PASS,,,
structural_match_eligible formula mismatch,0,0,PASS,,,
allowed major_group_7 code violations,0.0,0,PASS,,,
major high/medium rate >=97%,0.9860378832259324,>=0.97,PASS,,,
ambiguous+unknown <=3%,0.0139621167740675,<=0.03,PASS,,,
inherited D01 major mismatch,0.0,0,PASS,,,
major_context_eligible formula mismatch,0.0,0,PASS,,,
ambiguous/unknown rows included in major samples,0.0,0,PASS,,,
Local2 ready_for_local1,True,True,PASS,,,
manifest D07 hash equals actual,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,PASS,,,
actual D07 hash equals Local1 manifest input,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,PASS,,,
D07 row count,7,7,PASS,,,
D07 major key duplicate,0,0,PASS,,,
D07 to D08 goms exact mismatch cells,0,0,PASS,,,
school split leakage,0,0,PASS,,,
membership row count,10242,10242,PASS,,,
membership outcome_row_id duplicate,0,0,PASS,,,
sample registry actual mismatch rows,0,0,PASS,,,
D08 columns missing from column registry,0,0,PASS,,,
p4_use registry columns missing from D08,0,0,PASS,,,
target registry columns missing from D08,0,0,PASS,,,
unknown sample ids,0,0,PASS,,,
all-null active feature sets,0,0,PASS,,,
