search_term,outcome_row_id,school_name_raw,dept_name_raw,major_group_7,major7_mapping_method,major7_mapping_confidence,major7_evidence
자유전공,OC2024_00380,강원대학교,자유전공학부(학생설계전공 인문사회계열) | 자유전공학부(학생설계전공 자연과학계열) | 자유전공학부(학생설계전공 인문사회계열),HUM,exact_dictionary,medium,unique dictionary inherited from matched rows: dept_field_std=자유
자유전공,OC2024_00846,경남대학교,자유전공학부,HUM,inherited_headcount,high,D01 v2 high-confidence match 대계열=인문계열
자유전공,OC2024_02540,국립순천대학교,자유전공학부(인문사회・자연),HUM,inherited_headcount,high,D01 v2 high-confidence match 대계열=인문계열
자유전공,OC2024_03048,단국대학교,국제자유전공학부 영상연기&제작전공,ART,inherited_headcount,high,D01 v2 high-confidence match 대계열=예체능계열
자유전공,OC2024_03345,대구대학교,자유전공학부,HUM,inherited_headcount,high,D01 v2 high-confidence match 대계열=인문계열
자유전공,OC2024_04206,동아대학교,분자유전공학과,NAT,inherited_headcount,high,D01 v2 high-confidence match 대계열=자연계열
자유전공,OC2024_05159,상지대학교,자유전공학부,HUM,inherited_headcount,high,D01 v2 high-confidence match 대계열=인문계열
자유전공,OC2024_05408,서울대학교,자유전공학부,HUM,inherited_headcount,high,D01 v2 high-confidence match 대계열=인문계열
자유전공,OC2024_06053,세한대학교,자유전공학과,HUM,inherited_headcount,high,D01 v2 high-confidence match 대계열=인문계열
자유전공,OC2024_06147,수원대학교,자유전공학부,HUM,inherited_headcount,high,D01 v2 high-confidence match 대계열=인문계열
자유전공,OC2024_06244,순천향대학교,글로벌자유전공학과,HUM,inherited_headcount,high,D01 v2 high-confidence match 대계열=인문계열
자유전공,OC2024_06334,숭실대학교,융합특성화자유전공학부,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
자유전공,OC2024_07557,이화여자대학교,자유전공,HUM,inherited_headcount,high,D01 v2 high-confidence match 대계열=인문계열
자유전공,OC2024_07594,인제대학교,글로벌자유전공학과,HUM,inherited_headcount,high,D01 v2 high-confidence match 대계열=인문계열
자유전공,OC2024_07633,인제대학교,자유전공학부,HUM,inherited_headcount,high,D01 v2 high-confidence match 대계열=인문계열
융합,OC2024_00053,가천대학교,스마트시티융합학과,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00115,가톨릭관동대학교,바이오융합공학과,NAT,inherited_headcount,high,D01 v2 high-confidence match 대계열=자연계열
융합,OC2024_00227,강남대학교,ICT융합공학부,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00236,강남대학교,복지융합인재학부 미술문화복지전공,ART,inherited_headcount,high,D01 v2 high-confidence match 대계열=예체능계열
융합,OC2024_00237,강남대학교,복지융합인재학부 스포츠복지전공,ART,inherited_headcount,high,D01 v2 high-confidence match 대계열=예체능계열
융합,OC2024_00238,강남대학교,복지융합인재학부 유니버설비주얼디자인전공,ART,inherited_headcount,high,D01 v2 high-confidence match 대계열=예체능계열
융합,OC2024_00250,강남대학교,융합자율전공학부,SOC,inherited_headcount,high,D01 v2 high-confidence match 대계열=사회계열
융합,OC2024_00252,강남대학교,인공지능융합공학부,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00268,강원대학교,AI융합학과,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00288,강원대학교,글로벌융합학부,SOC,inherited_headcount,high,D01 v2 high-confidence match 대계열=사회계열
융합,OC2024_00299,강원대학교,동물산업융합학과,NAT,inherited_headcount,high,D01 v2 high-confidence match 대계열=자연계열
융합,OC2024_00319,강원대학교,배터리융합공학과,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00425,강원대학교_제2캠퍼스,건설융합학부,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00426,강원대학교_제2캠퍼스,건설융합학부 건축공학전공,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00427,강원대학교_제2캠퍼스,건설융합학부 건축학전공,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00428,강원대학교_제2캠퍼스,건설융합학부 토목공학전공,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00452,강원대학교_제2캠퍼스,소프트웨어미디어융합전공,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00458,강원대학교_제2캠퍼스,에너지자원융합공학전공,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00485,건국대학교,K뷰티산업융합학과,ART,inherited_headcount,high,D01 v2 high-confidence match 대계열=예체능계열
융합,OC2024_00519,건국대학교,스마트ICT융합공학과,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00524,건국대학교,신산업융합학과,SOC,inherited_headcount,high,D01 v2 high-confidence match 대계열=사회계열
융합,OC2024_00529,건국대학교,융합생명공학과,NAT,inherited_headcount,high,D01 v2 high-confidence match 대계열=자연계열
융합,OC2024_00530,건국대학교,융합인재학과,SOC,inherited_headcount,high,D01 v2 high-confidence match 대계열=사회계열
융합,OC2024_00568,건국대학교(글로컬)_분교,녹색기술융합학과,NAT,inherited_headcount,high,D01 v2 high-confidence match 대계열=자연계열
융합,OC2024_00587,건국대학교(글로컬)_분교,소방방재융합학과,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00653,건양대학교,융합IT학과,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00654,건양대학교,융합기계공학과,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00655,건양대학교,융합디자인학과,ART,inherited_headcount,high,D01 v2 high-confidence match 대계열=예체능계열
융합,OC2024_00700,경기대학교,바이오융합학부,NAT,inherited_headcount,high,D01 v2 high-confidence match 대계열=자연계열
융합,OC2024_00717,경기대학교,융합보안학과,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
융합,OC2024_00718,경기대학교,융합에너지시스템공학부,ENG,inherited_headcount,high,D01 v2 high-confidence match 대계열=공학계열
