column,role,semantic_type,source,zero_policy,null_policy
기준연도,key,identity,derived/source_key,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
분석단위,key,identity,derived/source_key,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
구분,key,identity,derived/source_key,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
계열,key,identity,derived/source_key,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
분석대상자_명,cleaning_metadata,policy_or_flag,derived,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_평균소득만원,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_중위소득만원,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_평균_중위_차이만원,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_평균_중위_비율,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_log10_평균소득만원,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
target_log10_중위소득만원,target_or_target_diagnostic,continuous_target,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_100만원미만_명,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_100만원미만_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_100~200만원미만_명,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_100~200만원미만_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_200~300만원미만_명,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_200~300만원미만_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_300~400만원미만_명,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_300~400만원미만_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_400만원이상_명,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_400만원이상_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
salary_300만원이상_pct,target_distribution_diagnostic,competitive_salary_bucket_count_or_share,salary,관측된 0은 유지,분석 키/타겟/merge NULL은 실질 결측; 원천 미상은 별도 flag
