feature,expected_block,actual_block,exists,manual_approved,denylisted,dtype,missing_pct_structure,missing_pct_selectivity,status,reason
goms_latest_2019_weekly_work_hours,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_mapping_confidence,,manual_approved_extra,True,True,True,category,0.0,0.0,EXTRA,context_leakage
goms_permanent_trend_per_year,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_profile_end_year,,manual_approved_extra,True,True,True,Int16,0.0,0.0,EXTRA,context_leakage
goms_profile_start_year,,manual_approved_extra,True,True,True,Int16,0.0,0.0,EXTRA,context_leakage
goms_profile_years_n,,manual_approved_extra,True,True,True,Int16,0.0,0.0,EXTRA,context_leakage
goms_recent_employment_rate_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,employment_outcome_leakage
goms_recent_firm_300plus_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_recent_hourly_income_proxy,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_recent_industry_hhi,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_recent_industry_top3_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_recent_mean_income_10kkrw,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_recent_permanent_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_recent_professional_highskill_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_recent_public_nonprofit_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_recent_self_employed_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_recent_unstable_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_recent_weekly_work_hours,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
goms_row_qa_status,,manual_approved_extra,True,True,True,category,0.0,0.0,EXTRA,context_leakage
graduates_n,,manual_approved_extra,True,True,False,Int32,0.0,0.0,EXTRA,
grain_resolution_method,,manual_approved_extra,True,True,False,str,0.0,0.0,EXTRA,
