column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
analysis_year,7592.0,2024.0,0.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0
selectivity_proxy_pct,3119.0,69.78450012207031,18.733318328857422,0.4926108419895172,4.300408840179443,32.0,61.5,72.83000183105469,82.5,93.92499542236328,97.75,100.0
a_rate_pct,7592.0,41.6644401550293,14.373114585876465,0.0,3.5568181586265557,22.824521446228026,32.89345741271973,39.572113037109375,48.57143020629883,69.22355995178222,83.99148124694824,100.0
cd_rate_pct,7592.0,18.380556106567383,9.785323143005371,0.0,0.0,3.4356730341911317,11.32479453086853,18.50076198577881,24.69079303741455,32.77238502502441,45.83333206176758,100.0
f_rate_pct,7592.0,3.8041648864746094,8.1882963180542,0.0,0.0,0.0,0.7865338027477264,1.867982268333435,3.6297417283058167,12.283600902557371,46.26901153564456,100.0
employment_rate_pct,5600.0,61.48397445678711,15.538291931152344,0.0,22.727272033691406,35.47438430786133,51.6129035949707,61.904762268066406,71.42857360839844,87.5,100.0,100.0
health_employment_rate_pct,5600.0,52.69411849975586,17.513511657714844,0.0,11.11111068725586,23.076923370361328,41.66666793823242,52.94117736816406,63.6363639831543,82.22325897216797,96.51203155517578,100.0
progression_rate_pct,5674.0,8.570002555847168,12.965262413024902,0.0,0.0,0.0,0.0,3.3333332538604736,11.764705657958984,36.211143493652344,58.33333206176758,100.0
vocational_college_progression_rate_pct,5674.0,0.10626038163900375,0.7125417590141296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758045196533,14.285714149475098
university_progression_rate_pct,5674.0,0.2091284990310669,0.9380617141723633,0.0,0.0,0.0,0.0,0.0,0.0,1.6489070653915405,4.761904716491699,14.285714149475098
graduate_school_progression_rate_pct,5674.0,8.254617691040039,12.895537376403809,0.0,0.0,0.0,0.0,2.777777671813965,11.11111068725586,35.77838897705078,57.74696350097656,100.0
domestic_progression_rate_pct,5674.0,8.489445686340332,12.89306354522705,0.0,0.0,0.0,0.0,3.225806474685669,11.538461685180664,36.081512451171875,57.74696350097656,100.0
overseas_progression_rate_pct,5674.0,0.08055873215198517,0.6634637713432312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8798320293426514,18.18181800842285
match_score,7592.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
candidate_count,7592.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
admission_capacity_n,7592.0,35.29702318229715,141.7534440140105,0.0,0.0,0.0,0.0,25.0,40.0,91.0,185.1800000000003,4500.0
recruitment_n,7592.0,40.285695468914646,151.69218746326408,0.0,0.0,0.0,0.0,30.0,45.0,104.0,208.0,4815.0
applicants_n,7592.0,286.4942044257113,515.625934216867,0.0,0.0,0.0,0.0,146.0,361.25,1042.4499999999998,2207.3600000000006,14788.0
admits_n,7592.0,34.54768177028451,46.26110898026195,0.0,0.0,0.0,0.0,29.0,45.0,104.0,199.0,1069.0
enrolled_students_n,7592.0,207.40239726027397,367.0846607516917,0.0,9.0,25.0,80.0,148.0,237.0,537.4499999999998,1088.0800000000017,13106.0
leave_students_n,7592.0,50.04083245521602,96.08247548247867,0.0,0.0,0.0,12.0,32.0,60.0,149.44999999999982,307.09000000000015,3191.0
