model_id,fold,n,mae,r2
P2-S0,1,1341,11.400238188177676,-0.0036101139147552974
P2-S0,2,1341,10.52390270173661,-0.0009141982719542696
P2-S0,3,1340,11.30805823063417,-0.0019081463168471036
P2-S0,4,1340,10.533395451307262,-0.014141257769087812
P2-S0,5,1340,10.123626029120244,-0.0006766176804353652
P2-S1,1,1341,10.842001423667806,0.09273995183675121
P2-S1,2,1341,10.925815682015557,-0.07652754006587181
P2-S1,3,1340,11.341671367412244,0.008001004172176973
P2-S1,4,1340,10.19960205951926,0.044637673500757646
P2-S1,5,1340,9.809747419348682,0.05878419909977206
P2-S2,1,1341,10.795420891402081,0.09372920198329837
P2-S2,2,1341,10.696789339948282,-0.03471827508677605
P2-S2,3,1340,11.186045336915186,0.030138314214905648
P2-S2,4,1340,10.35238318410784,0.03642164747137211
P2-S2,5,1340,9.798877047432944,0.06250627313497914
P2-S3,1,1341,10.66737410394685,0.10658652016509051
P2-S3,2,1341,10.446022255460381,0.0023680288697588425
P2-S3,3,1340,10.885209781048165,0.06860671979335953
P2-S3,4,1340,10.132726563105098,0.0699000470482023
P2-S3,5,1340,9.746791175916492,0.08260733075583504
P2-S4,1,1341,10.66668646425674,0.10597147138670215
P2-S4,2,1341,10.464145198197624,0.0003818453757338247
P2-S4,3,1340,10.909003071852073,0.06612380865926082
P2-S4,4,1340,10.575930759442207,0.0033053754618853626
P2-S4,5,1340,9.749324489887682,0.08142447979298595
