outcome_row_id,school_uid,school_name_raw,dept_name_raw,major_group_7,split,student_faculty_ratio,enrolled_students_n,fulltime_faculty_n,nonfulltime_faculty_n,numerator,denominator,zero_denominator,saved_ratio,recalculated_ratio,abs_diff,ratio_column,formula_note,tail,competition_ratio,applicants_n,recruitment_n,admission_yield_ratio,admits_n,admit_per_applicant_ratio
OC2024_02854,SCH_65cc323b97e2,극동대학교,AI컴퓨터공학과,ENG,train,0.0,0,6,0,0,6,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_02871,SCH_65cc323b97e2,극동대학교,사회복지학과,SOC,train,0.0,0,4,31,0,35,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_02889,SCH_65cc323b97e2,극동대학교,해킹보안학과,ENG,train,0.0,0,4,14,0,18,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_03193,SCH_a1df1d1acdd7,대구가톨릭대학교,뷰티케어전공,ART,train,0.0,0,0,1,0,1,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_03251,SCH_a1df1d1acdd7,대구가톨릭대학교,창업경영학과,SOC,train,0.0,0,0,5,0,5,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_03424,SCH_bcfc477eeec3,대구한의대학교,부동산개발학과,SOC,train,0.0,0,0,5,0,5,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_03501,SCH_bcfc477eeec3,대구한의대학교,화장품학과,ENG,train,0.0,0,13,1,0,14,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_04118,SCH_d7cf6b01676b,동신대학교,관광경영학과,SOC,val,0.0,0,3,3,0,6,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_04166,SCH_d7cf6b01676b,동신대학교,호텔경영학과,SOC,val,0.0,0,3,1,0,4,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_04373,SCH_854da99e21e4,동의대학교,부동산개발경영학전공,SOC,train,0.0,0,3,8,0,11,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_04377,SCH_854da99e21e4,동의대학교,뷰티비즈니스학전공,ART,train,0.0,0,1,0,0,1,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_04571,SCH_1a904381ffad,목원대학교,만화・애니메이션과,ART,val,0.0,0,0,1,0,1,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_04629,SCH_1a904381ffad,목원대학교,피아노과,ART,val,0.0,0,0,1,0,1,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_04899,SCH_11d126dc8b6c,부산외국어대학교,국제개발협력전공,SOC,train,0.0,0,1,1,0,2,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_06790,SCH_8c0fe037a811,연세대학교,통합디자인학과,ART,train,0.0,0,7,27,0,34,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_08740,SCH_d439accb1575,초당대학교,글로벌비즈니스학과,SOC,test,0.0,0,2,0,0,2,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_08741,SCH_d439accb1575,초당대학교,글로벌실버케어학과,SOC,test,0.0,0,1,0,0,1,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_09706,SCH_81665d02aae8,한신대학교,AI・SW학,ENG,train,0.0,0,24,14,0,38,False,0.0,0.0,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_04036,SCH_27d295400b39,동서대학교,Global Business Administration학과,SOC,train,0.14285715,2,8,6,2,14,False,0.14285715,0.14285714285714285,6.3862119481505886e-09,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_07267,SCH_89ea5df237fb,울산대학교,의학전공,MED,test,0.18472064,162,649,228,162,877,False,0.18472064,0.1847206385404789,3.1263553690319412e-09,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_04955,SCH_11d126dc8b6c,부산외국어대학교,컴퓨터공학전공,ENG,train,0.2,2,3,7,2,10,False,0.2,0.2,2.980232227667301e-09,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_00222,SCH_f11056a7ff4e,가톨릭대학교_제2캠퍼스,의학과,MED,val,0.22026181,387,903,854,387,1757,False,0.22026181,0.22026180990324418,2.306838831067637e-09,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_04039,SCH_27d295400b39,동서대학교,Korean Language and Business학과,HUM,train,0.22222222,2,6,3,2,9,False,0.22222222,0.2222222222222222,1.6556845894299954e-09,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_03234,SCH_a1df1d1acdd7,대구가톨릭대학교,음악학과,ART,train,0.27142859,19,7,63,19,70,False,0.27142859,0.2714285714285714,1.3623918826421999e-08,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_05805,SCH_3475d2320701,성균관대학교,의학과,MED,val,0.2948929,179,496,111,179,607,False,0.2948929,0.29489291598023065,8.837591491950292e-09,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_08773,SCH_517472e0016a,추계예술대학교,국제학부(예술),ART,val,0.36,9,4,21,9,25,False,0.36,0.36,1.4305114759416426e-08,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_09170,SCH_65e8bd521a40,한국교원대학교,교육학과,EDU,train,0.47126436,41,19,68,41,87,False,0.47126436,0.47126436781609193,5.480886855480094e-09,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_04720,SCH_73f8f76d428c,배재대학교,피아노과,ART,train,0.47619048,10,0,21,10,21,False,0.47619048,0.47619047619047616,1.4191582353717536e-09,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_05404,SCH_165830225e7c,서울대학교,의학과,MED,train,0.5004177,599,446,751,599,1197,False,0.5004177,0.5004177109440268,1.5934408237328057e-09,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_01645,SCH_2bbd7221f5f5,고려대학교,의학과,MED,train,0.50541514,420,419,412,420,831,False,0.50541514,0.5054151624548736,2.0872384598469296e-08,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),low30,,,,,,
OC2024_09217,SCH_a25c104d5945,한국방송통신대학교,사회복지학과,SOC,train,1613.5,9681,6,0,9681,6,False,1613.5,1613.5,0.0,student_faculty_ratio,enrolled / (fulltime + nonfulltime faculty),high30,,,,,,
