school_uid,row_n,major7_n
SCH_080166833214,3,3
SCH_0a0f2352484e,32,7
SCH_0a99c689284a,3,3
SCH_112e611fd671,28,5
SCH_11568cc95743,1,1
SCH_15cbf59a6287,18,6
SCH_165830225e7c,50,7
SCH_193517d15ce2,61,7
SCH_1a904381ffad,25,6
SCH_1f0dbf8ca0ee,16,4
SCH_215dd5d7b724,80,7
SCH_2178d9389c0b,10,6
SCH_2262007d8cd8,12,6
SCH_27d295400b39,16,6
SCH_2a9d10aec529,21,6
SCH_2b63f9ad0078,11,6
SCH_2bae5a982f8a,2,2
SCH_2bbd7221f5f5,48,7
SCH_2f1dd9f5df84,5,4
SCH_31969f1e134f,18,5
SCH_3475d2320701,20,6
SCH_35d77d3b6c8e,8,6
SCH_37cc3a321aa8,74,6
SCH_3b977c481961,5,5
SCH_43abe0f3b5c0,1,1
SCH_4578df1eb182,1,1
SCH_45a0a9b1d6b5,1,1
SCH_470c77611164,11,3
SCH_49499dd2cd0b,68,6
SCH_4c7509a6907c,50,6
SCH_4d63e54767c6,1,1
SCH_4f3dc0901e76,18,6
SCH_4f65591a9e9d,48,6
SCH_4fcb5ca730cd,3,2
SCH_5006b4cb2fd4,29,7
SCH_517472e0016a,1,1
SCH_51a7b678dcea,1,1
SCH_55457aeb7b89,16,4
SCH_5d6eedf02da5,6,4
SCH_5ee1d0ecc427,1,1
SCH_65cc323b97e2,14,6
SCH_65e8bd521a40,22,1
SCH_660b002d3bb9,13,7
SCH_6a3a99a48782,4,3
SCH_6dcfa062fdf0,44,6
SCH_708f797d9c02,13,5
SCH_73ea02aeaa3e,11,3
SCH_73f8f76d428c,23,7
SCH_74086e4eae3f,19,6
SCH_7573460df9c1,22,5
SCH_76fe6236882c,14,4
SCH_7896f9dd5fce,19,7
SCH_7b0a75e6cfe5,76,7
SCH_7b175b7efa10,30,5
SCH_7bb9ae4f36c4,8,5
SCH_7d9bb36723df,3,2
SCH_80bfdbf9dec7,2,1
SCH_81665d02aae8,3,3
SCH_822e5c0ba179,82,7
SCH_8253c7faf164,24,5
SCH_8444343be410,47,6
SCH_84786f2613b0,17,5
SCH_85206c6f8e40,74,7
SCH_854da99e21e4,55,7
SCH_863c64a05072,3,2
SCH_893fafa4d1ec,10,4
SCH_89ea5df237fb,3,3
SCH_8c0fe037a811,42,7
SCH_8c30e6ac4fbd,37,5
SCH_8cf2df39300d,38,6
SCH_8e36aff4c8cd,8,3
SCH_8eaffeb1f469,68,6
SCH_8f2e356312a7,25,5
SCH_94ec1dd5b675,47,7
SCH_974bcc3d229d,12,4
SCH_9b542fd13f8c,1,1
SCH_a062abe89d7f,16,4
SCH_a0c1c5f58d27,36,7
SCH_a10fc19c8426,46,7
SCH_a1748432a398,7,3
SCH_a1df1d1acdd7,18,4
SCH_a70179c6531f,18,6
SCH_ab9f4dbc01f8,1,1
SCH_ade07091689d,56,7
SCH_ae0579c61fd2,44,7
SCH_ae7d6447ea08,4,2
SCH_b3c5162386a0,4,1
SCH_b4c24dedeac1,16,3
SCH_b518403952c6,2,2
SCH_b602aec81b24,1,1
SCH_b87e76b8f78a,3,1
SCH_b8901e036949,20,5
SCH_b95165ee3f1c,3,3
SCH_bc4c3907faea,1,1
SCH_bcc7b61d775b,8,4
SCH_bcfc477eeec3,6,3
SCH_bd24ab6964ce,79,7
SCH_bddec49f1888,1,1
SCH_bfb4ffe4d1d0,3,3
SCH_c00040e7413a,2,2
SCH_c235744d252d,31,6
SCH_c417cf41afe0,30,5
SCH_c4deb88e2c2a,25,6
SCH_c61963963f37,1,1
SCH_c80253ebd31c,13,5
SCH_c82adbe73aeb,37,6
SCH_cba7fc3f2ea2,27,6
SCH_cda53f0ed06d,11,4
SCH_d03fc6d40277,14,3
SCH_d094cba6e6e0,40,5
SCH_d439accb1575,1,1
SCH_d49a078a4713,2,1
SCH_d4b90d7a1e57,7,2
SCH_d4dadcb61205,28,7
SCH_d4e36f66c72f,1,1
SCH_d605db23ebce,1,1
SCH_d7cf6b01676b,10,5
SCH_d8d3233deb6a,10,3
SCH_d9b848d6dac0,53,7
SCH_d9cc9b5ef13c,17,6
SCH_dd703f1e1d10,18,3
SCH_dffcffc2a336,21,6
SCH_e46f0f22fdd7,31,6
SCH_e4fe3edfd86a,35,6
SCH_e623714dcb5f,52,7
SCH_e665793836cb,32,5
SCH_ea94589fd8d8,9,2
SCH_eb90ff65b86d,31,6
SCH_ecb0409798f9,18,6
SCH_ed1a93cb5155,22,5
SCH_eecea44f3c54,50,7
SCH_ef74b9791330,19,5
SCH_f0a7062f14b7,1,1
SCH_f11056a7ff4e,1,1
SCH_f20a031e8dce,26,7
SCH_f38e74825865,3,2
SCH_f55d29b69bf5,1,1
SCH_f6cf771efddb,61,7
SCH_f759dc0a8ccd,12,5
SCH_fa153e645e1e,6,3
SCH_fa66da814b2a,4,2
SCH_fc474c91d6f5,5,1
SCH_fc53ac39a5c3,87,7
SCH_fd343c02a3d4,5,3
SCH_ff31901b4f59,37,6
SCH_ff53ff346c39,22,6
