column,nunique,top,top_n
outcome_row_id,3119,OC2024_00001,1
school_name_raw,151,부산대학교,87
school_name_base_raw,146,부산대학교,87
school_name_std,146,부산대학교,87
campus_name_raw_x,7,,2984
campus_seq,2,,3048
campus_branch,2,,3059
campus_name_std_x,3,unknown,2988
dept_name_raw,1270,간호학과,70
dept_name_std,1259,간호학과,70
dept_field_raw,1167,간호,71
dept_field_std,1154,간호,71
credit_forfeit_flag,2,False,2642
has_selectivity,1,True,3119
has_employment,2,True,2355
has_progression,2,True,2376
rate_range_qa,1,ok,3119
source_file,1,P2_G2_정시입결.csv,3119
source_sha256,1,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,3119
campus_region_raw,6,,3055
dept_norm_strict,1259,간호학과,70
dept_norm_suffix_reduced,1154,간호,71
dept_token_signature,1154,간호,71
school_uid_x,146,SCH_fc53ac39a5c3,87
headcount_row_id,3119,HC2_2024_07159,1
match_stage,1,L1,3119
match_method,1,exact_strict,3119
match_status,1,auto_high_confidence,3119
review_needed,1,False,3119
unmatched_reason,1,,3119
match_evidence,1,school+campus+department strict exact unique,3119
candidate_headcount_row_ids,3119,HC2_2024_07159,1
candidate_preview,1270,간호학과,70
campus_conflict_flag,1,False,3119
degree_course_conflict_flag,1,False,3119
major_conflict_flag,1,False,3119
forbidden_modifier_conflict_flag,1,False,3119
headcount_match_flag,1,True,3119
headcount_grain_version,1,v2_year_school_campus_day_degree_deptcode,3119
headcount_grain_uid,3119,HCG_fca851c614e1,1
grain_resolution_method,1,semantic_distinct_key_expansion,3119
grain_review_needed,1,False,3119
raw_row_lineage,3119,7243,1
school_uid_y,146,SCH_fc53ac39a5c3,87
campus_uid,179,CAM_0e4a6fce3f60,82
dept_uid,3119,DEP_c02dd4a5678d,1
kedi_dept_code,1270,U06020100004,70
school_type,3,대학교,3096
degree_course,1,대학과정,3119
school_status_raw,2,기존,3103
day_evening_raw,3,주간,1602
campus_name_raw_y,4,본교(제1캠퍼스),2812
campus_name_std_y,4,본교_제1캠퍼스,2812
region_sido,17,서울,664
region_sigungu,98,충북 청주시,138
hc_major_group_raw,7,공학계열,822
hc_major_group_7,7,ENG,822
field_middle_name,35,경영ㆍ경제,301
field_small_name,118,경영학,147
school_uid,146,SCH_fc53ac39a5c3,87
major_group_7,7,ENG,822
major7_mapping_method,1,inherited_headcount,3119
major7_mapping_confidence,1,high,3119
major7_review_needed,1,False,3119
major7_evidence,7,D01 v2 high-confidence match 대계열=공학계열,822
major7_sample_exclusion_rule,1,,3119
has_structure_context,1,True,3119
has_major_group_7_high_medium,1,True,3119
row_qa_status,1,ok,3119
goms_aggregation_method,1,mixed_weighted_2017_2019,3119
goms_year_over_year_review_flag,2,False,2388
goms_mapping_confidence,1,medium_reviewed,3119
goms_row_qa_status,1,PASS,3119
school_uid_membership,146,SCH_fc53ac39a5c3,87
campus_uid_membership,179,CAM_0e4a6fce3f60,82
dept_uid_membership,3119,DEP_c02dd4a5678d,1
major_group_7_membership,7,ENG,822
school_type_membership,3,대학교,3096
region_sido_membership,17,서울,664
split,3,train,2293
sample_P1_STRUCTURE_READY,2,True,2355
sample_P1_SELECTIVITY_READY,2,True,2355
sample_P2_STRUCTURE_READY,1,True,3119
sample_P2_SELECTIVITY_READY,1,True,3119
sample_P3_STRUCTURE_READY,1,True,3119
sample_P3_SELECTIVITY_READY,1,True,3119
sample_P4_E_STRUCTURE_READY,2,True,2355
sample_P4_P_STRUCTURE_READY,2,True,2376
sample_P4_JOINT_STRUCTURE_READY,2,True,2355
sample_P4_E_SELECTIVITY_READY,2,True,2355
sample_P4_P_SELECTIVITY_READY,2,True,2376
sample_P4_JOINT_SELECTIVITY_READY,2,True,2355
p2_sample_id,1,P2_SELECTIVITY_READY,3119
