variable,has_selectivity,n,mean,median,missing_pct,level,share_no_selectivity,share_has_selectivity
a_rate_pct,False,4473.0,42.29388427734375,40.219993591308594,0.0,,,
a_rate_pct,True,3119.0,40.761741638183594,38.97385025024414,0.0,,,
log_enrolled_students,False,4473.0,4.638486385345459,4.736198425292969,0.0,,,
log_enrolled_students,True,3119.0,5.253860950469971,5.2729997634887695,0.0,,,
log_graduates,False,4473.0,2.604548931121826,3.178053855895996,0.0,,,
log_graduates,True,3119.0,2.811035394668579,3.4339871406555176,0.0,,,
student_faculty_ratio,False,4473.0,22.109516143798828,13.166666984558105,0.3299798792756539,,,
student_faculty_ratio,True,3119.0,17.708255767822266,14.658332824707031,0.03815325424815646,,,
major_group_7,,,,,,ART,0.19517102615694165,0.07502404616864379
major_group_7,,,,,,EDU,0.06617482673820702,0.11702468739980763
major_group_7,,,,,,ENG,0.24994410909903866,0.2635460083360051
major_group_7,,,,,,HUM,0.11401743796109994,0.11734530298172491
major_group_7,,,,,,MED,0.05454951933825173,0.0817569733889067
major_group_7,,,,,,NAT,0.10574558461882405,0.15293363257454312
major_group_7,,,,,,SOC,0.21439749608763695,0.1923693491503687
school_type,,,,,,각종대학(대학),0.00558909009613235,0.0
school_type,,,,,,교육대학,0.027274759669125865,0.0003206155819172812
school_type,,,,,,대학교,0.95439302481556,0.9926258416159025
school_type,,,,,,방송통신대학교,0.005812653699977644,0.0
school_type,,,,,,산업대학,0.0069304717192041135,0.007053542802180186
region_sido,,,,,,강원,0.06773977196512408,0.03879448541199102
region_sido,,,,,,경기,0.13525598032640287,0.11510099390830394
region_sido,,,,,,경남,0.05276101050748938,0.04809233728759218
region_sido,,,,,,경북,0.09166107757657053,0.05771080474511061
region_sido,,,,,,광주,0.04627766599597585,0.03879448541199102
region_sido,,,,,,대구,0.018555779119159403,0.04071817890349471
region_sido,,,,,,대전,0.05499664654594232,0.05931388265469702
region_sido,,,,,,부산,0.10462776659959759,0.10067329272202628
region_sido,,,,,,서울,0.17996870109546165,0.2128887463930747
region_sido,,,,,,세종,0.0,0.0003206155819172812
region_sido,,,,,,울산,0.017885088307623517,0.0009618467457518436
region_sido,,,,,,인천,0.01564945226917058,0.03687079192048734
region_sido,,,,,,전남,0.04381846635367762,0.008015389547932029
region_sido,,,,,,전북,0.030181086519114688,0.06925296569413274
region_sido,,,,,,제주,0.007601162530739995,0.016992625841615903
region_sido,,,,,,충남,0.07467024368432819,0.09073420968259058
region_sido,,,,,,충북,0.05835010060362173,0.0647643475472908
campus_branch,,,,,,,0.98099709367315,0.9807630650849631
campus_branch,,,,,,분교,0.019002906326849988,0.01923693491503687
