school_uid,row_n,major7_n
SCH_080166833214,5,5
SCH_08825e789819,14,4
SCH_0a0f2352484e,64,7
SCH_0a6c34a4bd7e,13,1
SCH_0a99c689284a,5,3
SCH_0d9869ded823,35,6
SCH_112e611fd671,40,5
SCH_11568cc95743,2,2
SCH_11d126dc8b6c,26,3
SCH_142ed7b6f7b8,12,1
SCH_15cbf59a6287,59,6
SCH_165830225e7c,76,7
SCH_193517d15ce2,147,7
SCH_1a904381ffad,69,7
SCH_1f0dbf8ca0ee,30,5
SCH_20dac01e599f,4,3
SCH_215dd5d7b724,131,7
SCH_2178d9389c0b,17,6
SCH_2262007d8cd8,27,6
SCH_238de31a70c5,4,4
SCH_24351ae0e51c,53,7
SCH_26a4acba3939,8,4
SCH_27d295400b39,54,6
SCH_2a9d10aec529,47,7
SCH_2b2d636286f0,56,7
SCH_2b63f9ad0078,72,7
SCH_2bae5a982f8a,16,5
SCH_2bbd7221f5f5,53,7
SCH_2f1dd9f5df84,20,6
SCH_2fddf92ebc74,2,2
SCH_31969f1e134f,27,6
SCH_3475d2320701,60,7
SCH_350aadd7b42e,11,1
SCH_35d77d3b6c8e,10,6
SCH_37cc3a321aa8,93,7
SCH_38a7fe8ddf6c,23,7
SCH_399b2a3af860,4,3
SCH_3a9f2002a350,45,7
SCH_3b977c481961,5,5
SCH_406e2951a18f,26,6
SCH_41fce6e94601,12,1
SCH_43abe0f3b5c0,3,3
SCH_4578df1eb182,13,1
SCH_45a0a9b1d6b5,1,1
SCH_46f14819b876,1,1
SCH_470c77611164,75,7
SCH_49499dd2cd0b,115,7
SCH_4c7509a6907c,69,7
SCH_4d63e54767c6,1,1
SCH_4f3dc0901e76,101,7
SCH_4f65591a9e9d,64,6
SCH_4fcb5ca730cd,10,4
SCH_5006b4cb2fd4,49,7
SCH_514dc1eff29d,1,1
SCH_517472e0016a,9,2
SCH_51a7b678dcea,3,3
SCH_5455cd6d25fe,54,6
SCH_55457aeb7b89,44,5
SCH_55c52db9765e,18,6
SCH_5a2291e2913d,70,7
SCH_5d6eedf02da5,9,4
SCH_5ee1d0ecc427,1,1
SCH_5f064e6d8c50,12,1
SCH_65cc323b97e2,29,7
SCH_65e8bd521a40,25,1
SCH_660b002d3bb9,24,7
SCH_6a3a99a48782,47,7
SCH_6dcfa062fdf0,56,7
SCH_708f797d9c02,43,5
SCH_73ea02aeaa3e,13,3
SCH_73f8f76d428c,57,7
SCH_74086e4eae3f,72,7
SCH_74c22c88d3ac,11,1
SCH_7573460df9c1,36,6
SCH_76fe6236882c,25,4
SCH_7896f9dd5fce,36,7
SCH_7b0a75e6cfe5,107,7
SCH_7b175b7efa10,34,5
SCH_7bb9ae4f36c4,76,6
SCH_7c7da023e5f7,1,1
SCH_7d73e0278bba,12,2
SCH_7d9bb36723df,94,7
SCH_80bfdbf9dec7,29,5
SCH_81449b8bc19d,13,1
SCH_81665d02aae8,63,6
SCH_822e5c0ba179,95,7
SCH_8253c7faf164,43,5
SCH_842f899d2eb8,11,1
SCH_8444343be410,76,7
SCH_84786f2613b0,26,5
SCH_85206c6f8e40,118,7
SCH_854da99e21e4,122,7
SCH_863c64a05072,59,7
SCH_8792a35991bd,5,3
SCH_893fafa4d1ec,16,5
SCH_89ea5df237fb,69,6
SCH_8c0fe037a811,82,7
SCH_8c30e6ac4fbd,52,6
SCH_8cf2df39300d,89,7
SCH_8d565ec5e906,1,1
SCH_8e36aff4c8cd,39,6
SCH_8eaffeb1f469,88,7
SCH_8f2e356312a7,45,6
SCH_92c3fefdaf92,41,6
SCH_94ec1dd5b675,59,7
SCH_974bcc3d229d,28,5
SCH_9b07d5e5cea5,3,2
SCH_9b542fd13f8c,5,3
SCH_9ddd58d1e190,16,4
SCH_a062abe89d7f,58,7
SCH_a0c1c5f58d27,68,7
SCH_a10fc19c8426,75,7
SCH_a1748432a398,20,4
SCH_a1b6cde5051e,12,1
SCH_a1df1d1acdd7,92,7
SCH_a25c104d5945,26,7
