model_id,branch,raw_feature_count,encoded_feature_count,rank,rank_deficiency,condition_number,constant_encoded_columns,duplicate_encoded_columns,status
P2-S0,P2-S,0,1,1,0,1.0,,,READY
P2-S1,P2-S,4,28,28,0,273.21647418077146,major_group_7___OTHER__|school_type___OTHER__|region_sido___OTHER__|campus_branch___OTHER__,,READY
P2-S2,P2-S,9,35,35,0,13522.85073529814,major_group_7___OTHER__|school_type___OTHER__|region_sido___OTHER__|campus_branch___OTHER__,international_student_share_pct__missing==female_student_share_pct__missing|leave_rate_pct__missing==female_student_share_pct__missing|fulltime_faculty_share_pct__missing==student_faculty_ratio__missing,READY
P2-S3,P2-S,11,37,37,0,13560.670539111758,major_group_7___OTHER__|school_type___OTHER__|region_sido___OTHER__|campus_branch___OTHER__,international_student_share_pct__missing==female_student_share_pct__missing|leave_rate_pct__missing==female_student_share_pct__missing|fulltime_faculty_share_pct__missing==student_faculty_ratio__missing,READY
P2-S4,P2-S,12,38,38,0,13561.076066074787,major_group_7___OTHER__|school_type___OTHER__|region_sido___OTHER__|campus_branch___OTHER__|credit_forfeit_flag___OTHER__,international_student_share_pct__missing==female_student_share_pct__missing|leave_rate_pct__missing==female_student_share_pct__missing|fulltime_faculty_share_pct__missing==student_faculty_ratio__missing,READY
