topic_id,topic_group,topic_name,measure,classification_version,kind,status,file_path,file_size,sha256
GOMS_001,경제활동 상태,성별 경제활동 상태,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_001_성별_경제활동_상태_freq_share.xls,19274,759f740ac89cb419c9d60f9aeb12864ba98f59cc9f5ab265e75ab018d1810191
GOMS_002,경제활동 상태,학교유형별 경제활동 상태,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_002_학교유형별_경제활동_상태_freq_share.xls,23747,f90310a392127ba4d0332de3c151b4f5f209c57ae664897ac6d07d9902fda361
GOMS_003,경제활동 상태,전공계열별 경제활동 상태,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_003_전공계열별_경제활동_상태_freq_share.xls,42140,2dc61cf9b42cfa0e1bec2d85f26ffd66561add6167367ea7551a1351d8a2c09c
GOMS_004,현재 일자리,취업자의 성별 산업 분포,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_004_취업자의_성별_산업_분포_freq_share.xls,79875,ecfe173c6d19e2b0951cf295bc38bc002dd87484eafb448597b2d815467b1bfa
GOMS_005,현재 일자리,취업자의 학교유형별 산업 분포,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_005_취업자의_학교유형별_산업_분포_freq_share.xls,104437,b46fc4433a5f101ce1e8c15ab9e12b41ec8526457eff47593c5d448bf9538e14
GOMS_006,현재 일자리,취업자의 전공별 산업 분포,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_006_취업자의_전공별_산업_분포_freq_share.xls,205090,be2a385485d2016b2ba798e0a884863af33bf9bfe51fc28e5ed2f7cb383caec5
GOMS_007,현재 일자리,취업자의 성별 직업 분포(~2016),freq_share,pre_2017,categorical,success,raw_downloads/frequency_share/GOMS_007_취업자의_성별_직업_분포2016_freq_share.xls,70066,e116579e757be865b0387cb10f7e14e8a6e6236013d6ec7bc8b206cb26156efa
GOMS_008,현재 일자리,취업자의 성별 직업 분포(2017~),freq_share,post_2017,categorical,success,raw_downloads/frequency_share/GOMS_008_취업자의_성별_직업_분포2017_freq_share.xls,11379,e79e4f957851be797035a012e282fa55e1fdd320d007abc8edb7b090ae9f346b
GOMS_009,현재 일자리,취업자의 학교유형별 직업 분포(~2016),freq_share,pre_2017,categorical,success,raw_downloads/frequency_share/GOMS_009_취업자의_학교유형별_직업_분포2016_freq_share.xls,91509,8d3d879391c56e3949a309b7840ebbcdb041270cbd3f233912257cc06cb11825
GOMS_010,현재 일자리,취업자의 학교유형별 직업 분포(2017~),freq_share,post_2017,categorical,success,raw_downloads/frequency_share/GOMS_010_취업자의_학교유형별_직업_분포2017_freq_share.xls,14346,cfb8637aec9128431ee0c1beb0adfda4179804bb4b164a85cb3437a3a8a03402
GOMS_011,현재 일자리,취업자의 전공별 직업 분포(~2016),freq_share,pre_2017,categorical,success,raw_downloads/frequency_share/GOMS_011_취업자의_전공별_직업_분포2016_freq_share.xls,178791,34e2b7bae579baefb8428613c4176f7d4f249ab1f9b2d58c554cd0033d95c8d9
GOMS_012,현재 일자리,취업자의 전공별 직업 분포(2017~),freq_share,post_2017,categorical,success,raw_downloads/frequency_share/GOMS_012_취업자의_전공별_직업_분포2017_freq_share.xls,26476,cbf9e741e3c833c3303e109bd48fddfd2f134117b9b9c0f055bf90efec77daf2
GOMS_013,현재 일자리,취업자의 성별 사업체 규모,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_013_취업자의_성별_사업체_규모_freq_share.xls,39100,47e3f9ec86d3860dd4aa13b3d45d3992dd83d4ae0f0b31f37bdb56c8ceb05f79
GOMS_014,현재 일자리,취업자의 학교유형별 사업체 규모,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_014_취업자의_학교유형별_사업체_규모_freq_share.xls,51032,e97927adb6ad96f2ec887b7ba5aab0971d6991108f3ce3241316d910845f8690
GOMS_015,현재 일자리,취업자의 전공별 사업체 규모,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_015_취업자의_전공별_사업체_규모_freq_share.xls,99713,9767133947d576a9f66a187d5e5775317f2bfdfe647e3c1e149b1b75987a9c67
GOMS_016,현재 일자리,취업자의 성별 사업체 유형,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_016_취업자의_성별_사업체_유형_freq_share.xls,39002,91f4f59bebc2529646c4d8b978d27e51a11bc61c73edc515795528f4d1d1bd00
GOMS_017,현재 일자리,취업자의 학교유형별 사업체 유형,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_017_취업자의_학교유형별_사업체_유형_freq_share.xls,50800,b86a8143ea505ae1481977a17900a8e6422602e7f28a180901c80602a44db91e
GOMS_018,현재 일자리,취업자의 전공별 사업체 유형,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_018_취업자의_전공별_사업체_유형_freq_share.xls,98872,1ca588da60f159f27b00c86d812d3977f86b0eef0ab1256450c738cf5fcc5ac3
GOMS_019,현재 일자리,취업자의 성별 종사상 지위,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_019_취업자의_성별_종사상_지위_freq_share.xls,28502,321ae3f54dfbcde517710adcf7f5bc4e070b51a031132ec5700bd1c72d748778
GOMS_020,현재 일자리,취업자의 학교유형별 종사상 지위,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_020_취업자의_학교유형별_종사상_지위_freq_share.xls,37107,9adbebe602694c54941b9be00595a31df686d78de929e8d944a0ac4ebb3a8292
GOMS_021,현재 일자리,취업자의 전공별 종사상 지위,freq_share,all,categorical,success,raw_downloads/frequency_share/GOMS_021_취업자의_전공별_종사상_지위_freq_share.xls,71825,342d80e98258f86c9af70928d3c0183c601ed83455fda60043073c747be16ed0
GOMS_022,근로소득,성별 월평균 근로소득,mean,all,continuous,success,raw_downloads/mean/GOMS_022_성별_월평균_근로소득_mean.xls,3226,0da6584ae8d4878189d3348c82eae5aeb6e16efac31fdf346f2ab5860ce98cbf
GOMS_023,근로소득,학교유형별 월평균 근로소득,mean,all,continuous,success,raw_downloads/mean/GOMS_023_학교유형별_월평균_근로소득_mean.xls,3858,e840c5f2f2c31ad3f2235c645442a59225df67a539a16ef3e2a9e5117d73c570
GOMS_024,근로소득,전공계열별 월평균 근로소득,mean,all,continuous,success,raw_downloads/mean/GOMS_024_전공계열별_월평균_근로소득_mean.xls,6354,f99385fb389768be1cf4a484a8e94adf740c810a5440268d288e8db16eb1772c
GOMS_025,근로소득,산업별 월평균 근로소득,mean,all,continuous,success,raw_downloads/mean/GOMS_025_산업별_월평균_근로소득_mean.xls,15642,8df79319cf7549994c10d50a79612887689aae517d626cac424b8f0b8a418f29
