topic_id,topic_group,topic_name,measure,classification_version,weighted,status,started_at,year_start,year_end,file_path,suggested_filename,file_size,sha256,finished_at
GOMS_001,경제활동 상태,성별 경제활동 상태,freq_share,all,True,success,2026-07-12T08:51:24.342333+00:00,2007,2019,raw_downloads/frequency_share/GOMS_001_성별_경제활동_상태_freq_share.xls,data.xls,19274,759f740ac89cb419c9d60f9aeb12864ba98f59cc9f5ab265e75ab018d1810191,2026-07-12T08:51:26.372459+00:00
GOMS_002,경제활동 상태,학교유형별 경제활동 상태,freq_share,all,True,success,2026-07-12T08:51:28.989575+00:00,2007,2019,raw_downloads/frequency_share/GOMS_002_학교유형별_경제활동_상태_freq_share.xls,data.xls,23747,f90310a392127ba4d0332de3c151b4f5f209c57ae664897ac6d07d9902fda361,2026-07-12T08:51:31.021074+00:00
GOMS_003,경제활동 상태,전공계열별 경제활동 상태,freq_share,all,True,success,2026-07-12T08:51:33.640463+00:00,2007,2019,raw_downloads/frequency_share/GOMS_003_전공계열별_경제활동_상태_freq_share.xls,data.xls,42140,2dc61cf9b42cfa0e1bec2d85f26ffd66561add6167367ea7551a1351d8a2c09c,2026-07-12T08:51:35.668177+00:00
GOMS_004,현재 일자리,취업자의 성별 산업 분포,freq_share,all,True,success,2026-07-12T08:51:38.312537+00:00,2007,2019,raw_downloads/frequency_share/GOMS_004_취업자의_성별_산업_분포_freq_share.xls,data.xls,79875,ecfe173c6d19e2b0951cf295bc38bc002dd87484eafb448597b2d815467b1bfa,2026-07-12T08:51:40.421084+00:00
GOMS_005,현재 일자리,취업자의 학교유형별 산업 분포,freq_share,all,True,success,2026-07-12T08:51:43.130831+00:00,2007,2019,raw_downloads/frequency_share/GOMS_005_취업자의_학교유형별_산업_분포_freq_share.xls,data.xls,104437,b46fc4433a5f101ce1e8c15ab9e12b41ec8526457eff47593c5d448bf9538e14,2026-07-12T08:51:45.178350+00:00
GOMS_006,현재 일자리,취업자의 전공별 산업 분포,freq_share,all,True,success,2026-07-12T08:51:47.921720+00:00,2007,2019,raw_downloads/frequency_share/GOMS_006_취업자의_전공별_산업_분포_freq_share.xls,data.xls,205090,be2a385485d2016b2ba798e0a884863af33bf9bfe51fc28e5ed2f7cb383caec5,2026-07-12T08:51:50.162561+00:00
GOMS_007,현재 일자리,취업자의 성별 직업 분포(~2016),freq_share,pre_2017,True,success,2026-07-12T08:51:53.074665+00:00,2007,2016,raw_downloads/frequency_share/GOMS_007_취업자의_성별_직업_분포2016_freq_share.xls,data.xls,70066,e116579e757be865b0387cb10f7e14e8a6e6236013d6ec7bc8b206cb26156efa,2026-07-12T08:51:55.172089+00:00
GOMS_008,현재 일자리,취업자의 성별 직업 분포(2017~),freq_share,post_2017,True,success,2026-07-12T08:51:57.873285+00:00,2017,2019,raw_downloads/frequency_share/GOMS_008_취업자의_성별_직업_분포2017_freq_share.xls,data.xls,11379,e79e4f957851be797035a012e282fa55e1fdd320d007abc8edb7b090ae9f346b,2026-07-12T08:51:59.836207+00:00
GOMS_009,현재 일자리,취업자의 학교유형별 직업 분포(~2016),freq_share,pre_2017,True,success,2026-07-12T08:52:02.435915+00:00,2007,2016,raw_downloads/frequency_share/GOMS_009_취업자의_학교유형별_직업_분포2016_freq_share.xls,data.xls,91509,8d3d879391c56e3949a309b7840ebbcdb041270cbd3f233912257cc06cb11825,2026-07-12T08:52:04.538819+00:00
GOMS_010,현재 일자리,취업자의 학교유형별 직업 분포(2017~),freq_share,post_2017,True,success,2026-07-12T08:52:07.287747+00:00,2017,2019,raw_downloads/frequency_share/GOMS_010_취업자의_학교유형별_직업_분포2017_freq_share.xls,data.xls,14346,cfb8637aec9128431ee0c1beb0adfda4179804bb4b164a85cb3437a3a8a03402,2026-07-12T08:52:09.252519+00:00
