outcome_row_id,major7_mapping_method,major7_mapping_confidence,dept_name_raw,major7_evidence,split,major_group_7
OC2024_05252,inherited_headcount,high,미용예술학과,D01 v2 high-confidence match 대계열=예체능계열,train,
OC2024_05081,inherited_headcount,high,인더스트리얼디자인전공,D01 v2 high-confidence match 대계열=예체능계열,train,
OC2024_01405,inherited_headcount,high,PostModern음악학과,D01 v2 high-confidence match 대계열=예체능계열,train,
OC2024_00243,inherited_headcount,high,스포츠복지학과,D01 v2 high-confidence match 대계열=예체능계열,train,
OC2024_09660,inherited_headcount,high,동양화전공,D01 v2 high-confidence match 대계열=예체능계열,train,
OC2024_08409,inherited_headcount,high,레저스포츠학전공,D01 v2 high-confidence match 대계열=예체능계열,train,
OC2024_03876,inherited_headcount,high,관현악과,D01 v2 high-confidence match 대계열=예체능계열,train,
OC2024_09214,inherited_headcount,high,미디어영상학과,D01 v2 high-confidence match 대계열=예체능계열,train,
OC2024_05577,inherited_headcount,high,뷰티학과,D01 v2 high-confidence match 대계열=예체능계열,train,
OC2024_07047,inherited_headcount,high,음악전공,D01 v2 high-confidence match 대계열=예체능계열,train,
OC2024_05594,inherited_headcount,high,영어교육과,D01 v2 high-confidence match 대계열=교육계열,train,
OC2024_09469,inherited_headcount,high,역사교육과,D01 v2 high-confidence match 대계열=교육계열,train,
OC2024_00464,inherited_headcount,high,유아교육과,D01 v2 high-confidence match 대계열=교육계열,train,
OC2024_02103,inherited_headcount,high,기술・가정교육과,D01 v2 high-confidence match 대계열=교육계열,train,
OC2024_07744,inherited_headcount,high,교육학과,D01 v2 high-confidence match 대계열=교육계열,train,
OC2024_08072,inherited_headcount,high,윤리교육과(심화전공),D01 v2 high-confidence match 대계열=교육계열,train,
OC2024_00281,inherited_headcount,high,국어교육과,D01 v2 high-confidence match 대계열=교육계열,train,
OC2024_08029,inherited_headcount,high,일반사회교육과,D01 v2 high-confidence match 대계열=교육계열,train,
OC2024_08785,inherited_headcount,high,초등수학교육과(심화과정),D01 v2 high-confidence match 대계열=교육계열,val,
OC2024_04774,inherited_headcount,high,과학교육과,D01 v2 high-confidence match 대계열=교육계열,train,
OC2024_02200,inherited_headcount,high,화학공학전공,D01 v2 high-confidence match 대계열=공학계열,train,
OC2024_02440,inherited_headcount,high,신소재시스템공학전공,D01 v2 high-confidence match 대계열=공학계열,train,
OC2024_10142,inherited_headcount,high,자동차기계공학과,D01 v2 high-confidence match 대계열=공학계열,train,
OC2024_05164,inherited_headcount,high,전자・보안공학부 전자공학전공,D01 v2 high-confidence match 대계열=공학계열,train,
OC2024_02552,inherited_headcount,high,토목공학과,D01 v2 high-confidence match 대계열=공학계열,train,
OC2024_05654,inherited_headcount,high,스마트자동차공학부,D01 v2 high-confidence match 대계열=공학계열,train,
OC2024_07505,inherited_headcount,high,기후·에너지시스템공학전공,D01 v2 high-confidence match 대계열=공학계열,train,
OC2024_06153,inherited_headcount,high,전자재료공학,D01 v2 high-confidence match 대계열=공학계열,train,
OC2024_02001,inherited_headcount,high,정보통신공학과,D01 v2 high-confidence match 대계열=공학계열,train,
OC2024_01810,inherited_headcount,high,전자융합공학과,D01 v2 high-confidence match 대계열=공학계열,train,
OC2024_08363,inherited_headcount,high,일본어과,D01 v2 high-confidence match 대계열=인문계열,train,
OC2024_01237,inherited_headcount,high,문헌정보학과,D01 v2 high-confidence match 대계열=인문계열,train,
OC2024_00698,inherited_headcount,high,문예창작학과,D01 v2 high-confidence match 대계열=인문계열,train,
OC2024_00400,inherited_headcount,high,철학전공,D01 v2 high-confidence match 대계열=인문계열,train,
OC2024_09326,inherited_headcount,high,영미문학번역전공,D01 v2 high-confidence match 대계열=인문계열,train,
OC2024_04918,inherited_headcount,high,베트남어과,D01 v2 high-confidence match 대계열=인문계열,train,
OC2024_07549,inherited_headcount,high,영어영문학전공,D01 v2 high-confidence match 대계열=인문계열,train,
OC2024_02126,inherited_headcount,high,불어불문학과,D01 v2 high-confidence match 대계열=인문계열,train,
OC2024_01114,inherited_headcount,high,사학과,D01 v2 high-confidence match 대계열=인문계열,train,
OC2024_03968,inherited_headcount,high,글로벌문화콘텐츠학과,D01 v2 high-confidence match 대계열=인문계열,train,
OC2024_03470,inherited_headcount,high,재활의료공학과,D01 v2 high-confidence match 대계열=의약계열,train,
OC2024_07632,inherited_headcount,high,임상병리학과,D01 v2 high-confidence match 대계열=의약계열,train,
OC2024_04861,inherited_headcount,high,의예과,D01 v2 high-confidence match 대계열=의약계열,test,
OC2024_09609,inherited_headcount,high,물리치료학과,D01 v2 high-confidence match 대계열=의약계열,test,
OC2024_01568,inherited_headcount,high,의학과,D01 v2 high-confidence match 대계열=의약계열,val,
OC2024_03128,inherited_headcount,high,임상병리학과,D01 v2 high-confidence match 대계열=의약계열,train,
OC2024_08862,inherited_headcount,high,의예과,D01 v2 high-confidence match 대계열=의약계열,train,
OC2024_02161,inherited_headcount,high,응급구조학과,D01 v2 high-confidence match 대계열=의약계열,train,
