outcome_row_id,school_name_raw,campus_name_raw_x,dept_name_raw,campus_name_std_x,dept_norm_strict,dept_norm_suffix_reduced,headcount_row_id,campus_name_raw_y,campus_name_std_y,field_middle_name,field_small_name,candidate_count,match_method,match_status,match_score,match_evidence,candidate_preview,admission_capacity_n,recruitment_n,applicants_n,admits_n,enrolled_students_n,graduates_n
OC2024_03902,동덕여자대학교,,미술학부 디지털공예전공,unknown,미술학부디지털공예전공,미술학부디지털공예,HC2_2024_13537,본교(제1캠퍼스),본교_제1캠퍼스,응용예술,공예,1,exact_strict,auto_high_confidence,1.0,school+campus+department strict exact unique,미술학부 디지털공예전공,0,35,920,35,61,0
OC2024_06496,신라대학교,,전기전자공학과,unknown,전기전자공학과,전기전자공,HC2_2024_18218,본교(제1캠퍼스),본교_제1캠퍼스,전기ㆍ전자,전자공학,1,exact_strict,auto_high_confidence,1.0,school+campus+department strict exact unique,전기전자공학과,20,22,129,11,56,0
OC2024_08182,제주국제대학교,,건축학과,unknown,건축학과,건축,HC2_2024_26140,본교(제1캠퍼스),본교_제1캠퍼스,건축,건축학,1,exact_strict,auto_high_confidence,1.0,school+campus+department strict exact unique,건축학과,0,0,0,0,37,23
OC2024_02892,극동대학교,,호텔경영학과,unknown,호텔경영학과,호텔경영,HC2_2024_11314,본교(제1캠퍼스),본교_제1캠퍼스,경영ㆍ경제,경영학,1,exact_strict,auto_high_confidence,1.0,school+campus+department strict exact unique,호텔경영학과,106,154,446,134,161,0
OC2024_06623,아주대학교,,물리학과,unknown,물리학과,물리,HC2_2024_18446,본교(제1캠퍼스),본교_제1캠퍼스,수학ㆍ물리ㆍ천문ㆍ지리,물리ㆍ과학,1,exact_strict,auto_high_confidence,1.0,school+campus+department strict exact unique,물리학과,33,35,274,35,215,30
OC2024_04452,동의대학교,,환경공학과,unknown,환경공학과,환경공,HC2_2024_14384,본교(제1캠퍼스),본교_제1캠퍼스,생물ㆍ화학ㆍ환경,환경학,1,exact_strict,auto_high_confidence,1.0,school+campus+department strict exact unique,환경공학과,35,36,113,34,35,0
OC2024_08436,중부대학교,,전자출판인쇄공학전공,unknown,전자출판인쇄공학전공,전자출판인쇄공학,HC2_2024_21507,본교(제2캠퍼스),본교_제2캠퍼스,기타,응용공학,1,exact_strict,auto_high_confidence,1.0,school+campus+department strict exact unique,전자출판인쇄공학전공,0,0,0,0,22,12
OC2024_07326,원광대학교,,스포츠과학부,unknown,스포츠과학부,스포츠과,HC2_2024_20008,본교(제1캠퍼스),본교_제1캠퍼스,무용ㆍ체육,체육,1,exact_strict,auto_high_confidence,1.0,school+campus+department strict exact unique,스포츠과학부,120,120,456,119,749,107
OC2024_06965,영산대학교(양산)_제2캠퍼스,제2캠퍼스|양산,건축공학과,제2캠퍼스,건축공학과,건축공,HC2_2024_25422,본교(제2캠퍼스),본교_제2캠퍼스,건축,건축ㆍ설비공학,1,exact_strict,auto_high_confidence,1.0,school+campus+department strict exact unique,건축공학과,0,0,0,0,48,10
OC2024_09423,한국항공대학교,,항공전자정보공학부,unknown,항공전자정보공학부,항공전자정보공,HC2_2024_22807,본교(제1캠퍼스),본교_제1캠퍼스,컴퓨터ㆍ통신,정보ㆍ통신공학,1,exact_strict,auto_high_confidence,1.0,school+campus+department strict exact unique,항공전자정보공학부,0,0,0,0,1087,207
